bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
Qiskit__qiskit-636,02acaa22c51010e623b93ff4843498e388bb3e5e,130,114,16,0.18594202399253845,-2.693861484527588
Qiskit__qiskit-636,68017e0b9bae0217e3c307dfbf1e55429cab2621,39,2,37,0.2770654559135437,-1.1279420852661133
Qiskit__qiskit-2781,4e907d522414432a4a714b580b912086a234ac19,6,23,-17,0.46213042736053467,-1.8066264390945435
Qiskit__qiskit-2781,b7744e6f6e08e6ea4abc66709b741b2799998987,22,6,16,0.42979297041893005,-1.5159409046173096
Qiskit__qiskit-2781,378053e6f08234908688b29a3f47829bac93a850,13,2,11,0.4431241750717163,-1.2536349296569824
Qiskit__qiskit-688,5e7693161dc87f4d0859ecaeab5a981fbc302689,240,72,168,0.290422260761261,-2.146205186843872
Qiskit__qiskit-688,6fad3fcd0a4f40b337e0100ec28fe8d637d83abd,227,18,209,0.2955029010772705,-1.7270538806915283
Qiskit__qiskit-3042,c4abde54f2fa4b282bd46d41ce8aaa3cd86f0f83,92,26,66,0.39617955684661865,-1.9386348724365234
Qiskit__qiskit-3708,a09950f1cf1f8782d0a71cd639b762a87beb93a2,395,59,336,0.21955005824565887,-2.349635124206543
Qiskit__qiskit-4049,8866416541c315b11e088be8b1f9f28be874f143,505,31,474,0.28717583417892456,-0.995440661907196
Qiskit__qiskit-877,8a6926a49840438bd3c9b0b4c6d3026d671c0e53,154,4,150,0.20321163535118103,-1.5171637535095215
Qiskit__qiskit-877,02abeaacdcf0e1c87334ab56d8bf1d4d71c70e06,49,5,44,0.28848379850387573,-1.5570354461669922
Qiskit__qiskit-2723,eca1fa7707043ae37edb9275dbd0dbd977ef78fe,97,25,72,0.3921229839324951,-1.4977917671203613
Qiskit__qiskit-4513,7a1cfb6e7adedefcb13a7798ae967755ee54a22e,417,16,401,0.23640157282352448,-1.5527632236480713
Qiskit__qiskit-609,657d0eeadbbe2dec7eafab4cf45671224bea9c21,84,12,72,0.19688650965690613,-0.7829657793045044
Qiskit__qiskit-609,886099544412367b5f6bfee73fa4a0b401b33c13,61,60,1,0.21714326739311218,-1.2147579193115234
Qiskit__qiskit-609,c4e91147e4a676bdb1bc959115187ebf4efdb279,39,4,35,0.25935518741607666,-0.586056113243103
Qiskit__qiskit-609,97d50823c94153eb92a3ae7fb012b9679323a585,176,14,162,0.14428991079330444,-0.8194041848182678
Qiskit__qiskit-435,ed8621627c1becf6a930b4b6e72fbc01f7eb3568,224,118,106,0.151773601770401,-2.567152261734009
Qiskit__qiskit-435,adb3f5d811e54dbb3b9f54f95e59fbc20251112c,59,109,-50,0.34717991948127747,-2.3933162689208984
Qiskit__qiskit-435,aef20dfbfecbaa6b317e46e56de6b58bdd059724,264,83,181,0.10420305281877518,-2.1006712913513184
Qiskit__qiskit-435,78205378eaac067bb36d68ea7727b68da06264eb,94,42,52,0.28612586855888367,-1.897994041442871
Qiskit__qiskit-435,98dc55e58957849c0b3ba1b152b33b3269128d12,13,8,5,0.4552735984325409,-1.472053050994873
Qiskit__qiskit-435,d63f9954bee6a082fa51b3a5036870ef8e209fd3,249,38,211,0.1250089555978775,-1.8675999641418457
Qiskit__qiskit-435,46bdba154d5c00e7bb2546a0e9ebf52e0ecfbdcc,111,68,43,0.2578745484352112,-2.028454303741455
Qiskit__qiskit-435,3e3689565a88d9b75ab957de6f3dd7939e688726,236,24,212,0.14048084616661072,-1.7203103303909302
Qiskit__qiskit-435,6a6ea3bc8ae64254c360d6f6e7d096b7879c809f,246,52,194,0.12896966934204102,-1.9560577869415283
Qiskit__qiskit-435,2fe10c061dbc46aeaac31161f0f3ab0db1baa386,89,51,38,0.2960522770881653,-1.951768159866333
Qiskit__qiskit-435,90b238fd5aa64ed175899ff0f9e948f0d6ee6516,67,86,-19,0.32453453540802,-2.123162269592285
Qiskit__qiskit-435,60e9d9aea985db3a3f280c87b3229f7ec8736b26,166,115,51,0.19228984415531158,-2.493363857269287
Qiskit__qiskit-435,01b1ebb9fee7dc9dae1deab2f92cd26cf3a55eeb,228,85,143,0.14900067448616028,-2.111367702484131
Qiskit__qiskit-435,d38715b392652a153dc9231046342b2d8407556b,76,4,72,0.308668851852417,-1.307546615600586
Qiskit__qiskit-435,872361fdea9338aa38559cb8573b2fcf9ba3ca5f,25,79,-54,0.4170587658882141,-2.0914340019226074
