bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
wagtail__wagtail-118,24fd0a2f1d0d2223631265eae41a26718bd7468d,32,37,-5,0.4003543555736542,-0.15422150492668152
wagtail__wagtail-1273,f938585c1fc93d48c7a0eb74c86c3aab5a389c4d,795,9,786,0.20817780494689941,-0.12055009603500366
wagtail__wagtail-9236,88cc36875a110c7c1e8a283b1a695d59998deea9,603,17,586,0.30004632472991943,-0.14439329504966736
wagtail__wagtail-356,ee68f46554f5024c443da29ed842f0ed0c3c0c2e,541,49,492,0.10375651717185974,-0.7034596800804138
wagtail__wagtail-356,6b273e4b6539ca1dfd5ddf6f6ee620146fa95d6a,165,5,160,0.28654325008392334,-0.15629512071609497
wagtail__wagtail-6442,57381ec39206272784831bb77dddb9f11ba322f5,1294,3,1291,0.22675305604934692,-0.1432580202817917
wagtail__wagtail-426,f0336fec46a941eb474ee1980487f2411cb4b185,280,66,214,0.22637002170085907,-1.8520424365997314
wagtail__wagtail-426,f3c871507ae1031a399184d02404a80968fffe07,105,16,89,0.3211227059364319,-0.14436043798923492
wagtail__wagtail-426,cf33bcbfbf826da61024c9fed5ff1503d5e0e369,76,6,70,0.4068247377872467,-0.12957170605659485
wagtail__wagtail-1475,36cc6294a4b54e6a8b0c7e4939ca0a66db492661,564,8,556,0.19000115990638733,-0.14036288857460022
wagtail__wagtail-208,027d61158102d46052094b8dc22348782f70f743,400,39,361,0.23087279498577118,-0.21414418518543243
wagtail__wagtail-208,6e30381c1b30896e34b5ed761d202f95b850beff,374,25,349,0.24562592804431915,-0.1481696218252182
wagtail__wagtail-208,c144b39b937e7046bb0f4a6875959d6bdc4f22fc,553,11,542,0.12081694602966309,-0.10784368216991425
wagtail__wagtail-208,500c4920cdd66176f9c9daa64bfcf54414322b6d,418,4,414,0.22230568528175354,-0.10346263647079468
wagtail__wagtail-208,9d6b9590c2ee957f6e33d6fc6de91ec0557f3195,407,21,386,0.22864504158496857,-0.1215975284576416
wagtail__wagtail-208,04d8b0a9ebfefb65b0dea8afee6b193a564e7a40,537,1,536,0.16263246536254883,-0.099936842918396
wagtail__wagtail-208,adc492adac433aa9bbf0afad8dba9630974b91de,492,22,470,0.19269917905330658,-0.12225319445133209
wagtail__wagtail-8006,039b36031b83c2a09405921f8c419fad74dbf52d,1258,31,1227,0.2931995391845703,-0.43088996410369873
wagtail__wagtail-2880,d6bdc14aefbd5075ad61836538ba26e351187353,285,49,236,0.31473660469055176,-0.5085964202880859
wagtail__wagtail-321,69e6b7f4f43bbeedbd9f1886d8381d670f9767a9,400,8,392,0.23175600171089172,-0.1558193564414978
wagtail__wagtail-7512,92c8d8e9574318ae475c3be7c66d357ed8ef6342,1,13,-12,0.4925885796546936,-0.10703630745410919
wagtail__wagtail-1623,53dbe297a30fcc90491f1aae898549a3d9d8e814,196,3,193,0.31349340081214905,-0.17406383156776428
