bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
ipython__ipython-13825,fc3aea7b61194aba898e18a6d25ea1f744b45897,55,201,-146,0.3891361653804779,-2.340273857116699
ipython__ipython-6029,8f5808867299e98523d5d7cdb79d15406005aa3c,524,251,273,0.28235164284706116,-3.0118250846862793
ipython__ipython-10863,899ff029ba255bf994070ccd150b4856941d14e5,196,164,32,0.2669580578804016,-2.717893600463867
ipython__ipython-1541,60ed39126916f8dc08f50a4f4ea28180832df3f3,46,284,-238,0.4457070827484131,-3.534111499786377
ipython__ipython-9182,b522c0ec403ab7ee2222fb3c358e0afd5c26fdde,19,286,-267,0.4849950075149536,-3.398617744445801
ipython__ipython-9186,a34e95ddc17e3cab1867c1c5160b20b46e642705,79,286,-207,0.360121488571167,-3.4883008003234863
ipython__ipython-4195,df7f5a55a062c450094c54689939ae590454bfd5,27,283,-256,0.6502853631973267,-3.558609962463379
ipython__ipython-10479,ac0414d6e16fbb4ce72273c6ffeeee157f07ab63,102,275,-173,0.2928375005722046,-3.1857335567474365
ipython__ipython-10479,c836cc7fd8860f32046f48acb7a7b9e7c92d78af,37,131,-94,0.3804391622543335,-1.5898367166519165
ipython__ipython-13888,df4648b8914b7398641df7e2e32582021425f9c0,358,270,88,0.2127322256565094,-3.5566229820251465
ipython__ipython-13888,d04d4637ba78d7da2df7a13046191933f31a6ea1,108,159,-51,0.406779944896698,-2.2129898071289062
ipython__ipython-9711,14f2d5348f59d6f71620feae8189d533ac3784d2,101,191,-90,0.44200921058654785,-2.5578722953796387
ipython__ipython-4908,d71795a2e5dcba2082126818e14dbb901b7c0e05,226,233,-7,0.2929253578186035,-2.767660140991211
ipython__ipython-13961,471d2058f8be37b615e0b2ff59e64673016ae996,113,283,-170,0.3896182179450989,-3.361755609512329
ipython__ipython-9022,2934beef1d9940039f07be3ccd5dbdb1648080cd,197,285,-88,0.39981114864349365,-3.3487026691436768
ipython__ipython-1691,d9f425115ba9e29bf3bc977dd6f261019e94cc43,695,284,411,0.1976321041584015,-3.4429891109466553
ipython__ipython-1691,04490d6078512b390623cb7c8a7080aab55776f3,247,224,23,0.3124541640281677,-2.358090877532959
ipython__ipython-2479,dff928612e2a53122915bd858eab64790cf2faae,317,230,87,0.2364780604839325,-2.57340931892395
ipython__ipython-2479,5cf0b573c6c320e079d36a1f228b69d3a1568bcc,287,219,68,0.24253427982330322,-2.4901368618011475
ipython__ipython-13763,206ff20a0f88aafd28adc83ef20c3836d9f4bd8b,156,232,-76,0.2776658833026886,-2.9400272369384766
ipython__ipython-2812,4a331cb6cf4220b4115dd9a0c539af985039a62b,873,270,603,0.17251813411712646,-3.1687326431274414
ipython__ipython-6036,a18860aa4f7c2280ce15bf03659a3f0b95eabcbe,78,250,-172,0.5052005052566528,-2.8567190170288086
ipython__ipython-11650,73039bdb394f4317fe67bdb8d0eb4f0fbb3a5da3,40,246,-206,0.5177373886108398,-2.8492369651794434
ipython__ipython-8736,4b95befdb78d1ed2ebce5352a02cdfb9cfa62f6d,166,275,-109,0.36563044786453247,-3.227135181427002
ipython__ipython-13328,26e1883fd619fb3626ca7a5786e7381487b91a6f,241,259,-18,0.3216061294078827,-3.2684030532836914
ipython__ipython-10548,230a2c6e8c724f1fc7b7664d653deb1ba4142abb,427,224,203,0.10414145886898041,-2.6701245307922363
ipython__ipython-9596,1b4d55b1eff1c13fab82962f1557b6f0389a6cad,104,158,-54,0.3531847596168518,-2.059910297393799
ipython__ipython-11353,ca5c3aa5b8615e70638db0008cd69f12a3f93bc4,46,285,-239,0.43803372979164124,-3.501474380493164
ipython__ipython-9418,7db39a27b51e6a3cc3a3d04661a6d12f7b66a45f,53,180,-127,0.401502788066864,-2.3382811546325684
ipython__ipython-9419,f56ee615bd8252a6118eb06102c869469a0f1d27,49,193,-144,0.44204026460647583,-2.573927879333496
ipython__ipython-7502,53a44e1720d878a49cf9b5e9be8b62558c1f73da,733,254,479,0.3179101347923279,-2.94315767288208
ipython__ipython-10321,2500a07b135915b050562a91971be7924e06860a,211,258,-47,0.2382943034172058,-3.674686908721924
ipython__ipython-10321,c0a070467bccbccc84df1d4292617dd5887d2797,177,251,-74,0.2543993592262268,-3.6499991416931152
ipython__ipython-10321,49cf8b236a6b82803bdff4677c3d65be2da480b7,157,242,-85,0.26778513193130493,-3.606369972229004
ipython__ipython-10321,c3a3e9190fce20c128bfeb2c41f90074f22da9ce,151,269,-118,0.27169564366340637,-3.7158467769622803
ipython__ipython-10321,aaada320ae03f1c4e6fb490dbcf9775912a0906e,321,263,58,0.20085889101028442,-3.6947035789489746
ipython__ipython-10321,fc0dd287fff2651efff1ca331c44abebd01df086,203,257,-54,0.24226483702659607,-3.6631720066070557
ipython__ipython-10321,c9a17007ecb4f955b42695a54518ca167a9c239b,172,267,-95,0.2554737627506256,-3.7083992958068848
ipython__ipython-3601,cc19ee53c30ef6bca8c42ecf298276949a7f2b0b,781,272,509,0.17765168845653534,-3.564526319503784
ipython__ipython-1946,1291822f8848aa8af8a482bc0094aa55dc05fb7c,314,244,70,0.31343013048171997,-2.7645246982574463
ipython__ipython-11418,e2dd2d087737110b3e2054bf734cd5f641836609,140,198,-58,0.3112279772758484,-3.269242286682129
ipython__ipython-11419,9858236905db9c4e6c624fa121d73dfd0cb1c2bd,1,167,-166,0.6247069835662842,-2.117741107940674
ipython__ipython-9833,6ce7709ab94ba000e24e2471fdd7b1bfdfb14f2b,73,121,-48,0.33799731731414795,-1.5267205238342285
ipython__ipython-4526,f90ca9831a2aa7ffdab557ba1d3cd93a72caa458,108,268,-160,0.3065325617790222,-3.5919179916381836
ipython__ipython-3319,3dc43cfcc701f14d75475783ef37cdb5dbeb8de6,41,285,-244,0.4678390622138977,-3.462831497192383
ipython__ipython-3319,6f7a19c219fb8afa5abec453b803b99c1cc4a51f,940,100,840,0.1500164270401001,-0.32064083218574524
ipython__ipython-3319,786e842ce87c1fbb70fd31775e497851be9423b2,122,28,94,0.41953274607658386,-0.32064083218574524
ipython__ipython-8111,ef97162b318fd38fe8df02d5aa9c7d551a49c817,483,231,252,0.2529169023036957,-2.689558982849121
ipython__ipython-8809,f0040bfd831bb4c3d0aa9e7458c6a4e5581bcf71,448,289,159,0.21247078478336334,-3.3530819416046143
ipython__ipython-4960,e1090d967ed2f653bfb2b1c4216ccd2260b37e57,497,239,258,0.2045893669128418,-3.4016942977905273
ipython__ipython-10907,74622b584bbbf295dd66f572775e473faa000928,32,283,-251,0.44019806385040283,-3.4082539081573486
ipython__ipython-7778,f2a90cd8b8bbb2a4accd3374a0e8399f4ea7867a,388,288,100,0.3236585855484009,-3.5210561752319336
ipython__ipython-9861,cac949c011c9aeb4fc72b2251c2399d22956766b,410,288,122,0.17092838883399963,-3.463239908218384
ipython__ipython-8318,3aaa9fd58d169b4544ece8d96c9a8759b9294a34,70,261,-191,0.39604485034942627,-3.5867178440093994
ipython__ipython-10699,ef9ae1b922a677bc49159b94f0daa7f4ee06e113,78,195,-117,0.4172361195087433,-2.4469709396362305
ipython__ipython-7129,c9cbe8c495c0e0f500a1e3aeda3b316820378f81,244,276,-32,0.34034404158592224,-3.2684478759765625
ipython__ipython-490,8081dca0c07d56ce2a16629d172d8b4408c8b214,449,267,182,0.181372731924057,-2.9177544116973877
ipython__ipython-1689,6e5f7039c26d4fee67e71577649f21b084ebfc39,130,220,-90,0.35135430097579956,-2.8699073791503906
ipython__ipython-13745,cffd0866f42d0496290b4fdc8c68e4ee9e3c79a0,1,214,-213,0.6562446355819702,-2.8388688564300537
ipython__ipython-13745,47791d7ca6528ed475ad54df841b4ff9ec8812f0,499,250,249,0.15070515871047974,-3.211408853530884
ipython__ipython-10523,2fe9974d52d4795d1937755c4a145fd7da8edd6f,183,167,16,0.3698209226131439,-2.138126850128174
ipython__ipython-10481,f551fd4611db86e7c770fd188a24574c0e170e5c,39,134,-95,0.39283761382102966,-1.6580257415771484
ipython__ipython-10481,9ca0307b7c4c4a4d2f9ff1a93f51ff8a51841b71,344,220,124,0.19279806315898895,-2.6725401878356934
ipython__ipython-6123,37be0da8a28877423a78836bc211f1a92d502c55,207,238,-31,0.4196634292602539,-3.117467164993286
ipython__ipython-815,085a271dfc2c2f300eb701bbe76d7ac1656f4833,83,278,-195,0.46063417196273804,-3.3293566703796387
ipython__ipython-1229,7dbf914253317b9dc87935edfba31a7bfcca9048,98,5,93,0.4538751542568207,-0.20703351497650146
ipython__ipython-11092,8028b99eef54e106978e004d869e5dbb08a8e81c,187,210,-23,0.27922186255455017,-2.5499887466430664
ipython__ipython-1121,feba34d7a4d8d4bdc1a4e114771070cfb79704e5,202,246,-44,0.2891994118690491,-3.3394103050231934
ipython__ipython-4536,fd0737d3b1f5ca2a85746625793a0fe8a32a29fb,334,274,60,0.34487971663475037,-3.4409608840942383
ipython__ipython-4536,8c043a12361474dcddb8d68d3320e7f8a8016d61,52,282,-230,0.5140734314918518,-3.567446231842041
ipython__ipython-4536,b1d07a68d3b8b61d02849bc0652892516f76b7b4,1101,190,911,0.12735892832279205,-2.617466926574707
ipython__ipython-4536,4cea749ad2b0cf033c019027e35ffd32ba633969,290,216,74,0.35889142751693726,-2.952125310897827
ipython__ipython-4536,43da3ef9cf09565082bc02080eb887e0607d0d19,657,239,418,0.27321383357048035,-3.0837597846984863
ipython__ipython-4536,a69ad70b097c516166491f25ab44eb1004c4fa90,322,208,114,0.34785205125808716,-2.7978599071502686
