bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
mesonbuild__meson-1028,2861bb6c99de8e22704a256255b569fafdc9a7fa,34,13,21,0.3673328161239624,-2.361164093017578
mesonbuild__meson-4623,f21e73a31c93b97cf2cec906e90c608ea705bd8e,2223,280,1943,0.11402510106563568,-3.1610288619995117
mesonbuild__meson-6398,669c8ffeaf1bcbce6f005890fc9e96e447c86ddf,30,19,11,0.48917317390441895,-1.7266815900802612
mesonbuild__meson-7791,4b48e31463d92f6b3a32d537d45ae9f53d455551,160,10,150,0.42856863141059875,-2.661198139190674
mesonbuild__meson-297,d66aa1f3288157cf53028c34c662baefebe28f60,604,290,314,0.20957541465759277,-3.947766065597534
mesonbuild__meson-2995,2032e05ee805f53c1c96a0eeeccc3b0b6da753ba,147,32,115,0.2602950632572174,-2.1652917861938477
mesonbuild__meson-10803,ea8b849d1830a16302ec296cdeeb7b40da35f345,442,14,428,0.3657548725605011,-3.3406121730804443
mesonbuild__meson-490,4f55be444806573b58f20113d5845d8b80d123bf,92,12,80,0.3348325490951538,-1.6535007953643799
mesonbuild__meson-3499,41ede1d5e0ee35e2d86ab2eda171475f70e79c7d,890,24,866,0.3719123899936676,-2.940585136413574
mesonbuild__meson-9202,c6a699436a961674e019e29a7a4c3b37f1facae6,153,43,110,0.34447646141052246,-3.3999781608581543
mesonbuild__meson-6288,ec270d7b99fa181192ea7a720714f8aab38b3b3e,2164,14,2150,0.28251612186431885,-2.82472562789917
mesonbuild__meson-7798,a6cfd5bf259c564fca03012784848c735c2c80d9,1045,17,1028,0.257763147354126,-3.2345075607299805
mesonbuild__meson-4349,8c6c60ecda47fc32ee43432cb1511bd530a946c6,88,45,43,0.4709705114364624,-2.966994047164917
mesonbuild__meson-4349,ee80a87b6fdb4b69a5cd75be866c6269e67a0587,68,17,51,0.49009060859680176,-2.3889331817626953
mesonbuild__meson-8611,959446063c4536545c0fc9e3e2f111c9aa04eab3,460,6,454,0.3045024275779724,-1.4318078756332397
mesonbuild__meson-11631,5718004a182829df0d1c613edb6edf0cb0c6912d,61,42,19,0.47169333696365356,-2.7932679653167725
mesonbuild__meson-1516,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,30,59,-29,0.4269651770591736,-2.531259536743164
mesonbuild__meson-1516,b1efc134f0bf0bd62d15ab29475f28a4a8fa38bd,125,22,103,0.32464343309402466,-2.0456950664520264
mesonbuild__meson-6139,80cc0270023b6f7c477e3ef9f01e621cfa2f0524,362,57,305,0.2425486147403717,-3.3910634517669678
mesonbuild__meson-6139,8b19b6daf210f12e153d837ab3894cb1f7fad012,17,30,-13,0.36556702852249146,-3.067626953125
mesonbuild__meson-6139,6be2c449274d7b8fae1059e7421b787de444044d,1930,17,1913,0.15338164567947388,-2.8392527103424072
mesonbuild__meson-5292,b107a25b1d95e79f5982e21b81d1dd48828548dd,25,50,-25,0.4929445683956146,-3.4878664016723633
mesonbuild__meson-5292,a75c0b7c2e7457af2f1eedad2f7da00d23860c6a,163,62,101,0.4094644784927368,-3.632288932800293
mesonbuild__meson-5292,650d1e06c6c8f312b0cfc712c210305d7947c967,189,54,135,0.3972483277320862,-3.5325961112976074
mesonbuild__meson-5193,b5f48bd892c0ab3280e231c8bcdf9732ed29ad38,407,41,366,0.2832852303981781,-3.749454975128174
mesonbuild__meson-5243,119c1c2b94e7c1422b89e4a4c5edc871d34ed643,1320,24,1296,0.30651038885116577,-1.861704707145691
mesonbuild__meson-5243,739f6e771484a29b262d237469d890cea1202f0b,60,48,12,0.45160627365112305,-2.2177085876464844
mesonbuild__meson-10747,bbf31ad11cf8ce8ca9f2eac04dac118defb69ec3,182,55,127,0.3468618094921112,-2.6574952602386475
mesonbuild__meson-1039,1505807f19367ac40a1c6d067b9d5f38900b9690,1,9,-8,0.6326920986175537,-1.9735398292541504
mesonbuild__meson-2815,c16d7a84004137b19a3b6255bb1598b654f6022a,345,22,323,0.37733790278434753,-2.014120101928711
mesonbuild__meson-11181,0c4690b4782f8dc103e9ab5eaaba9837afc8f169,25,80,-55,0.5205838680267334,-3.8989346027374268
mesonbuild__meson-3093,a65f15db6784f811d96a8aee9554a5417e58869a,17,31,-14,0.4817763566970825,-1.897397518157959
mesonbuild__meson-3093,11fa80d31a39e1b9c1c82973f939d6c95283c43b,1573,23,1550,0.3102305233478546,-1.721724033355713
mesonbuild__meson-934,7f7ab43ff13647def6cfbb60d524cc75cc0c178d,825,23,802,0.3028768002986908,-2.117581844329834
mesonbuild__meson-6132,a22e8d4ecdaff17d92f23e5fd74d7d88f619e9bf,25,39,-14,0.4851487874984741,-1.9290674924850464
mesonbuild__meson-3894,7ed97b2bb36475ab3834b690d1f90c204db1acf5,37,25,12,0.47874435782432556,-2.9180049896240234
mesonbuild__meson-3894,17f92400f02fb6ed815fbcb369e84e44738f9cfe,22,38,-16,0.5169621706008911,-3.1483726501464844
mesonbuild__meson-3894,b8ae399aed57d7c2c938cf4aa30a478a99fd1757,34,32,2,0.48284634947776794,-3.0481674671173096
mesonbuild__meson-3894,ace0693383ab637ac3c33bf3a9774f74bcb2bfa5,25,33,-8,0.5075567960739136,-3.062333583831787
mesonbuild__meson-3894,5648a6f46fe03f5323a7087b53c37044c90ebf99,127,11,116,0.40008416771888733,-1.7635910511016846
mesonbuild__meson-225,6906d31c960b3bb14602be73132cc1a4f74cc08c,137,48,89,0.2380983829498291,-2.6096649169921875
mesonbuild__meson-225,9e3a782494f2e10e72b9a94d90e1ab5fba6c790c,444,25,419,0.15998739004135132,-2.201084613800049
mesonbuild__meson-225,1aea4542db9fba979e7c5a18a85cb5f2e0438724,245,36,209,0.20054619014263153,-2.424022674560547
mesonbuild__meson-1068,7c4fb1d94a0bd17e2fd45aa1f42b0ed7e688139c,807,41,766,0.2597580850124359,-3.729241371154785
mesonbuild__meson-9546,ea5ab8efa44a7817e0277f37ee00c91d419a78cb,203,273,-70,0.3231913447380066,-3.479980707168579
mesonbuild__meson-661,5201be2f63c89f6882746272a0f9eb0e482e5493,684,38,646,0.2222222536802292,-3.1841821670532227
mesonbuild__meson-5553,54535ff52fb151d8e049ab10d222623c732d7827,25,38,-13,0.35664841532707214,-2.3274123668670654
mesonbuild__meson-8071,589945c511ff83b1014df28cd0f69d03c4af97aa,12,37,-25,0.4854612350463867,-2.7353010177612305
mesonbuild__meson-8071,faac0edec515442639f086cfa5afa7da32d0265d,2,60,-58,0.521499752998352,-2.9733548164367676
mesonbuild__meson-428,70486dc6d0e021db3266ac09cfbd458d2e9e6758,212,42,170,0.3515602946281433,-3.210994243621826
mesonbuild__meson-3573,15b37378c092646bf86c81e8ce84052b9eb1c827,62,83,-21,0.46003347635269165,-3.721503734588623
mesonbuild__meson-3573,a1dbac821131138fe1209fbb2db9217f4deadb66,506,38,468,0.308675616979599,-3.2749321460723877
mesonbuild__meson-3573,2b6281d7f5639c640be6d3ae4aaf41f97c469fbb,57,78,-21,0.46621233224868774,-3.697141170501709
mesonbuild__meson-327,f111610614ca8b0d0804a2399ca6ea6813c52af0,585,263,322,0.19951562583446503,-3.0329957008361816
mesonbuild__meson-6412,a3cdfdc7e89b6e1c96d661291eaf2afc3dd3a7e0,2760,47,2713,0.16313786804676056,-3.463141679763794
mesonbuild__meson-6412,8feb4f36e48451909d83f12200dca9e1011b504c,2793,40,2753,0.0901106745004654,-3.3414366245269775
mesonbuild__meson-6412,ff9f1d942beb1cdbe4a8d903e629a58b07ee8d76,804,23,781,0.3319186568260193,-3.005126476287842
mesonbuild__meson-6412,eb3a9644e3bc58ae1744b353ed26aabad9333a15,636,32,604,0.341943621635437,-3.2318124771118164
mesonbuild__meson-6412,cc726ce7830bf6f94a8256b9b2b6988b77d0ab8d,218,29,189,0.3890564441680908,-3.1634607315063477
mesonbuild__meson-6412,051b21ccdeceaa63943828529dbb848002b62e98,291,20,271,0.37422019243240356,-2.967048168182373
mesonbuild__meson-6412,bb62fb2d74083ca49e5508022746813de627ee13,2663,13,2650,0.21681195497512817,-2.7514495849609375
mesonbuild__meson-6412,7a0e7847a9b9e72f2425d8f382ad5710fe5f3496,2186,51,2135,0.2836921215057373,-3.5425944328308105
mesonbuild__meson-6412,3f4e5fa9236e326daeb01b58318e0070b8958fa7,2564,12,2552,0.24753299355506897,-2.6618614196777344
mesonbuild__meson-6412,e54809657fe6975d9ca16199384e71e664a5a00f,2402,17,2385,0.26787129044532776,-2.917022228240967
mesonbuild__meson-6412,07ff3c9df3f7c813dd25214cf6daaf68419727af,2661,16,2645,0.21791228652000427,-2.8434605598449707
mesonbuild__meson-7955,0f074bb17453abd054c178d1524ce629c7b4291b,440,9,431,0.31513023376464844,-2.4902055263519287
mesonbuild__meson-5123,913f942148db7717a2560ee6197f8e966093925d,2283,20,2263,0.1854892075061798,-2.550741672515869
mesonbuild__meson-10679,0521125eaec0d0359c36adedda7e03ae4080c45f,2194,16,2178,0.2344960868358612,-3.013033390045166
mesonbuild__meson-11654,5743236b3898d9f873a33aa4e93fbaa13631b5e3,31,82,-51,0.44523394107818604,-2.864762783050537
mesonbuild__meson-11654,cd4cfb1fae2f77c318c4be29f5e49f085cee78a1,1,48,-47,0.5115395188331604,-2.5816900730133057
mesonbuild__meson-318,47221c1c21714783dac27a6a0a60f1d3a6565690,588,26,562,0.1678554117679596,-2.928260326385498
mesonbuild__meson-318,0f3c2804688a9e3819d3fccff4d7575f7c34c56e,594,32,562,0.16236332058906555,-3.069329261779785
mesonbuild__meson-9347,e061c9e30e55780c7c3d93948310297d455fee9a,187,17,170,0.3485710024833679,-2.6185247898101807
mesonbuild__meson-5083,4d35d223d24b25c68010e5b354e904c41266c223,120,20,100,0.4676968455314636,-3.3654088973999023
mesonbuild__meson-5083,fba90fa369ab7be6151356013f16764bbed63987,376,35,341,0.3459610342979431,-3.567549705505371
mesonbuild__meson-4308,0fc052b778d073a662fa70b229853aa42c67e740,221,22,199,0.30649396777153015,-1.764625906944275
mesonbuild__meson-52,6a1efdffe23f329dbdee53145e16256892c4d358,423,35,388,0.17951354384422302,-2.4361977577209473
