bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
mesonbuild__meson-1028,2861bb6c99de8e22704a256255b569fafdc9a7fa,34,2,32,0.3673328161239624,-0.6511015892028809
mesonbuild__meson-4623,f21e73a31c93b97cf2cec906e90c608ea705bd8e,2223,5,2218,0.11402510106563568,-0.4142140746116638
mesonbuild__meson-6398,669c8ffeaf1bcbce6f005890fc9e96e447c86ddf,30,14,16,0.48917317390441895,-0.25505298376083374
mesonbuild__meson-7791,4b48e31463d92f6b3a32d537d45ae9f53d455551,160,13,147,0.42856863141059875,-0.4139523506164551
mesonbuild__meson-297,d66aa1f3288157cf53028c34c662baefebe28f60,604,8,596,0.20957541465759277,-2.332526206970215
mesonbuild__meson-2995,2032e05ee805f53c1c96a0eeeccc3b0b6da753ba,147,2,145,0.2602950632572174,-0.4022892117500305
mesonbuild__meson-10803,ea8b849d1830a16302ec296cdeeb7b40da35f345,442,14,428,0.3657548725605011,-1.138031244277954
mesonbuild__meson-490,4f55be444806573b58f20113d5845d8b80d123bf,92,1,91,0.3348325490951538,-0.3145866394042969
mesonbuild__meson-3499,41ede1d5e0ee35e2d86ab2eda171475f70e79c7d,890,1,889,0.3719123899936676,-0.7547868490219116
mesonbuild__meson-9202,c6a699436a961674e019e29a7a4c3b37f1facae6,153,2,151,0.34447646141052246,-1.040966272354126
mesonbuild__meson-6288,ec270d7b99fa181192ea7a720714f8aab38b3b3e,2164,2,2162,0.28251612186431885,-0.4707781672477722
mesonbuild__meson-7798,a6cfd5bf259c564fca03012784848c735c2c80d9,1045,1,1044,0.257763147354126,-0.9403673410415649
mesonbuild__meson-4349,8c6c60ecda47fc32ee43432cb1511bd530a946c6,88,3,85,0.4709705114364624,-0.5956554412841797
mesonbuild__meson-4349,ee80a87b6fdb4b69a5cd75be866c6269e67a0587,68,9,59,0.49009060859680176,-0.6018925309181213
mesonbuild__meson-8611,959446063c4536545c0fc9e3e2f111c9aa04eab3,460,23,437,0.3045024275779724,-0.1458151936531067
mesonbuild__meson-11631,5718004a182829df0d1c613edb6edf0cb0c6912d,61,5,56,0.47169333696365356,-0.7421485781669617
mesonbuild__meson-1516,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,30,93,-63,0.4269651770591736,-3.518826961517334
mesonbuild__meson-1516,b1efc134f0bf0bd62d15ab29475f28a4a8fa38bd,125,3,122,0.32464343309402466,-0.34319770336151123
mesonbuild__meson-6139,80cc0270023b6f7c477e3ef9f01e621cfa2f0524,362,48,314,0.2425486147403717,-1.3938488960266113
mesonbuild__meson-6139,8b19b6daf210f12e153d837ab3894cb1f7fad012,17,14,3,0.36556702852249146,-1.320298433303833
mesonbuild__meson-6139,6be2c449274d7b8fae1059e7421b787de444044d,1930,58,1872,0.15338164567947388,-2.2268896102905273
mesonbuild__meson-5292,b107a25b1d95e79f5982e21b81d1dd48828548dd,25,11,14,0.4929445683956146,-0.9137903451919556
mesonbuild__meson-5292,a75c0b7c2e7457af2f1eedad2f7da00d23860c6a,163,16,147,0.4094644784927368,-0.9152223467826843
mesonbuild__meson-5292,650d1e06c6c8f312b0cfc712c210305d7947c967,189,12,177,0.3972483277320862,-0.9139995574951172
mesonbuild__meson-5193,b5f48bd892c0ab3280e231c8bcdf9732ed29ad38,407,3,404,0.2832852303981781,-0.7304948568344116
mesonbuild__meson-5243,119c1c2b94e7c1422b89e4a4c5edc871d34ed643,1320,5,1315,0.30651038885116577,-0.23519578576087952
mesonbuild__meson-5243,739f6e771484a29b262d237469d890cea1202f0b,60,2,58,0.45160627365112305,-0.23316243290901184
mesonbuild__meson-10747,bbf31ad11cf8ce8ca9f2eac04dac118defb69ec3,182,41,141,0.3468618094921112,-2.306400775909424
mesonbuild__meson-1039,1505807f19367ac40a1c6d067b9d5f38900b9690,1,2,-1,0.6326920986175537,-1.340322732925415
mesonbuild__meson-2815,c16d7a84004137b19a3b6255bb1598b654f6022a,345,3,342,0.37733790278434753,-0.46771323680877686
mesonbuild__meson-11181,0c4690b4782f8dc103e9ab5eaaba9837afc8f169,25,18,7,0.5205838680267334,-1.3698921203613281
mesonbuild__meson-3093,a65f15db6784f811d96a8aee9554a5417e58869a,17,2,15,0.4817763566970825,-0.6246447563171387
mesonbuild__meson-3093,11fa80d31a39e1b9c1c82973f939d6c95283c43b,1573,5,1568,0.3102305233478546,-0.6283073425292969
mesonbuild__meson-934,7f7ab43ff13647def6cfbb60d524cc75cc0c178d,825,1,824,0.3028768002986908,-0.5918378829956055
mesonbuild__meson-6132,a22e8d4ecdaff17d92f23e5fd74d7d88f619e9bf,25,16,9,0.4851487874984741,-0.17127490043640137
mesonbuild__meson-3894,7ed97b2bb36475ab3834b690d1f90c204db1acf5,37,3,34,0.47874435782432556,-0.3926434814929962
mesonbuild__meson-3894,17f92400f02fb6ed815fbcb369e84e44738f9cfe,22,15,7,0.5169621706008911,-0.40123188495635986
mesonbuild__meson-3894,b8ae399aed57d7c2c938cf4aa30a478a99fd1757,34,16,18,0.48284634947776794,-0.4013831615447998
mesonbuild__meson-3894,ace0693383ab637ac3c33bf3a9774f74bcb2bfa5,25,7,18,0.5075567960739136,-0.39480850100517273
mesonbuild__meson-3894,5648a6f46fe03f5323a7087b53c37044c90ebf99,127,22,105,0.40008416771888733,-0.40684396028518677
mesonbuild__meson-225,6906d31c960b3bb14602be73132cc1a4f74cc08c,137,9,128,0.2380983829498291,-0.5843511819839478
mesonbuild__meson-225,9e3a782494f2e10e72b9a94d90e1ab5fba6c790c,444,3,441,0.15998739004135132,-0.5815353393554688
mesonbuild__meson-225,1aea4542db9fba979e7c5a18a85cb5f2e0438724,245,2,243,0.20054619014263153,-0.578223466873169
mesonbuild__meson-1068,7c4fb1d94a0bd17e2fd45aa1f42b0ed7e688139c,807,2,805,0.2597580850124359,-1.3239660263061523
mesonbuild__meson-9546,ea5ab8efa44a7817e0277f37ee00c91d419a78cb,203,2,201,0.3231913447380066,-0.4661712050437927
mesonbuild__meson-661,5201be2f63c89f6882746272a0f9eb0e482e5493,684,1,683,0.2222222536802292,-1.0197632312774658
mesonbuild__meson-5553,54535ff52fb151d8e049ab10d222623c732d7827,25,7,18,0.35664841532707214,-0.35975006222724915
mesonbuild__meson-8071,589945c511ff83b1014df28cd0f69d03c4af97aa,12,26,-14,0.4854612350463867,-0.4400802254676819
mesonbuild__meson-8071,faac0edec515442639f086cfa5afa7da32d0265d,2,10,-8,0.521499752998352,-0.4353843033313751
mesonbuild__meson-428,70486dc6d0e021db3266ac09cfbd458d2e9e6758,212,1,211,0.3515602946281433,-0.6255872249603271
mesonbuild__meson-3573,15b37378c092646bf86c81e8ce84052b9eb1c827,62,6,56,0.46003347635269165,-1.4950096607208252
mesonbuild__meson-3573,a1dbac821131138fe1209fbb2db9217f4deadb66,506,4,502,0.308675616979599,-1.493455171585083
mesonbuild__meson-3573,2b6281d7f5639c640be6d3ae4aaf41f97c469fbb,57,8,49,0.46621233224868774,-1.4952400922775269
mesonbuild__meson-327,f111610614ca8b0d0804a2399ca6ea6813c52af0,585,5,580,0.19951562583446503,-0.3953910171985626
mesonbuild__meson-6412,a3cdfdc7e89b6e1c96d661291eaf2afc3dd3a7e0,2760,20,2740,0.16313786804676056,-0.9505089521408081
mesonbuild__meson-6412,8feb4f36e48451909d83f12200dca9e1011b504c,2793,7,2786,0.0901106745004654,-0.6340656280517578
mesonbuild__meson-6412,ff9f1d942beb1cdbe4a8d903e629a58b07ee8d76,804,15,789,0.3319186568260193,-0.6594089865684509
mesonbuild__meson-6412,eb3a9644e3bc58ae1744b353ed26aabad9333a15,636,4,632,0.341943621635437,-0.6299341917037964
mesonbuild__meson-6412,cc726ce7830bf6f94a8256b9b2b6988b77d0ab8d,218,6,212,0.3890564441680908,-0.6328938007354736
mesonbuild__meson-6412,051b21ccdeceaa63943828529dbb848002b62e98,291,5,286,0.37422019243240356,-0.6312207579612732
mesonbuild__meson-6412,bb62fb2d74083ca49e5508022746813de627ee13,2663,12,2651,0.21681195497512817,-0.6404902338981628
mesonbuild__meson-6412,7a0e7847a9b9e72f2425d8f382ad5710fe5f3496,2186,8,2178,0.2836921215057373,-0.6341219544410706
mesonbuild__meson-6412,3f4e5fa9236e326daeb01b58318e0070b8958fa7,2564,9,2555,0.24753299355506897,-0.6352261900901794
mesonbuild__meson-6412,e54809657fe6975d9ca16199384e71e664a5a00f,2402,1,2401,0.26787129044532776,-0.6257652044296265
