bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
PrefectHQ__prefect-1525,dc18e97fcfedda802d07970715b01027b9cc9992,466,281,185,0.22965513169765472,-3.5288281440734863
PrefectHQ__prefect-134,45a64b879d0a4d6936128f56ee9f4b2693b231c2,55,43,12,0.18243643641471863,-3.365778923034668
PrefectHQ__prefect-2031,bb2692f0a5b976db136fa87772f2a20abb76b785,172,239,-67,0.41719287633895874,-3.303875207901001
PrefectHQ__prefect-578,6324e8280460e370a3cc972b903288f5744be300,146,184,-38,0.18289092183113098,-3.4391093254089355
PrefectHQ__prefect-746,cc936393d42bfed98dfe595635664d2e4fc464d8,252,283,-31,0.1492641717195511,-3.7510218620300293
PrefectHQ__prefect-746,29664b85ddc06e9ea2bd2aaaa488b66307efb06f,117,182,-65,0.2644937038421631,-3.4014389514923096
PrefectHQ__prefect-746,6084f00c0ac8545c6a79803907d7afb200271b70,264,225,39,0.14366436004638672,-3.5178699493408203
PrefectHQ__prefect-746,ea900763cf93d948753aeace014bc5509a31ccdf,263,271,-8,0.1443740278482437,-3.676610231399536
PrefectHQ__prefect-746,2c995e3a8d20c31581f570d46c9fc3eabf5183d8,188,153,35,0.20110675692558289,-3.3298659324645996
PrefectHQ__prefect-158,8cbc80eb56cfaf9beb898088ef1edc1075015f78,75,96,-21,0.30684006214141846,-3.508169651031494
PrefectHQ__prefect-158,07450a943cdaf82a572fbf08df51182ff374d4f1,106,87,19,0.21556700766086578,-3.491487503051758
PrefectHQ__prefect-158,682fb497b5386ea42d1e00acde4b9a2949489b16,40,102,-62,0.37851208448410034,-3.547398090362549
PrefectHQ__prefect-158,5b49bc6cd8dfb8332e8ae401c3bb866c136e8f8d,56,109,-53,0.3474847674369812,-3.5728068351745605
PrefectHQ__prefect-158,62c6d4c28e7ba25ebcab26d73f0b3e99fa0a1120,74,71,3,0.308354914188385,-3.415879249572754
PrefectHQ__prefect-312,c26165341c2b86efd5ea8fb91c1a07e465ae0387,19,173,-154,0.43733131885528564,-3.5725622177124023
PrefectHQ__prefect-312,a275962f7b88f81f7ccb6e421ef28457c23014d4,22,138,-116,0.4251761734485626,-3.4688830375671387
