bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
pydata__xarray-3159,e3e543b662149ff300089dcdb1a718d791768a5b,76,2,74,0.2497703731060028,-0.5712612271308899
pydata__xarray-3159,a8bb5532f1fcb791c770fc4b404f1bdb828882cd,68,9,59,0.25714945793151855,-0.817287027835846
pydata__xarray-4356,41c8d258d7a5020c330fbbff080ae36465efac48,164,22,142,0.27002716064453125,-1.0641913414001465
pydata__xarray-4423,53849a3eac89edc331f80fec812cb7edf420fd04,17,14,3,0.4810100793838501,-0.6351538300514221
pydata__xarray-6599,823cbe025609f4dd4e3165185c30d338ef1cfd11,11,6,5,0.573320746421814,-0.43600812554359436
8328,8a9cf165eba319fd18b453cf92a82865fcb784ce,14,2,12,0.3605991005897522,-0.5900062322616577
8328,8bf5465e48a44107935a5ce8ba8a2b4573ec34b3,15,20,-5,0.3589259386062622,-1.7151434421539307
pydata__xarray-4098,299cb8ec4fa531f98a0a4d0be01402d247b38944,70,9,61,0.3204334080219269,-0.8574957847595215
pydata__xarray-4827,86ed1870302f30ad6b0df0fcd1412945aaa2f04b,93,22,71,0.28023844957351685,-1.1615198850631714
pydata__xarray-4827,d29a9e1ff02425841ddc0d66863cc2c9b76320a7,32,8,24,0.32973164319992065,-0.591233491897583
pydata__xarray-4827,5cda5aa903ccc56580fd80c48e013570b714be09,122,5,117,0.25943443179130554,-0.5355446338653564
pydata__xarray-7101,42cc8130810bb70812c50b6d697a3cb1e811c229,115,22,93,0.36720705032348633,-0.8265072703361511
pydata__xarray-3677,ac0a923db78b73c4559d45e8946fbcff7e899c73,59,1,58,0.3636322021484375,-0.5062491297721863
pydata__xarray-4695,32b24ef1f39e164f3a8d0c26c80ec1625c1ef0e9,6,1,5,0.6334232091903687,-0.46322810649871826
pydata__xarray-4684,59f8b89743a5618262c6c917ec5511448b30f7b8,69,35,34,0.4187467098236084,-1.5949394702911377
pydata__xarray-4750,de4c0efca0a1f8b352d8ef70ee95ad1e693b4d8f,14,16,-2,0.37676578760147095,-1.1192622184753418
pydata__xarray-4750,07eddb4996072a4d31bd2c116a82e416f4289d5a,111,64,47,0.22763945162296295,-2.2492029666900635
pydata__xarray-7393,ba937183d24185105fa2590a478e2b26df5540e8,30,7,23,0.49343669414520264,-0.5386189818382263
8322,c25b1d3e02210701c8f33fdf0f49f7492427281e,18,1,17,0.3015347719192505,-0.7647271156311035
8322,1cacff12e3d6fae05a31476324bb0abe71d830c9,27,14,13,0.2595125436782837,-1.528203010559082
pydata__xarray-6601,8d450cceef9c4fe6d1939bcd480dd76d370756af,14,6,8,0.44513440132141113,-0.5295984148979187
pydata__xarray-7112,ad5eeb6f97fbbc1007367315e2644ac7ed06756b,6,3,3,0.5782101154327393,-0.5501816272735596
pydata__xarray-7112,794984b7a1b5535641ebef5ca0e1fc72dc2cbc88,3,2,1,0.6056296229362488,-0.5189365148544312
pydata__xarray-7112,0320ea81052830f21a344e1b4d56654f562a667b,41,13,28,0.4992513656616211,-0.7229582667350769
pydata__xarray-7112,be5e06becdfe4c5aee514504fc8b744fe191f880,113,20,93,0.38072168827056885,-0.9126229286193848
pydata__xarray-7112,0733d0d52364316f06b4da8cba5f3cab98698564,13,1,12,0.5578809976577759,-0.5103005170822144
8315,4d5141e9d5a120ed33f8c42c68a5cb4cb4f5168c,7,15,-8,0.4226217269897461,-0.729487419128418
8315,033737409f3c659cd130a2155f8e2dc65994fc2f,2,17,-15,0.4491106867790222,-0.7474443912506104
pydata__xarray-5365,191b777107af67882827d9558a3f16555176588b,32,3,29,0.48188328742980957,-0.6419864892959595
pydata__xarray-5365,10f16e58081613a1454de0359467674def5dafab,118,101,17,0.3043360114097595,-2.6957826614379883
pydata__xarray-7229,3f7e8f742f625b6a59afd03abfba88cc1f3493cf,53,6,47,0.49532902240753174,-0.5299798250198364
8309,8b9f31bfdfd2a3c994e86507ca524d8acfb1557a,52,14,38,0.4750838279724121,-0.8048964142799377
pydata__xarray-3527,c73ee3cf7c5fcb7185ecfbfc2e4aac196b84cee3,132,8,124,0.20182877779006958,-0.8095344305038452
pydata__xarray-4339,5502ba72855d6c7270bf870c13d0c2755126cfbf,142,47,95,0.3234510123729706,-1.8559715747833252
pydata__xarray-4940,9faf74dd4bcd0754f452d930a9cc65ecd88e1409,18,2,16,0.5899532437324524,-0.6049215793609619
pydata__xarray-6889,f7cc30b9eab795390d629db11663d70a479bf57a,20,10,10,0.4839382767677307,-0.7811475992202759
pydata__xarray-3406,62c055fed51d7f9226ad292f6e82a9f27b7e55fe,16,8,8,0.5734025239944458,-0.19336393475532532
