bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
pydata__xarray-3159,e3e543b662149ff300089dcdb1a718d791768a5b,76,38,38,0.2497703731060028,-1.3697788715362549
pydata__xarray-3159,a8bb5532f1fcb791c770fc4b404f1bdb828882cd,68,41,27,0.25714945793151855,-1.4114866256713867
pydata__xarray-4356,41c8d258d7a5020c330fbbff080ae36465efac48,164,34,130,0.27002716064453125,-1.1967048645019531
pydata__xarray-4423,53849a3eac89edc331f80fec812cb7edf420fd04,17,28,-11,0.4810100793838501,-1.1915338039398193
pydata__xarray-6599,823cbe025609f4dd4e3165185c30d338ef1cfd11,11,7,4,0.573320746421814,-1.0029292106628418
8328,8a9cf165eba319fd18b453cf92a82865fcb784ce,14,12,2,0.3605991005897522,-1.464763879776001
8328,8bf5465e48a44107935a5ce8ba8a2b4573ec34b3,15,25,-10,0.3589259386062622,-2.883392810821533
pydata__xarray-4098,299cb8ec4fa531f98a0a4d0be01402d247b38944,70,26,44,0.3204334080219269,-1.233680009841919
pydata__xarray-4827,86ed1870302f30ad6b0df0fcd1412945aaa2f04b,93,37,56,0.28023844957351685,-1.38912832736969
pydata__xarray-4827,d29a9e1ff02425841ddc0d66863cc2c9b76320a7,32,21,11,0.32973164319992065,-1.2077229022979736
pydata__xarray-4827,5cda5aa903ccc56580fd80c48e013570b714be09,122,4,118,0.25943443179130554,-0.9478018879890442
pydata__xarray-7101,42cc8130810bb70812c50b6d697a3cb1e811c229,115,37,78,0.36720705032348633,-1.3582100868225098
pydata__xarray-3677,ac0a923db78b73c4559d45e8946fbcff7e899c73,59,22,37,0.3636322021484375,-1.213173508644104
pydata__xarray-4695,32b24ef1f39e164f3a8d0c26c80ec1625c1ef0e9,6,38,-32,0.6334232091903687,-1.4027715921401978
pydata__xarray-4684,59f8b89743a5618262c6c917ec5511448b30f7b8,69,48,21,0.4187467098236084,-1.5051665306091309
pydata__xarray-4750,de4c0efca0a1f8b352d8ef70ee95ad1e693b4d8f,14,17,-3,0.37676578760147095,-1.1535707712173462
pydata__xarray-4750,07eddb4996072a4d31bd2c116a82e416f4289d5a,111,66,45,0.22763945162296295,-2.042954444885254
pydata__xarray-7393,ba937183d24185105fa2590a478e2b26df5540e8,30,22,8,0.49343669414520264,-1.209730863571167
8322,c25b1d3e02210701c8f33fdf0f49f7492427281e,18,7,11,0.3015347719192505,-1.2298123836517334
8322,1cacff12e3d6fae05a31476324bb0abe71d830c9,27,24,3,0.2595125436782837,-2.714651584625244
pydata__xarray-6601,8d450cceef9c4fe6d1939bcd480dd76d370756af,14,7,7,0.44513440132141113,-1.0252349376678467
pydata__xarray-7112,ad5eeb6f97fbbc1007367315e2644ac7ed06756b,6,19,-13,0.5782101154327393,-1.1473720073699951
pydata__xarray-7112,794984b7a1b5535641ebef5ca0e1fc72dc2cbc88,3,32,-29,0.6056296229362488,-1.2687561511993408
pydata__xarray-7112,0320ea81052830f21a344e1b4d56654f562a667b,41,21,20,0.4992513656616211,-1.1552634239196777
pydata__xarray-7112,be5e06becdfe4c5aee514504fc8b744fe191f880,113,16,97,0.38072168827056885,-1.138217806816101
pydata__xarray-7112,0733d0d52364316f06b4da8cba5f3cab98698564,13,17,-4,0.5578809976577759,-1.1408238410949707
8315,4d5141e9d5a120ed33f8c42c68a5cb4cb4f5168c,7,21,-14,0.4226217269897461,-1.3704195022583008
8315,033737409f3c659cd130a2155f8e2dc65994fc2f,2,33,-31,0.4491106867790222,-2.3762807846069336
pydata__xarray-5365,191b777107af67882827d9558a3f16555176588b,32,8,24,0.48188328742980957,-1.0594496726989746
pydata__xarray-5365,10f16e58081613a1454de0359467674def5dafab,118,156,-38,0.3043360114097595,-3.430708885192871
pydata__xarray-7229,3f7e8f742f625b6a59afd03abfba88cc1f3493cf,53,7,46,0.49532902240753174,-0.9815757870674133
8309,8b9f31bfdfd2a3c994e86507ca524d8acfb1557a,52,35,17,0.4750838279724121,-1.293083667755127
pydata__xarray-3527,c73ee3cf7c5fcb7185ecfbfc2e4aac196b84cee3,132,31,101,0.20182877779006958,-1.2268073558807373
pydata__xarray-4339,5502ba72855d6c7270bf870c13d0c2755126cfbf,142,54,88,0.3234510123729706,-1.6832252740859985
pydata__xarray-4940,9faf74dd4bcd0754f452d930a9cc65ecd88e1409,18,24,-6,0.5899532437324524,-1.2100951671600342
pydata__xarray-6889,f7cc30b9eab795390d629db11663d70a479bf57a,20,2,18,0.4839382767677307,-0.8878005743026733
pydata__xarray-3406,62c055fed51d7f9226ad292f6e82a9f27b7e55fe,16,27,-11,0.5734025239944458,-1.264547348022461
