bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
Qiskit__qiskit-636,02acaa22c51010e623b93ff4843498e388bb3e5e,130,98,32,0.18594202399253845,-3.0233919620513916
Qiskit__qiskit-636,68017e0b9bae0217e3c307dfbf1e55429cab2621,39,3,36,0.2770654559135437,-1.5957825183868408
Qiskit__qiskit-2781,4e907d522414432a4a714b580b912086a234ac19,6,24,-18,0.46213042736053467,-1.959075689315796
Qiskit__qiskit-2781,b7744e6f6e08e6ea4abc66709b741b2799998987,22,7,15,0.42979297041893005,-1.8004775047302246
Qiskit__qiskit-2781,378053e6f08234908688b29a3f47829bac93a850,13,4,9,0.4431241750717163,-1.6839654445648193
Qiskit__qiskit-688,5e7693161dc87f4d0859ecaeab5a981fbc302689,240,27,213,0.290422260761261,-2.2069311141967773
Qiskit__qiskit-688,6fad3fcd0a4f40b337e0100ec28fe8d637d83abd,227,52,175,0.2955029010772705,-2.5105814933776855
Qiskit__qiskit-3042,c4abde54f2fa4b282bd46d41ce8aaa3cd86f0f83,92,2,90,0.39617955684661865,-1.6558732986450195
Qiskit__qiskit-3708,a09950f1cf1f8782d0a71cd639b762a87beb93a2,395,46,349,0.21955005824565887,-2.702887535095215
Qiskit__qiskit-4049,8866416541c315b11e088be8b1f9f28be874f143,505,42,463,0.28717583417892456,-2.4932169914245605
Qiskit__qiskit-877,8a6926a49840438bd3c9b0b4c6d3026d671c0e53,154,41,113,0.20321163535118103,-1.8572790622711182
Qiskit__qiskit-877,02abeaacdcf0e1c87334ab56d8bf1d4d71c70e06,49,13,36,0.28848379850387573,-1.4308620691299438
Qiskit__qiskit-2723,eca1fa7707043ae37edb9275dbd0dbd977ef78fe,97,23,74,0.3921229839324951,-1.9052224159240723
Qiskit__qiskit-4513,7a1cfb6e7adedefcb13a7798ae967755ee54a22e,417,24,393,0.23640157282352448,-2.0024023056030273
Qiskit__qiskit-609,657d0eeadbbe2dec7eafab4cf45671224bea9c21,84,30,54,0.19688650965690613,-1.3895363807678223
Qiskit__qiskit-609,886099544412367b5f6bfee73fa4a0b401b33c13,61,55,6,0.21714326739311218,-1.714303970336914
Qiskit__qiskit-609,c4e91147e4a676bdb1bc959115187ebf4efdb279,39,11,28,0.25935518741607666,-1.106319546699524
Qiskit__qiskit-609,97d50823c94153eb92a3ae7fb012b9679323a585,176,17,159,0.14428991079330444,-1.1753137111663818
Qiskit__qiskit-435,ed8621627c1becf6a930b4b6e72fbc01f7eb3568,224,133,91,0.151773601770401,-2.9208786487579346
Qiskit__qiskit-435,adb3f5d811e54dbb3b9f54f95e59fbc20251112c,59,124,-65,0.34717991948127747,-2.791261672973633
Qiskit__qiskit-435,aef20dfbfecbaa6b317e46e56de6b58bdd059724,264,82,182,0.10420305281877518,-2.348477840423584
Qiskit__qiskit-435,78205378eaac067bb36d68ea7727b68da06264eb,94,25,69,0.28612586855888367,-1.7900335788726807
Qiskit__qiskit-435,98dc55e58957849c0b3ba1b152b33b3269128d12,13,4,9,0.4552735984325409,-1.4633080959320068
Qiskit__qiskit-435,d63f9954bee6a082fa51b3a5036870ef8e209fd3,249,88,161,0.1250089555978775,-2.454449415206909
Qiskit__qiskit-435,46bdba154d5c00e7bb2546a0e9ebf52e0ecfbdcc,111,17,94,0.2578745484352112,-1.6052806377410889
Qiskit__qiskit-435,3e3689565a88d9b75ab957de6f3dd7939e688726,236,83,153,0.14048084616661072,-2.3552727699279785
Qiskit__qiskit-435,6a6ea3bc8ae64254c360d6f6e7d096b7879c809f,246,100,146,0.12896966934204102,-2.5789127349853516
Qiskit__qiskit-435,2fe10c061dbc46aeaac31161f0f3ab0db1baa386,89,43,46,0.2960522770881653,-2.0430972576141357
Qiskit__qiskit-435,90b238fd5aa64ed175899ff0f9e948f0d6ee6516,67,96,-29,0.32453453540802,-2.535532236099243
Qiskit__qiskit-435,60e9d9aea985db3a3f280c87b3229f7ec8736b26,166,91,75,0.19228984415531158,-2.4778175354003906
Qiskit__qiskit-435,01b1ebb9fee7dc9dae1deab2f92cd26cf3a55eeb,228,109,119,0.14900067448616028,-2.6529135704040527
Qiskit__qiskit-435,d38715b392652a153dc9231046342b2d8407556b,76,9,67,0.308668851852417,-1.5067155361175537
Qiskit__qiskit-435,872361fdea9338aa38559cb8573b2fcf9ba3ca5f,25,92,-67,0.4170587658882141,-2.4779562950134277
Qiskit__qiskit-435,ddc0a5cbba1d00dfcccae18fdff5f2cf55086736,12,16,-4,0.465322345495224,-1.6045690774917603
Qiskit__qiskit-435,6b8992d52252c133d7c6c775ee89f63b4e932b6c,55,1,54,0.3560895025730133,-1.2928603887557983
Qiskit__qiskit-435,4634d812e548df30ec80f1e5212eb75d332dbbca,185,53,132,0.17823083698749542,-2.143620014190674
Qiskit__qiskit-435,6caf12556cb6861a2e37473fad63cdcc6c83748b,305,42,263,0.06004787236452103,-2.0310745239257812
Qiskit__qiskit-435,22c9c0f2cdbb76f89c6b791446ff4eef28b06bae,275,68,207,0.09453961253166199,-2.246623992919922
Qiskit__qiskit-435,f5281d223543150bfae3a0564bb4ced61563ce93,145,129,16,0.21009638905525208,-2.829167366027832
Qiskit__qiskit-435,622f595e8c5a38562b5c957fa688306097798660,18,70,-52,0.4434596300125122,-2.2535083293914795
Qiskit__qiskit-435,9dba1f56a7df853d80cd121a3319da52cfb512c8,20,13,7,0.42999374866485596,-1.5714752674102783
Qiskit__qiskit-435,b26806c97f6ed75c73f8ff4082b0c2f47f92f43c,106,127,-21,0.2642406225204468,-2.8124704360961914
Qiskit__qiskit-435,89d96f912a1d6c05c97cbce86c7818d887412ea9,74,74,0,0.31540703773498535,-2.298604965209961
Qiskit__qiskit-435,3388c6707801f8f88bbf951aa62a693df93bf7e5,271,76,195,0.10066774487495422,-2.3199501037597656
Qiskit__qiskit-435,dcefd6ff9af3788389d1fd6b252e45586fc112ec,39,39,0,0.38822948932647705,-1.973045825958252
Qiskit__qiskit-435,d07488f333a0ad312487b6329a15cfbec13beed1,43,5,38,0.38114550709724426,-1.4743400812149048
Qiskit__qiskit-435,c403951fc60814e6d17aae5f0a7a4f61b86dd16e,33,2,31,0.39404162764549255,-1.3492995500564575
Qiskit__qiskit-435,967894387f758d873a82a4dea5458f012acbc99d,186,156,30,0.17768093943595886,-3.2173757553100586
Qiskit__qiskit-435,07b5ee686043072029d362efbe730a0a7eaafe0c,48,49,-1,0.3701477348804474,-2.085357189178467
Qiskit__qiskit-435,1b41b4d622493f3b41fbf69a266fc7d69af63a9d,28,3,25,0.4121006727218628,-1.4201369285583496
Qiskit__qiskit-435,1136091513bf8af437a6da6ebfa61b77fee7fd0b,60,21,39,0.34619784355163574,-1.6574726104736328
Qiskit__qiskit-435,c51acebdb88a94a28272fbfaeefc50191bab2f3b,163,105,58,0.19493165612220764,-2.6213150024414062
Qiskit__qiskit-435,661e81c1d91b98a6628a67cfa320b4818a85120e,107,116,-9,0.26346254348754883,-2.731851577758789
Qiskit__qiskit-418,699df09452ac57bcfafdca7c21bb1b00ca4dd878,68,19,49,0.2644649147987366,-1.9715267419815063
Qiskit__qiskit-1281,643e7b0d93d6b44be19b31f3132fcbfbf4947e67,167,10,157,0.26535657048225403,-1.3619284629821777
Qiskit__qiskit-1281,e15de5fbf631968e840d2e629ed845d57f6565f7,185,3,182,0.2562863230705261,-1.180759310722351
Qiskit__qiskit-1281,a3ca4eb457862ba180f7f5278251e12828eea65f,51,12,39,0.3451923727989197,-1.4473717212677002
Qiskit__qiskit-1281,20b5b6cd626cd2f55aba546691bf297148d2e337,276,64,212,0.22565752267837524,-2.290679931640625
Qiskit__qiskit-6619,29d5e469dcc708014ad5f9a9bb302a20d16ae3ba,908,97,811,0.2570101022720337,-2.489687919616699
