bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
wagtail__wagtail-118,24fd0a2f1d0d2223631265eae41a26718bd7468d,32,76,-44,0.4003543555736542,-1.3398851156234741
wagtail__wagtail-1273,f938585c1fc93d48c7a0eb74c86c3aab5a389c4d,795,20,775,0.20817780494689941,-0.9804466962814331
wagtail__wagtail-9236,88cc36875a110c7c1e8a283b1a695d59998deea9,603,66,537,0.30004632472991943,-1.3392786979675293
wagtail__wagtail-356,ee68f46554f5024c443da29ed842f0ed0c3c0c2e,541,14,527,0.10375651717185974,-0.7757793664932251
wagtail__wagtail-356,6b273e4b6539ca1dfd5ddf6f6ee620146fa95d6a,165,35,130,0.28654325008392334,-0.9414803981781006
wagtail__wagtail-6442,57381ec39206272784831bb77dddb9f11ba322f5,1294,67,1227,0.22675305604934692,-1.2237889766693115
wagtail__wagtail-426,f0336fec46a941eb474ee1980487f2411cb4b185,280,62,218,0.22637002170085907,-1.1681511402130127
wagtail__wagtail-426,f3c871507ae1031a399184d02404a80968fffe07,105,26,79,0.3211227059364319,-0.8650554418563843
wagtail__wagtail-426,cf33bcbfbf826da61024c9fed5ff1503d5e0e369,76,36,40,0.4068247377872467,-0.9178522825241089
wagtail__wagtail-1475,36cc6294a4b54e6a8b0c7e4939ca0a66db492661,564,74,490,0.19000115990638733,-1.1437361240386963
wagtail__wagtail-208,027d61158102d46052094b8dc22348782f70f743,400,4,396,0.23087279498577118,-0.62523353099823
wagtail__wagtail-208,6e30381c1b30896e34b5ed761d202f95b850beff,374,28,346,0.24562592804431915,-0.9220743179321289
wagtail__wagtail-208,c144b39b937e7046bb0f4a6875959d6bdc4f22fc,553,12,541,0.12081694602966309,-0.747835636138916
wagtail__wagtail-208,500c4920cdd66176f9c9daa64bfcf54414322b6d,418,55,363,0.22230568528175354,-1.145730972290039
wagtail__wagtail-208,9d6b9590c2ee957f6e33d6fc6de91ec0557f3195,407,8,399,0.22864504158496857,-0.6841384172439575
wagtail__wagtail-208,04d8b0a9ebfefb65b0dea8afee6b193a564e7a40,537,281,256,0.16263246536254883,-1.4035332202911377
wagtail__wagtail-208,adc492adac433aa9bbf0afad8dba9630974b91de,492,7,485,0.19269917905330658,-0.6820861101150513
wagtail__wagtail-8006,039b36031b83c2a09405921f8c419fad74dbf52d,1258,4,1254,0.2931995391845703,-0.4650724232196808
wagtail__wagtail-2880,d6bdc14aefbd5075ad61836538ba26e351187353,285,72,213,0.31473660469055176,-0.9660366177558899
wagtail__wagtail-321,69e6b7f4f43bbeedbd9f1886d8381d670f9767a9,400,278,122,0.23175600171089172,-1.6713263988494873
wagtail__wagtail-7512,92c8d8e9574318ae475c3be7c66d357ed8ef6342,1,40,-39,0.4925885796546936,-1.055002212524414
wagtail__wagtail-1623,53dbe297a30fcc90491f1aae898549a3d9d8e814,196,19,177,0.31349340081214905,-0.7467882633209229
