bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
PrefectHQ__prefect-1525,dc18e97fcfedda802d07970715b01027b9cc9992,466,281,185,0.22965513169765472,-3.269979476928711
PrefectHQ__prefect-134,45a64b879d0a4d6936128f56ee9f4b2693b231c2,55,104,-49,0.18243643641471863,-3.7192955017089844
PrefectHQ__prefect-2031,bb2692f0a5b976db136fa87772f2a20abb76b785,172,283,-111,0.41719287633895874,-3.56259822845459
PrefectHQ__prefect-578,6324e8280460e370a3cc972b903288f5744be300,146,223,-77,0.18289092183113098,-3.4954376220703125
PrefectHQ__prefect-746,cc936393d42bfed98dfe595635664d2e4fc464d8,252,10,242,0.1492641717195511,-1.1454155445098877
PrefectHQ__prefect-746,29664b85ddc06e9ea2bd2aaaa488b66307efb06f,117,249,-132,0.2644937038421631,-3.4207043647766113
PrefectHQ__prefect-746,6084f00c0ac8545c6a79803907d7afb200271b70,264,155,109,0.14366436004638672,-2.7716407775878906
PrefectHQ__prefect-746,ea900763cf93d948753aeace014bc5509a31ccdf,263,17,246,0.1443740278482437,-1.3742668628692627
PrefectHQ__prefect-746,2c995e3a8d20c31581f570d46c9fc3eabf5183d8,188,150,38,0.20110675692558289,-2.7139296531677246
PrefectHQ__prefect-158,8cbc80eb56cfaf9beb898088ef1edc1075015f78,75,33,42,0.30684006214141846,-3.0179619789123535
PrefectHQ__prefect-158,07450a943cdaf82a572fbf08df51182ff374d4f1,106,116,-10,0.21556700766086578,-3.6864264011383057
PrefectHQ__prefect-158,682fb497b5386ea42d1e00acde4b9a2949489b16,40,109,-69,0.37851208448410034,-3.6066553592681885
PrefectHQ__prefect-158,5b49bc6cd8dfb8332e8ae401c3bb866c136e8f8d,56,28,28,0.3474847674369812,-2.863670825958252
PrefectHQ__prefect-158,62c6d4c28e7ba25ebcab26d73f0b3e99fa0a1120,74,110,-36,0.308354914188385,-3.608760356903076
PrefectHQ__prefect-312,c26165341c2b86efd5ea8fb91c1a07e465ae0387,19,166,-147,0.43733131885528564,-3.562436580657959
PrefectHQ__prefect-312,a275962f7b88f81f7ccb6e421ef28457c23014d4,22,169,-147,0.4251761734485626,-3.5798110961914062
PrefectHQ__prefect-907,7ee889cd9e7cef7944bbc9ee9e7fad21bb7a921b,225,293,-68,0.3482271432876587,-3.695415496826172
PrefectHQ__prefect-907,b191fc4ce77b269be5657ba55b50f4d4f4a57c8a,359,291,68,0.2873828709125519,-3.6631271839141846
PrefectHQ__prefect-907,17c63a13fc06f1d639b3d169fac29877bdd90632,436,59,377,0.20624873042106628,-3.193246364593506
PrefectHQ__prefect-907,6fdf88bfdeb6e571e11ba037d9a41d724da496af,364,286,78,0.28514787554740906,-3.514908790588379
PrefectHQ__prefect-1037,c7d058e3dbf19b6eb3898cb0d04715de059d2cc2,1,283,-282,0.5952086448669434,-3.550565242767334
PrefectHQ__prefect-1420,19ce7ad51d7e98058db68f5a827627c17e078a02,89,273,-184,0.3919696807861328,-3.25954008102417
PrefectHQ__prefect-2666,1c7d915b9846a524595691f9d05df1c2e01d0484,91,258,-167,0.4556068181991577,-3.0276591777801514
PrefectHQ__prefect-714,93e878e96a0fa862dd65458628dbd85cd046056c,28,280,-252,0.3906579911708832,-3.5695011615753174
PrefectHQ__prefect-170,2c995e3a8d20c31581f570d46c9fc3eabf5183d8,91,24,67,0.21447046101093292,-2.708071708679199
PrefectHQ__prefect-170,97b03ecf3b448b5686ca29f79a34bc730b8f8065,42,116,-74,0.2987786829471588,-3.5306930541992188
PrefectHQ__prefect-856,13428741eba6a347137527603e1604ea1a0ca27a,120,254,-134,0.2755918502807617,-3.4260194301605225
PrefectHQ__prefect-545,6ac1f22f7259509120a6265507da0ef343bc3d49,25,231,-206,0.35653531551361084,-3.529149055480957
PrefectHQ__prefect-545,54cc6c08ff71d75d416601bd2b90bd1e76caf910,35,225,-190,0.30697381496429443,-3.518289089202881
PrefectHQ__prefect-406,47afbe726f1970e0e3f1e1b9de3dd0305a03352e,35,216,-181,0.37901780009269714,-3.6095776557922363
PrefectHQ__prefect-406,62cb6d6d3526ee81ab5305aa4c5839ff186cacd5,118,156,-38,0.2060215324163437,-3.20501708984375
PrefectHQ__prefect-406,f832e4bedcfa9b80ff16b245b670110c1f1cd257,22,191,-169,0.40035831928253174,-3.495220184326172
PrefectHQ__prefect-509,10f43a0bdbfdfd975f49442c52155969a861a61b,100,127,-27,0.21141773462295532,-2.9295010566711426
