model,scenario,size_group,n_pairs,mean_MRR,mean_MAP,mean_top-1,mean_top-5,mean_top-10
BLAZE,WP-small,All,63,0.25559365079365076,0.21013968253968252,0.15614603174603173,0.3482619047619048,0.44596507936507945
BLAZE,WP-small,"Small
(<100K)",25,0.219328,0.17947200000000002,0.126332,0.29869599999999996,0.39181999999999995
BLAZE,WP-small,"Medium
(100K–300K)",24,0.2776708333333333,0.23188750000000002,0.1742041666666667,0.38045833333333334,0.48114166666666663
BLAZE,WP-small,"Large
(>300K)",14,0.28250714285714285,0.22762142857142859,0.1784285714285714,0.3815785714285714,0.48235
BLAZE,WP-large,All,62,0.47150161290322573,0.3913064516129032,0.34313548387096776,0.6079596774193547,0.7054370967741935
BLAZE,WP-large,"Small
(<100K)",25,0.498408,0.39881200000000006,0.372508,0.60842,0.7027800000000001
BLAZE,WP-large,"Medium
(100K–300K)",24,0.4588541666666666,0.39238333333333336,0.32684166666666664,0.61705,0.7163291666666667
BLAZE,WP-large,"Large
(>300K)",13,0.4431076923076922,0.37488461538461537,0.3167307692307692,0.5902923076923077,0.6904384615384616
BLAZE,CP-cold-start,All,62,0.26243064516129033,0.21425322580645165,0.15446129032258066,0.35943870967741937,0.4722209677419355
BLAZE,CP-cold-start,"Small
(<100K)",25,0.275484,0.21826399999999999,0.16282000000000005,0.37462399999999996,0.48236399999999996
BLAZE,CP-cold-start,"Medium
(100K–300K)",24,0.25392916666666665,0.21324166666666666,0.14563333333333334,0.3522625,0.4893166666666667
BLAZE,CP-cold-start,"Large
(>300K)",13,0.25302307692307696,0.20840769230769227,0.15468461538461542,0.3434846153846154,0.4211538461538462
BLAZE,CP-transfer,All,62,0.3914661290322581,0.3210016129032258,0.26608548387096775,0.5261645161290323,0.626332258064516
BLAZE,CP-transfer,"Small
(<100K)",25,0.3976759999999999,0.31376800000000005,0.26957600000000004,0.523216,0.612492
BLAZE,CP-transfer,"Medium
(100K–300K)",24,0.38820000000000005,0.3247875,0.26082500000000003,0.5338250000000001,0.6458916666666666
BLAZE,CP-transfer,"Large
(>300K)",13,0.38555384615384614,0.32792307692307693,0.26908461538461537,0.5176923076923077,0.6168384615384616
COOBA,WP-small,All,63,0.138307297465437,0.1204279623852241,0.05720243141135463,0.21617989653174083,0.31280078691374724
COOBA,WP-small,"Small
(<100K)",25,0.21874672968491446,0.19352707015758397,0.09052886259040104,0.3662142011834319,0.5038370808678501
COOBA,WP-small,"Medium
(100K–300K)",24,0.09895289533023521,0.08464486646944831,0.042704374196951056,0.13462386918555172,0.21741054479212837
COOBA,WP-small,"Large
(>300K)",14,0.062130143591001594,0.05123629150448281,0.022544759530606483,0.08807182796147371,0.13519067706133833
COOBA,WP-large,All,62,0.19384053827083855,0.16611442255628678,0.11247075343287874,0.28209103533041036,0.3715320281959495
COOBA,WP-large,"Small
(<100K)",25,0.29403880041613906,0.25648467461670504,0.17446009204470742,0.44960802103879016,0.5587652859960552
COOBA,WP-large,"Medium
(100K–300K)",23,0.15414887245844666,0.1299472655275287,0.08971495803714898,0.20537112295238535,0.29778404726166263
COOBA,WP-large,"Large
(>300K)",14,0.08012280684601726,0.06415644470992804,0.03916002691902637,0.10899341690077316,0.1583443222306605
COOBA,CP-cold-start,All,62,0.027421115269788462,0.023004269714990314,0.007944520680874595,0.03519973017974996,0.06014337008007105
COOBA,CP-cold-start,"Small
(<100K)",25,0.04093358834758031,0.03454409656489076,0.011909401709401697,0.05691518737672582,0.09579552925706772
COOBA,CP-cold-start,"Medium
(100K–300K)",23,0.01677186499503362,0.014255509439015738,0.0034410196473915345,0.02068384700410149,0.033156114295862536
COOBA,CP-cold-start,"Large
(>300K)",14,0.02078689593940028,0.016770399364983434,0.008262984827798364,0.020269650402286947,0.0408150060523481
COOBA,CP-transfer,All,62,0.15743551283913035,0.1352433712322175,0.07627615482235582,0.23918492473338707,0.342388430678871
COOBA,CP-transfer,"Small
(<100K)",25,0.24340862793035276,0.21113957843988934,0.12322353714661408,0.3815258382642998,0.5195055884286655
COOBA,CP-transfer,"Medium
(100K–300K)",23,0.11826543810246325,0.10085973324596909,0.05458735696367674,0.16996988940093735,0.26686827570409105
COOBA,CP-transfer,"Large
(>300K)",14,0.06826293010075761,0.05620183505306865,0.028073140011153186,0.09871513718863868,0.15017661786994804
TRANP-CNN,WP-small,All,8,0.430775,0.401625,0.1363125,0.32958750000000003,0.4161625
TRANP-CNN,WP-small,"Small
(<100K)",5,0.51334,0.48996000000000006,0.18634,0.414,0.51766
TRANP-CNN,WP-small,"Medium
(100K–300K)",2,0.3507,0.31045,0.05835,0.1623,0.1968
TRANP-CNN,WP-small,"Large
(>300K)",1,0.1781,0.1423,0.0421,0.2421,0.3474
TRANP-CNN,WP-large,All,8,0.5096,0.4786625,0.1859,0.382525,0.43405
TRANP-CNN,WP-large,"Small
(<100K)",5,0.62788,0.5971,0.259,0.48934000000000005,0.53634
TRANP-CNN,WP-large,"Medium
(100K–300K)",2,0.3625,0.33675,0.05925,0.18045,0.22165
TRANP-CNN,WP-large,"Large
(>300K)",1,0.2124,0.1703,0.0737,0.2526,0.3474
TRANP-CNN,CP-cold-start,All,7,0.06142857142857143,0.05734285714285715,0.005685714285714286,0.02838571428571429,0.04561428571428572
TRANP-CNN,CP-cold-start,"Small
(<100K)",4,0.011949999999999999,0.012775,0.0,0.0,0.0125
TRANP-CNN,CP-cold-start,"Medium
(100K–300K)",2,0.18355,0.16765,0.0199,0.0941,0.1241
TRANP-CNN,CP-cold-start,"Large
(>300K)",1,0.0151,0.015,0.0,0.0105,0.0211
TRANP-CNN,CP-transfer,All,7,0.46757142857142864,0.4318428571428572,0.171,0.3661714285714286,0.4078428571428572
TRANP-CNN,CP-transfer,"Small
(<100K)",4,0.6225,0.57965,0.26749999999999996,0.5120750000000001,0.5387500000000001
TRANP-CNN,CP-transfer,"Medium
(100K–300K)",2,0.30624999999999997,0.28215,0.04245,0.15745,0.1973
TRANP-CNN,CP-transfer,"Large
(>300K)",1,0.1705,0.14,0.0421,0.2,0.3053
