model,metric,n_pairs,win_rate,mean_delta,median_delta,median_win,median_loss,n_wins,n_losses,asymmetry_ratio
BLAZE,MRR,62,0.9032258064516129,0.13824193548387093,0.11914999999999999,0.1339,-0.004899999999999988,56,6,27.326530612244966
BLAZE,MAP,62,0.9354838709677419,0.11278870967741934,0.0856,0.09265,-0.005699999999999983,58,4,16.25438596491233
BLAZE,top-1,62,0.8225806451612904,0.11216451612903225,0.10000000000000002,0.125,-0.016649999999999998,51,6,7.507507507507508
BLAZE,top-5,62,0.9032258064516129,0.1805274193548387,0.14999999999999997,0.17360000000000003,-0.015000000000000013,56,4,11.573333333333325
BLAZE,top-10,62,0.8870967741935484,0.18307741935483876,0.11615000000000003,0.1463000000000001,-0.04810000000000006,55,4,3.04158004158004
COOBA,MRR,62,0.6129032258064516,0.018166603169530494,0.00384006598961419,0.03166858822741904,-0.022556071691002155,38,24,1.4039939516618916
COOBA,MAP,62,0.6129032258064516,0.014009485273316802,0.007866975116247198,0.022555381434300595,-0.019808959101084704,38,24,1.1386454643679638
COOBA,top-1,62,0.43548387096774194,0.01865200517244898,0.0,0.036585365853658604,-0.024999999999999998,27,16,1.4634146341463443
COOBA,top-5,62,0.5483870967741935,0.021020960545704487,0.008537758537758554,0.06309650053022264,-0.04379795396419434,34,22,1.4406266690404128
COOBA,top-10,62,0.5645161290322581,0.027447699195587347,0.009536662168241117,0.031578947368421095,-0.04878048780487804,35,17,0.6473684210526326
TRANP-CNN,MRR,7,0.5714285714285714,0.06962857142857144,0.047900000000000054,0.14435,-0.007599999999999996,4,3,18.99342105263159
TRANP-CNN,MAP,7,0.7142857142857143,0.06394285714285715,0.05030000000000001,0.05359999999999998,-0.0402,5,2,1.3333333333333328
TRANP-CNN,top-1,7,0.42857142857142855,0.0545,0.0,0.125,-0.028399999999999995,3,2,4.401408450704226
TRANP-CNN,top-5,7,0.7142857142857143,0.046642857142857146,0.053300000000000014,0.07500000000000001,-0.028999999999999998,5,2,2.5862068965517246
TRANP-CNN,top-10,7,0.2857142857142857,8.571428571430006e-05,0.0,0.036500000000000046,-0.025000000000000022,2,3,1.4600000000000006
