model,scenario,n_pairs,mean_MRR,median_MRR,std_MRR,mean_MAP,median_MAP,std_MAP,mean_top-1,median_top-1,std_top-1,mean_top-5,median_top-5,std_top-5,mean_top-10,median_top-10,std_top-10
BLAZE,WP-small,63,0.2539492063492063,0.2676,0.10661257396188928,0.20880793650793653,0.2112,0.08942778903744034,0.15614603174603173,0.16,0.08515193219522163,0.3482619047619048,0.3701,0.14958819539911888,0.44596507936507945,0.4878,0.17795825367541476
BLAZE,WP-large,63,0.4659142857142858,0.4724,0.055632813643721545,0.3870507936507937,0.3975,0.058302680381630306,0.3428825396825397,0.3491,0.05748330063166604,0.607704761904762,0.6138,0.07473820638125828,0.7052111111111112,0.7019,0.07330341080633487
BLAZE,CP-cold-start,63,0.2590571428571428,0.256,0.08523257312047623,0.21141428571428572,0.2174,0.07888494655272783,0.154052380952381,0.1299,0.06667255047000314,0.3589269841269841,0.3704,0.12313966527215531,0.4713190476190475,0.475,0.14557587408361106
BLAZE,CP-transfer,63,0.3881857142857143,0.3811,0.07055678988643362,0.31861269841269846,0.3228,0.07187613559734259,0.2669396825396826,0.2735,0.06405309173793187,0.5265666666666666,0.525,0.09875419468428637,0.6268952380952381,0.6335,0.1053322292811921
COOBA,WP-small,63,0.1383095238095238,0.1172,0.1043842385739955,0.12043492063492064,0.1017,0.08814675109510635,0.05720243141135463,0.0421052631578947,0.06430338538198721,0.21617989653174083,0.1801470588235294,0.1817497746570207,0.31280078691374724,0.3,0.2130756860931452
COOBA,WP-large,63,0.19242380952380952,0.1768,0.12840227326181514,0.16487936507936504,0.138,0.10768717861611961,0.11157281482470625,0.0853658536585365,0.08897579183161386,0.2796837932237165,0.2242647058823529,0.1913579400959438,0.36947971068243796,0.3536585365853658,0.22608082917729144
COOBA,CP-cold-start,63,0.027025396825396824,0.0159,0.02956613127873856,0.02267936507936508,0.014,0.02442121736635768,0.007818417178003568,0.0,0.01244964694086126,0.034641004303880917,0.0124223602484472,0.053474263857021254,0.05928730357283537,0.0365853658536585,0.08856251612701597
COOBA,CP-transfer,63,0.1560444444444444,0.1197,0.12234173025003969,0.13413809523809525,0.1016,0.09961343417070363,0.07526260252753188,0.0496894409937888,0.08573659847592141,0.23726155167984517,0.2,0.18628569834553638,0.33931985754081534,0.3170731707317073,0.22650124574905675
TRANP-CNN,WP-small,63,0.18486190476190476,0.139,0.12842521663318737,0.15899047619047618,0.1129,0.10947724423188726,0.10663809523809523,0.0741,0.09286957630335663,0.2736539682539682,0.2059,0.18506441932071951,0.3507650793650793,0.2927,0.21013898024627706
TRANP-CNN,WP-large,63,0.21854126984126984,0.1834,0.13731060814095508,0.19156507936507938,0.1489,0.12045574633614133,0.131784126984127,0.08,0.09863618260140222,0.31392063492063493,0.2561,0.19502408714651712,0.38728253968253973,0.3293,0.22273910424796972
TRANP-CNN,CP-cold-start,63,0.03842698412698413,0.0199,0.04668294641428601,0.03292063492063491,0.016,0.038847618595714666,0.010311111111111111,0.0,0.021709074296478788,0.0545920634920635,0.0186,0.07967885197544537,0.09495238095238094,0.05,0.1204789726763258
TRANP-CNN,CP-transfer,63,0.2137142857142857,0.1474,0.14077687660327995,0.1852111111111111,0.1167,0.12385593622862046,0.13389523809523812,0.0699,0.11379805036678399,0.30643015873015883,0.2317,0.19197487624175963,0.37020158730158736,0.3293,0.20854445761969187
