model_name,source_project,target_project,MRR,MAP,tgt_LoC,src_LoC,tgt_total_unique_bug_reports,src_total_unique_bug_reports,loc_ratio,tgt_bug_report_verbosity,src_bug_report_verbosity,domain_gap,mrr_wps,map_wps,delta_mrr,delta_map,transfer
BLAZE,jupyterlab/jupyterlab,lightning-ai/lightning,0.4706,0.3599,51387,39372,366,197,0.7661860003502683,188.469496,194.7014925,0.9955373296345434,0.3141,0.2503,0.15650000000000003,0.10959999999999998,positive
BLAZE,lightning-ai/lightning,jupyterlab/jupyterlab,0.3936,0.2942,39372,51387,197,366,1.3051661078939016,194.7014925,188.469496,0.9955373296345434,0.1562,0.132,0.2374,0.1622,positive
BLAZE,jupyterlab/jupyterlab,prefecthq/prefect,0.4082,0.3228,107073,39372,404,197,0.3677117480597315,133.6437346,194.7014925,0.9848434561345282,0.2554,0.1964,0.1528,0.12639999999999998,positive
BLAZE,prefecthq/prefect,jupyterlab/jupyterlab,0.4773,0.3826,39372,107073,197,404,2.7195214873513485,194.7014925,133.6437346,0.9848434561345282,0.1853,0.1405,0.29200000000000004,0.24209999999999998,positive
BLAZE,jupyterlab/jupyterlab,pydata/xarray,0.3699,0.3067,142044,39372,110,197,0.27718171834079386,369.5363636,194.7014925,0.9941214057507988,0.1168,0.1105,0.2531,0.19619999999999999,positive
BLAZE,pydata/xarray,jupyterlab/jupyterlab,0.2953,0.2027,39372,142044,197,110,3.607741542212649,194.7014925,369.5363636,0.9941214057507988,0.1684,0.1339,0.1269,0.0688,positive
BLAZE,jupyterlab/jupyterlab,numpy/numpy,0.388,0.3375,276548,39372,789,197,0.1423694982426192,161.5720384,194.7014925,0.9941268922160642,0.3884,0.3438,-0.00040000000000001146,-0.006299999999999972,neutral
BLAZE,numpy/numpy,jupyterlab/jupyterlab,0.3742,0.3202,39372,276548,197,789,7.02397642995004,194.7014925,161.5720384,0.9941268922160642,0.023,0.0228,0.35119999999999996,0.2974,positive
BLAZE,jupyterlab/jupyterlab,scikit-learn/scikit-learn,0.3798,0.356,376169,39372,228,197,0.10466572205577784,231.8122271,194.7014925,0.9920224234583872,0.2365,0.2329,0.14330000000000004,0.12309999999999999,positive
BLAZE,scikit-learn/scikit-learn,jupyterlab/jupyterlab,0.2436,0.1976,39372,376169,197,228,9.554226353753695,194.7014925,231.8122271,0.9920224234583872,0.2005,0.1517,0.0431,0.045899999999999996,positive
BLAZE,lightning-ai/lightning,prefecthq/prefect,0.3811,0.3134,107073,51387,404,366,0.47992491104199486,133.6437346,188.469496,0.976599943614322,0.2303,0.1837,0.1508,0.1297,positive
BLAZE,prefecthq/prefect,lightning-ai/lightning,0.4956,0.3994,51387,107073,366,404,2.0836592912603953,188.469496,133.6437346,0.976599943614322,0.3217,0.2478,0.1739,0.15159999999999998,positive
BLAZE,lightning-ai/lightning,pydata/xarray,0.4248,0.4035,142044,51387,110,366,0.36176818450620685,369.5363636,188.469496,0.9815687955422204,0.1609,0.132,0.2639,0.2715,positive
BLAZE,pydata/xarray,lightning-ai/lightning,0.4747,0.3795,51387,142044,366,110,2.764201062525488,188.469496,369.5363636,0.9815687955422204,0.2676,0.2112,0.2071,0.1683,positive
BLAZE,lightning-ai/lightning,numpy/numpy,0.4062,0.3623,276548,51387,789,366,0.18581584390413172,161.5720384,188.469496,0.9902986205851144,0.3597,0.3237,0.046499999999999986,0.03860000000000002,positive
BLAZE,numpy/numpy,lightning-ai/lightning,0.4562,0.3559,51387,276548,366,789,5.381672407418114,188.469496,161.5720384,0.9902986205851144,0.3531,0.264,0.10309999999999997,0.09189999999999998,positive
BLAZE,lightning-ai/lightning,scikit-learn/scikit-learn,0.4991,0.4718,376169,51387,228,366,0.13660615308544793,231.8122271,188.469496,0.9830866807610994,0.2161,0.2096,0.28300000000000003,0.2622,positive
BLAZE,scikit-learn/scikit-learn,lightning-ai/lightning,0.5416,0.4364,51387,376169,366,228,7.320314476423857,188.469496,231.8122271,0.9830866807610994,0.343,0.2751,0.19859999999999994,0.1613,positive
BLAZE,prefecthq/prefect,pydata/xarray,0.3781,0.3268,142044,107073,110,404,0.7538016389287774,369.5363636,133.6437346,0.9814995131450828,0.143,0.1199,0.2351,0.20689999999999997,positive
BLAZE,pydata/xarray,prefecthq/prefect,0.4516,0.3554,107073,142044,404,110,1.3266089490347581,133.6437346,369.5363636,0.9814995131450828,0.1998,0.1603,0.2518,0.1951,positive
BLAZE,prefecthq/prefect,numpy/numpy,0.4124,0.3622,276548,107073,789,404,0.3871769096142428,161.5720384,133.6437346,0.9915588835942818,0.4174,0.3664,-0.0050000000000000044,-0.0041999999999999815,neutral
BLAZE,numpy/numpy,prefecthq/prefect,0.3943,0.2991,107073,276548,404,789,2.582798651387347,133.6437346,161.5720384,0.9915588835942818,0.2905,0.22,0.1038,0.07909999999999998,positive
BLAZE,prefecthq/prefect,scikit-learn/scikit-learn,0.5048,0.4779,376169,107073,228,404,0.284640680119839,231.8122271,133.6437346,0.985657546337158,0.1121,0.11,0.39270000000000005,0.3679,positive
BLAZE,scikit-learn/scikit-learn,prefecthq/prefect,0.4729,0.3774,107073,376169,404,228,3.5132012738972147,133.6437346,231.8122271,0.985657546337158,0.3059,0.2309,0.16699999999999998,0.14650000000000002,positive
BLAZE,pydata/xarray,numpy/numpy,0.4028,0.3589,276548,142044,789,110,0.513632353153881,161.5720384,369.5363636,0.9810797586038168,0.3838,0.3479,0.019000000000000017,0.01100000000000001,positive
BLAZE,numpy/numpy,pydata/xarray,0.5023,0.4143,142044,276548,110,789,1.9469178564388363,369.5363636,161.5720384,0.9810797586038168,0.187,0.1591,0.31529999999999997,0.2552,positive
BLAZE,pydata/xarray,scikit-learn/scikit-learn,0.4586,0.4417,376169,142044,228,110,0.37760687350632194,231.8122271,369.5363636,0.9828209764918626,0.2592,0.2506,0.19940000000000002,0.1911,positive
BLAZE,scikit-learn/scikit-learn,pydata/xarray,0.3791,0.3191,142044,376169,110,228,2.6482568781504137,369.5363636,231.8122271,0.9828209764918626,0.234,0.1906,0.14509999999999998,0.1285,positive
BLAZE,numpy/numpy,scikit-learn/scikit-learn,0.4784,0.4597,376169,276548,228,789,0.7351695647435043,231.8122271,161.5720384,0.9762595621208124,0.1478,0.1423,0.3306,0.3174,positive
COOBA,jupyterlab/jupyterlab,pydata/xarray,0.1197033186016329,0.0900602912986325,142044,39372,110,197,0.27718171834079386,369.5363636,194.7014925,0.9941214057507988,0.1663857210947955,0.1454098382701033,-0.04668240249316259,-0.05534954697147079,negative
COOBA,jupyterlab/jupyterlab,lightning-ai/lightning,0.4418417721123726,0.3238253995917057,51387,39372,366,197,0.7661860003502683,188.469496,194.7014925,0.9955373296345434,0.3061774811833933,0.2497194794562826,0.1356642909289793,0.07410592013542311,positive
COOBA,jupyterlab/jupyterlab,prefecthq/prefect,0.1478420168099539,0.1283468054008599,107073,39372,404,197,0.3677117480597315,133.6437346,194.7014925,0.9848434561345282,0.1602902129698003,0.1198108242928139,-0.012448196159846409,0.008535981108046015,negative
COOBA,pydata/xarray,jupyterlab/jupyterlab,0.1952083333333333,0.1835416666666666,39372,142044,197,110,3.607741542212649,194.7014925,369.5363636,0.9941214057507988,0.137946706071706,0.1356550394050394,0.057261627261627285,0.04788662726162721,positive
COOBA,lightning-ai/lightning,jupyterlab/jupyterlab,0.2975,0.2802380952380952,39372,51387,197,366,1.3051661078939016,194.7014925,188.469496,0.9955373296345434,0.2931547619047618,0.2806547619047618,0.00434523809523818,-0.0004166666666666208,neutral
COOBA,prefecthq/prefect,jupyterlab/jupyterlab,0.2533630952380952,0.2507738095238095,39372,107073,197,404,2.7195214873513485,194.7014925,133.6437346,0.9848434561345282,0.0798318092725987,0.0785322060979955,0.1735312859654965,0.17224160342581402,positive
COOBA,jupyterlab/jupyterlab,ipython/ipython,0.0356458900528151,0.0349228137528207,77778,39372,832,197,0.506209982257187,134.7788235,194.7014925,0.98460639127046,0.0619171753113911,0.0538246143694359,-0.026271285258576,-0.0189018006166152,negative
COOBA,jupyterlab/jupyterlab,scikit-learn/scikit-learn,0.0307236471540407,0.0312647947657079,376169,39372,228,197,0.10466572205577784,231.8122271,194.7014925,0.9920224234583872,0.0155686569856309,0.0169471157012975,0.0151549901684098,0.014317679064410397,positive
COOBA,jupyterlab/jupyterlab,numpy/numpy,0.051482763136757,0.0468160649079794,276548,39372,789,197,0.1423694982426192,161.5720384,194.7014925,0.9941268922160642,0.0698276569028501,0.0619911860933469,-0.0183448937660931,-0.015175121185367506,negative
COOBA,scikit-learn/scikit-learn,jupyterlab/jupyterlab,0.1471361726508785,0.1389922332569391,39372,376169,197,228,9.554226353753695,194.7014925,231.8122271,0.9920224234583872,0.1910128066378066,0.1877299783549783,-0.04387663398692809,-0.04873774509803919,negative
COOBA,ipython/ipython,jupyterlab/jupyterlab,0.2448611111111111,0.2333838383838384,39372,77778,197,832,1.975464797317841,194.7014925,134.7788235,0.98460639127046,0.2418526785714285,0.2231026785714285,0.0030084325396826095,0.010281159812409901,neutral
COOBA,jupyterlab/jupyterlab,ansible/ansible,0.0074124201986057,0.0073413900087654,348229,39372,768,197,0.11306353003339724,344.621519,194.7014925,0.9942145642057604,0.0040775263146155,0.0040840876818482,0.0033348938839902,0.003257302326917199,neutral
COOBA,jupyterlab/jupyterlab,docker/compose,0.4569226939255518,0.3956535926268443,34586,39372,572,197,1.1383796912045008,200.6197655,194.7014925,0.9967936385789408,0.4045885881621875,0.3435211392483431,0.05233410576336428,0.0521324533785012,positive
COOBA,numpy/numpy,jupyterlab/jupyterlab,0.1350892857142857,0.1344742063492063,39372,276548,197,789,7.02397642995004,194.7014925,161.5720384,0.9941268922160642,0.1615386002886003,0.1561724386724387,-0.026449314574314597,-0.021698232323232425,negative
COOBA,docker/compose,jupyterlab/jupyterlab,0.1921825396825396,0.175515873015873,39372,34586,197,572,0.8784415320532135,194.7014925,200.6197655,0.9967936385789408,0.1549389499389499,0.1500282356532356,0.03724358974358968,0.0254876373626374,positive
COOBA,jupyterlab/jupyterlab,mesonbuild/meson,0.0702570201109014,0.0680059379729935,121402,39372,937,197,0.32431096687039485,163.0513627,194.7014925,0.9949976841130151,0.09938374513456,0.0920151668622521,-0.029126725023658595,-0.024009228889258605,negative
COOBA,ansible/ansible,jupyterlab/jupyterlab,0.0892675829072887,0.0816791990689049,39372,348229,197,768,8.844584984252544,194.7014925,344.621519,0.9942145642057604,0.1697628066378066,0.1681953463203463,-0.0804952237305179,-0.0865161472514414,negative
COOBA,jupyterlab/jupyterlab,wagtail/wagtail,0.0322384593726057,0.0264139143709815,285999,39372,404,197,0.1376648170098492,202.1521739,194.7014925,0.976410916995411,0.0162145273425761,0.0161195485635658,0.0160239320300296,0.0102943658074157,positive
COOBA,wagtail/wagtail,jupyterlab/jupyterlab,0.299065934065934,0.2997603785103785,39372,285999,197,404,7.264020115818164,194.7014925,202.1521739,0.976410916995411,0.1119627594627594,0.1144388597513597,0.1871031746031746,0.1853215187590188,positive
COOBA,jupyterlab/jupyterlab,qiskit/qiskit,0.0937722743818388,0.0764709842883288,435173,39372,1336,197,0.09047436306939978,183.5106686,194.7014925,0.98747932908103,0.1172468319758935,0.096051957200852,-0.0234745575940547,-0.019580972912523198,negative
COOBA,mesonbuild/meson,jupyterlab/jupyterlab,0.0907722832722832,0.0935351800976801,39372,121402,197,937,3.0834603271359575,194.7014925,163.0513627,0.9949976841130151,0.2424206349206349,0.2382539682539682,-0.1516483516483517,-0.14471878815628808,negative
COOBA,jupyterlab/jupyterlab,localstack/localstack,0.169465818917244,0.1296123887640469,571611,39372,472,197,0.06887901037593736,290.4632207,194.7014925,0.993688362919132,0.1414126137596389,0.107620533748678,0.028053205157605093,0.021991855015368905,positive
COOBA,lightning-ai/lightning,pydata/xarray,0.1029619813482551,0.1015690009050989,142044,51387,110,366,0.36176818450620685,369.5363636,188.469496,0.9815687955422204,0.0856816824445615,0.0761087470583503,0.017280298903693606,0.025460253846748604,positive
COOBA,pydata/xarray,lightning-ai/lightning,0.3124646861744327,0.2699322006891098,51387,142044,366,110,2.764201062525488,188.469496,369.5363636,0.9815687955422204,0.1503917889461968,0.1258556147665379,0.16207289722823587,0.1440765859225719,positive
COOBA,localstack/localstack,jupyterlab/jupyterlab,0.2204969336219336,0.2207747113997114,39372,571611,197,472,14.518210911307161,194.7014925,290.4632207,0.993688362919132,0.2072308853118712,0.2080642186452045,0.013266048310062395,0.012710492754506891,positive
COOBA,lightning-ai/lightning,prefecthq/prefect,0.1861734732964174,0.1492590211025167,107073,51387,404,366,0.47992491104199486,133.6437346,188.469496,0.976599943614322,0.1869520648765172,0.1466391221864868,-0.0007785915800997967,0.0026198989160299,neutral
