model,source_project,target_project,src_wpl_mrr,cpt_mrr,wps_mrr,wpl_mrr,delta_mrr,tgt_LoC,tgt_n_bugs,transfer
BLAZE,jupyterlab/jupyterlab,lightning-ai/lightning,0.4579583333333333,0.4706,0.3141,0.5311,0.15650000000000003,51387,366,positive
BLAZE,lightning-ai/lightning,jupyterlab/jupyterlab,0.5348142857142857,0.3739,0.1484,0.4603,0.2255,39372,197,positive
BLAZE,jupyterlab/jupyterlab,prefecthq/prefect,0.4579583333333333,0.4082,0.2554,0.4956,0.1528,107073,404,positive
BLAZE,prefecthq/prefect,jupyterlab/jupyterlab,0.49971666666666664,0.4534,0.1761,0.4625,0.2773,39372,197,positive
BLAZE,jupyterlab/jupyterlab,pydata/xarray,0.4579583333333333,0.3699,0.1168,0.5134,0.2531,142044,110,positive
BLAZE,pydata/xarray,jupyterlab/jupyterlab,0.4974,0.2805,0.16,0.4524,0.12050000000000002,39372,197,positive
BLAZE,jupyterlab/jupyterlab,numpy/numpy,0.4579583333333333,0.388,0.3884,0.4681,-0.00040000000000001146,276548,789,neutral
BLAZE,numpy/numpy,jupyterlab/jupyterlab,0.4409,0.3555,0.0219,0.4724,0.3336,39372,197,positive
BLAZE,jupyterlab/jupyterlab,scikit-learn/scikit-learn,0.4579583333333333,0.3798,0.2365,0.5102,0.14330000000000004,376169,228,positive
BLAZE,scikit-learn/scikit-learn,jupyterlab/jupyterlab,0.51006,0.2314,0.1905,0.5133,0.04089999999999999,39372,197,positive
BLAZE,lightning-ai/lightning,prefecthq/prefect,0.5348142857142857,0.3811,0.2303,0.5154,0.1508,107073,404,positive
BLAZE,prefecthq/prefect,lightning-ai/lightning,0.49971666666666664,0.4956,0.3217,0.5423,0.1739,51387,366,positive
BLAZE,lightning-ai/lightning,pydata/xarray,0.5348142857142857,0.4248,0.1609,0.4827,0.2639,142044,110,positive
BLAZE,pydata/xarray,lightning-ai/lightning,0.4974,0.4747,0.2676,0.5361,0.2071,51387,366,positive
BLAZE,lightning-ai/lightning,numpy/numpy,0.5348142857142857,0.4062,0.3597,0.4534,0.046499999999999986,276548,789,positive
BLAZE,numpy/numpy,lightning-ai/lightning,0.4409,0.4562,0.3531,0.5428,0.10309999999999997,51387,366,positive
BLAZE,lightning-ai/lightning,scikit-learn/scikit-learn,0.5348142857142857,0.4991,0.2161,0.464,0.28300000000000003,376169,228,positive
BLAZE,scikit-learn/scikit-learn,lightning-ai/lightning,0.51006,0.5416,0.343,0.5418,0.19859999999999994,51387,366,positive
BLAZE,prefecthq/prefect,pydata/xarray,0.49971666666666664,0.3781,0.143,0.4908,0.2351,142044,110,positive
BLAZE,pydata/xarray,prefecthq/prefect,0.4974,0.4516,0.1998,0.465,0.2518,107073,404,positive
BLAZE,prefecthq/prefect,numpy/numpy,0.49971666666666664,0.4124,0.4174,0.439,-0.0050000000000000044,276548,789,neutral
