bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
Qiskit__qiskit-1080,1bb753eaab31f98d1561fa5bc6c7d855f847f106,155,6,149,0.26213300228118896,0.6667138338088989
Qiskit__qiskit-1089,3bcd1726afb74dc58fd70ce234d8a6e3335ff38e,258,36,222,0.25588423013687134,0.5367985367774963
Qiskit__qiskit-1115,aa58784cf246592ea908ba77bdfbb92d1813d0a5,43,3,40,0.33205166459083557,0.5959629416465759
Qiskit__qiskit-1115,10d59a2aa7f0d9dbf230a9bd590d647a230ee700,183,25,158,0.2332368940114975,0.5602526664733887
Qiskit__qiskit-1210,244921578adb127e27ed759e6f72700b379106b8,149,31,118,0.2597237825393677,0.5588085651397705
Qiskit__qiskit-1210,12ef28a35b487235c77d59e109c04c25399ffa44,220,61,159,0.2102513462305069,0.524394690990448
Qiskit__qiskit-1210,bb07bc2ff3a8e42b341599955a1941f30ba915e3,262,20,242,0.17992055416107178,0.5679365992546082
Qiskit__qiskit-1210,3a3c15e076999a95465cd9d365e231aa888577c1,12,47,-35,0.4244803190231323,0.5414088368415833
Qiskit__qiskit-1210,bab02eae2bde8bf0ce627a8d807333bae0638c0e,20,13,7,0.37690043449401855,0.5698526501655579
Qiskit__qiskit-1210,9983a40395984e0e34a7ad4d747c7e9234c7a58b,237,21,216,0.19668251276016235,0.5674572587013245
Qiskit__qiskit-1210,a340f4ecb517786a12d2c43200862b67e6ba64cb,111,18,93,0.2789032459259033,0.5688949227333069
Qiskit__qiskit-1210,0d6f71ad8cd0cd1190d38560cc96fb7d47e9bcbd,273,2,271,0.17388367652893066,0.5978426933288574
Qiskit__qiskit-1210,34f2f84ee3621d9ee2f28f0d88db45da644be845,286,42,244,0.16545835137367249,0.5486735105514526
Qiskit__qiskit-1210,fbe7a4296519f5816a5e50ec7bdc8f24d4a64639,175,102,73,0.2491200715303421,0.4735355079174042
Qiskit__qiskit-1210,b9dd06bff1618a1e27d3617d97e4773da55c88f4,69,8,61,0.3147605359554291,0.5774953961372375
