bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
4701,53c9c42bc877ebebde5fffa0679f4b50e22801cf,21,4,17,0.4105733036994934,0.9358173608779907
docker__compose-1026,e1e29744bdd4720986b2401785ed7360fc6b444e,61,5,56,0.15960469841957092,0.9230391979217529
docker__compose-1205,95dfb6cbd366b8ed79b52fd2b52bb911f75404f9,22,1,21,0.33577513694763184,0.9492946267127991
docker__compose-1225,c89f6de552844cb071bf84a9b232d6e1a0571aa6,14,13,1,0.27573060989379883,0.6375951170921326
docker__compose-1226,dea734d514a0410947cd6aa99ec93332204d4f53,29,13,16,0.33542293310165405,0.6379335522651672
docker__compose-148,cfc39367672218d431de7049e6c2f6211a7ddb96,37,2,35,0.2035486400127411,0.9437636137008667
docker__compose-1515,a488b2c68c9b12b43b06d236baecace30389638a,6,1,5,0.5005316734313965,0.9621075391769409
docker__compose-1644,aa0e3e88e446e3371a1e44a93e17ddaee7692ccc,19,3,16,0.4357706606388092,0.954647421836853
docker__compose-1824,56f6c05052dae8430d45cb5f8b8bff4802f0c073,15,2,13,0.4890082776546478,0.9648551344871521
docker__compose-1870,b5646a479c0943065e8b29b4bf7cca61f1cb26a9,6,7,-1,0.49165213108062744,0.9149009585380554
docker__compose-1931,f727c8673af3cda14875414f836d4092d8d30ac1,96,15,81,0.20130164921283722,0.7757747173309326
docker__compose-1931,58e54285169c2ec81798fbcdafce277c95969e94,12,1,11,0.48266181349754333,0.9728307723999023
docker__compose-2000,dc630adf279618d7c886a03965beab10020f7a12,24,13,11,0.36252111196517944,0.804405927658081
docker__compose-2019,9e9cb857fbfc91c8269e04d59b175809e60bdd3d,92,5,87,0.2898445129394531,0.9623913168907166
docker__compose-2019,0fef304a2a1e5eee7571db5912b49e4a96fdaac9,84,8,76,0.3152807056903839,0.907967209815979
docker__compose-2020,51b625890976d686664159a67c0ada1f1772d352,28,14,14,0.37210360169410706,0.8014700412750244
docker__compose-2020,c2fcc54fdd694a2cd3c1fbb8cee5dd5d80979d05,20,10,10,0.3896889090538025,0.820900559425354
