bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
mesonbuild__meson-1028,2861bb6c99de8e22704a256255b569fafdc9a7fa,99,7,92,0.303659051656723,0.9942349791526794
mesonbuild__meson-1039,1505807f19367ac40a1c6d067b9d5f38900b9690,13,14,-1,0.48768311738967896,0.990075409412384
mesonbuild__meson-10679,0521125eaec0d0359c36adedda7e03ae4080c45f,258,1,257,0.3343302607536316,0.9778148531913757
mesonbuild__meson-1068,7c4fb1d94a0bd17e2fd45aa1f42b0ed7e688139c,37,6,31,0.425201416015625,0.9883943796157837
mesonbuild__meson-10747,bbf31ad11cf8ce8ca9f2eac04dac118defb69ec3,141,17,124,0.373371422290802,0.9566161036491394
mesonbuild__meson-10803,ea8b849d1830a16302ec296cdeeb7b40da35f345,162,2,160,0.4594748616218567,0.9929277300834656
mesonbuild__meson-11181,0c4690b4782f8dc103e9ab5eaaba9837afc8f169,139,16,123,0.4414868950843811,0.9913613200187683
mesonbuild__meson-11631,5718004a182829df0d1c613edb6edf0cb0c6912d,132,3,129,0.41601336002349854,0.9948346614837646
mesonbuild__meson-11654,cd4cfb1fae2f77c318c4be29f5e49f085cee78a1,60,34,26,0.42039382457733154,0.9769830703735352
mesonbuild__meson-11654,5743236b3898d9f873a33aa4e93fbaa13631b5e3,225,71,154,0.34160858392715454,0.9538508653640747
mesonbuild__meson-1516,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,277,284,-7,0.2740410566329956,0.4411304295063019
mesonbuild__meson-1516,b1efc134f0bf0bd62d15ab29475f28a4a8fa38bd,281,3,278,0.2737230062484741,0.9931723475456238
mesonbuild__meson-225,6906d31c960b3bb14602be73132cc1a4f74cc08c,79,24,55,0.2713659405708313,0.9644508957862854
mesonbuild__meson-225,1aea4542db9fba979e7c5a18a85cb5f2e0438724,74,5,69,0.2759438753128052,0.9952526092529297
mesonbuild__meson-225,9e3a782494f2e10e72b9a94d90e1ab5fba6c790c,12,16,-4,0.4481414556503296,0.9796415567398071
mesonbuild__meson-2815,c16d7a84004137b19a3b6255bb1598b654f6022a,213,8,205,0.38978850841522217,0.9444615244865417
mesonbuild__meson-297,d66aa1f3288157cf53028c34c662baefebe28f60,2,24,-22,0.4708733856678009,0.9559261798858643
mesonbuild__meson-2995,2032e05ee805f53c1c96a0eeeccc3b0b6da753ba,105,5,100,0.2655748128890991,0.9890117645263672
mesonbuild__meson-3093,a65f15db6784f811d96a8aee9554a5417e58869a,136,1,135,0.42668259143829346,0.9969262480735779
mesonbuild__meson-3093,11fa80d31a39e1b9c1c82973f939d6c95283c43b,196,11,185,0.415539026260376,0.9819960594177246
mesonbuild__meson-318,0f3c2804688a9e3819d3fccff4d7575f7c34c56e,60,2,58,0.3140275180339813,0.9899236559867859
mesonbuild__meson-318,47221c1c21714783dac27a6a0a60f1d3a6565690,2,9,-7,0.45362621545791626,0.963929295539856
mesonbuild__meson-327,f111610614ca8b0d0804a2399ca6ea6813c52af0,247,11,236,0.29489779472351074,0.9629498720169067
mesonbuild__meson-3499,41ede1d5e0ee35e2d86ab2eda171475f70e79c7d,86,7,79,0.4502670466899872,0.9799762964248657
mesonbuild__meson-3573,2b6281d7f5639c640be6d3ae4aaf41f97c469fbb,10,5,5,0.5209704637527466,0.9964486360549927
mesonbuild__meson-3573,a1dbac821131138fe1209fbb2db9217f4deadb66,26,25,1,0.5017483234405518,0.9909165501594543
mesonbuild__meson-3573,15b37378c092646bf86c81e8ce84052b9eb1c827,144,6,138,0.39177441596984863,0.9961697459220886
mesonbuild__meson-3894,b8ae399aed57d7c2c938cf4aa30a478a99fd1757,121,28,93,0.4049556255340576,0.9623891115188599
mesonbuild__meson-3894,17f92400f02fb6ed815fbcb369e84e44738f9cfe,140,9,131,0.39022138714790344,0.9925399422645569
mesonbuild__meson-3894,7ed97b2bb36475ab3834b690d1f90c204db1acf5,76,6,70,0.43501579761505127,0.9935857653617859
mesonbuild__meson-3894,ace0693383ab637ac3c33bf3a9774f74bcb2bfa5,126,19,107,0.40008410811424255,0.9873260855674744
