bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
open-mmlab__mmdetection-1099,fc6702cf03af8412e006e311060869d6e1cf99d3,189,8,181,0.1988202929496765,0.29010874032974243
open-mmlab__mmdetection-2032,d5a8a1449e3be581c34275dd013b431108def507,77,32,45,0.25131142139434814,0.3894776701927185
open-mmlab__mmdetection-2296,06820be2459c9766113796cbe34e76db7ae9c108,111,131,-20,0.3091610074043274,0.29343315958976746
open-mmlab__mmdetection-3627,51ac8577f0037791db1a772b450751a006e61a9f,73,265,-192,0.4456965923309326,0.007144868839532137
open-mmlab__mmdetection-4056,3be652dca8ab96b5910892e3656b415100fd5be8,140,34,106,0.31870532035827637,0.17967909574508667
open-mmlab__mmdetection-4258,b47074121d48a4e06e389a3a13d1e6eb970ff529,60,14,46,0.34867894649505615,0.2142091542482376
open-mmlab__mmdetection-5221,f58c451305efa82d82e17c5439f116bdc31af07c,238,1,237,0.41045260429382324,0.6544981598854065
open-mmlab__mmdetection-6632,c414051bb735e943977106381691ecd2df28ab8a,6,82,-76,0.4984889626502991,0.1616411954164505
open-mmlab__mmdetection-6632,d029b5cdd6b3dad09b16a6f2a23e66be684a6412,294,91,203,0.3060941696166992,0.1404363512992859
open-mmlab__mmdetection-6632,292bae70300debfa2bffdc0d81b3b072c95848ca,17,78,-61,0.4444805383682251,0.17597097158432007
open-mmlab__mmdetection-6632,8730527a01763d1fd5e44d2fae145f56e356f323,164,3,161,0.3242666721343994,0.6797575354576111
open-mmlab__mmdetection-6632,dd5f9f33c8f9c63b18d594a108e9dc0cc66c95fc,63,37,26,0.3677308261394501,0.3415321409702301
open-mmlab__mmdetection-6632,faec1b485a30f148b4c5805df0c34ba362cdfb66,282,84,198,0.3070845305919647,0.15053103864192963
open-mmlab__mmdetection-6632,609604d7a4eead2903fe9811082e969ee37e0d09,31,38,-7,0.39952898025512695,0.3412778973579407
open-mmlab__mmdetection-6632,87359f6fb66d94de10b8e3797ee3eec93a19cb26,9,90,-81,0.4792923629283905,0.1414208859205246
open-mmlab__mmdetection-7891,15db07e41c7306ac6a02c6e697f527a8696d813c,129,5,124,0.3329879939556122,0.3468860387802124
open-mmlab__mmdetection-9319,244605fc1b642436de43f96457c5a11656f0d345,272,265,7,0.4227753281593323,0.006724441424012184
