bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
1035,9e6652fc063c12d44dfdb7b1cce0a7903404fb02,87,130,-43,0.2847156226634979,0.5914872884750366
1035,1a605a366e7df16869a39f7abc88f2549866f9c1,106,63,43,0.24662868678569794,0.6606104373931885
1035,e8fc1aeb6693f0eea7946738446ff5b1cad77d3e,1,91,-90,0.6215494871139526,0.6217706203460693
1066,e1a07cdcbf4f82c61f1cd644db65cd4f281c593e,152,44,108,0.13694101572036743,0.5762439370155334
1066,56dc16a97192a1ffedc9935f35c1aa8fcc37e1d9,107,55,52,0.23334962129592896,0.5614553093910217
1066,392a0e16a3ad7a36e19af38103e0f36289e866a3,105,43,62,0.24136818945407867,0.5801141858100891
1066,7169a1b4f95d7e47ec4d0fdc56c80f17bf5fdb6a,165,113,52,0.09614479541778564,0.5104964971542358
1066,1eb59a51f9092e4c00313c8642301922655acd2c,148,84,64,0.14404940605163574,0.531209409236908
1066,6f887a30ca51b1b9c3224dc75409bf02dbcf5866,173,42,131,0.03067053109407425,0.5808276534080505
1066,ff63d01fdc1edd0624a2f0e8e30800c495f9556f,123,166,-43,0.197738915681839,0.31658053398132324
1066,64665a874d38ff6e17d394d38cc26e03e0201f44,172,169,3,0.04403802752494812,0.2921912372112274
1066,85dfc43b9c7052eee4a5f24e83fda32de7ae3238,46,150,-104,0.33370161056518555,0.4580456614494324
1066,fef365f9fbf955b365ff8bc15f9de9631720a4c0,3,83,-80,0.5066013336181641,0.5326682329177856
1066,9e31f99797988e098b0f89d72ddbc84d90d42c01,125,5,120,0.195034921169281,0.637538731098175
1066,4e4c0c847e972f21251c6e5c284e43b5d3a71904,1,80,-79,0.6237590312957764,0.5353413224220276
1066,d07675afef0882cb958c96b81af6f15724c24ca5,15,98,-83,0.40027153491973877,0.5214711427688599
1116,8f37d98cec1bb8e9aafe1ee4be8385c236601ccb,15,194,-179,0.4820622205734253,0.2030746340751648
1116,fbaecb38b0c5982e04b95a8386ecd54610c6c6a3,131,190,-59,0.23115849494934082,0.23863890767097473
1116,67e80da7623bf2fc273bee01e59420796fde7a28,128,183,-55,0.23492839932441711,0.2991051971912384
1116,8994d640187db928239305298cf7261a11c4ee53,168,164,4,0.15849483013153076,0.4277552664279938
1198,0f63eeb01984e1108682df2332362a4f9445d420,19,62,-43,0.31639179587364197,0.5380731225013733
1198,df0da3cb270e3dabfe5ca31c9fed02cc4f518769,203,148,55,0.13353705406188965,0.4585305452346802
1198,b4a8c03ae7b22e2ec5bcdbb63ba4168f345c77f6,57,37,20,0.27567750215530396,0.5720654726028442
1198,9a1bbcac2f84a82327fcfd1870e1a46e437dabd7,61,139,-78,0.2693999707698822,0.4694594442844391
1198,c1a0909f39437fcdfed8f630156f8d2d4158fbeb,211,90,121,0.11073111742734909,0.5043028593063354
1198,d822e2fc23a0ed6de27bfd84645d260fa2bcee59,200,167,33,0.14787879586219788,0.4335017502307892
1198,f1012bb5f2d08324e305819fb176d88aec3c37f1,102,149,-47,0.2407902479171753,0.45834869146347046
1198,6a88a02532bac471f8e232ba98d7f8967c7dd7bc,67,170,-103,0.26795536279678345,0.42966869473457336
1215,01c98d109bc239187ae66072d71a6c9914cf68e0,16,155,-139,0.42282646894454956,0.47536176443099976
1215,1518a5ecb0fb04a7d4411b550ea9cdcf0cfd6859,157,130,27,0.12995144724845886,0.5083000063896179
1215,ae8ece62a7aac37e21cdf4adc1564823171b6f9e,127,182,-55,0.15923941135406494,0.3640989661216736
1317,5369fc3f081cc6ce2b000be993af8f6363b94b71,42,178,-136,0.2986655831336975,0.41057902574539185
1317,a90aec5f6a935027226e777ab9f4406ff8028723,10,161,-151,0.3842211961746216,0.507567822933197
1396,be708b86c717f94fc33263a50e5937597b7a02ad,91,212,-121,0.295013427734375,0.3805287182331085
1396,907781aacac5979c343ccae415fc49e77e5fd66e,153,87,66,0.22141362726688385,0.6249804496765137
1417,61879a83fed58135ef9b15ae3fa8c7cd71d9694c,136,150,-14,0.12166249752044678,0.38745853304862976
1456,a3587988ad80101e86044cf35ed783a7b9046543,138,79,59,0.2268555760383606,0.6183196306228638
1456,ead87a3ef754323b7818cf9443738fe9f1daabcf,59,113,-54,0.28542882204055786,0.5898345112800598
1456,1d808d9a49bf424e6103565de40cf11331ddc4fe,29,53,-24,0.3139840364456177,0.637030839920044
1527,86214d8a106c64ff788745404b68f80886425890,5,153,-148,0.4363681674003601,0.5538069605827332
1527,26a7199c24e0c3785426ac8a5d0e78186fafcdd3,143,217,-74,0.265896201133728,0.4069208800792694
1527,e2f7125156cb2a11ea8b4f934a294205854dd840,23,160,-137,0.366401731967926,0.5499427318572998
1527,3772dc7d40995929351e8ec57375bf9cdde1996a,108,185,-77,0.31077179312705994,0.5115945935249329
1553,77feec86a55375ec82aaf221e8dfbfaea9927b34,153,168,-15,0.2782025635242462,0.4064496159553528
1553,0d4f237e322854a52bd7a7551679d39172d50a81,86,149,-63,0.372061550617218,0.44287747144699097
1553,be25d380e765b457ecb52543e6581a2409589345,121,32,89,0.3039197027683258,0.6055658459663391
1554,fa6102fe1285c094ad6b0084461cbd09698895c9,204,217,-13,0.11201874911785126,0.3119506239891052
1554,de2bedb7a353a94c133964c8d70281629108f92f,21,170,-149,0.3984403610229492,0.47731053829193115
1554,e6db5f46071615e78327cfc28f25bb0e310e7a82,160,173,-13,0.17600581049919128,0.4701283872127533
1566,6d99b1580bb5b7bf750404416d78e8f9186f445d,19,177,-158,0.3252020478248596,0.5330936312675476
1566,82c7855bb76e9c8a35040e36ddc68d276d77eb88,135,171,-36,0.23106947541236877,0.5491570830345154
1566,26407b7e57de858a6f703a9cbc9e66c67e37c5ec,40,190,-150,0.3252020478248596,0.502197265625
1566,bb44f7ec74dacad0347a04a23ab6608e8898c338,83,184,-101,0.29103851318359375,0.5175709128379822
1566,569b9f05857e22b271d23cb17c8f91d51e2613a6,115,138,-23,0.24816912412643433,0.5834407210350037
