bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
1035,9e6652fc063c12d44dfdb7b1cce0a7903404fb02,87,24,63,0.2847156226634979,0.44794324040412903
1035,1a605a366e7df16869a39f7abc88f2549866f9c1,106,33,73,0.24662868678569794,0.37845906615257263
1035,e8fc1aeb6693f0eea7946738446ff5b1cad77d3e,1,44,-43,0.6215494871139526,0.32450294494628906
1066,e1a07cdcbf4f82c61f1cd644db65cd4f281c593e,152,9,143,0.13694101572036743,0.46976351737976074
1066,56dc16a97192a1ffedc9935f35c1aa8fcc37e1d9,107,33,74,0.23334962129592896,0.30673468112945557
1066,392a0e16a3ad7a36e19af38103e0f36289e866a3,105,30,75,0.24136818945407867,0.32960745692253113
1066,7169a1b4f95d7e47ec4d0fdc56c80f17bf5fdb6a,165,53,112,0.09614479541778564,0.20882359147071838
1066,1eb59a51f9092e4c00313c8642301922655acd2c,148,13,135,0.14404940605163574,0.4277552664279938
1066,6f887a30ca51b1b9c3224dc75409bf02dbcf5866,173,32,141,0.03067053109407425,0.31174108386039734
1066,ff63d01fdc1edd0624a2f0e8e30800c495f9556f,123,18,105,0.197738915681839,0.37845906615257263
1066,64665a874d38ff6e17d394d38cc26e03e0201f44,172,3,169,0.04403802752494812,0.5741560459136963
1066,85dfc43b9c7052eee4a5f24e83fda32de7ae3238,46,57,-11,0.33370161056518555,0.19837458431720734
1066,fef365f9fbf955b365ff8bc15f9de9631720a4c0,3,1,2,0.5066013336181641,0.5884161591529846
1066,9e31f99797988e098b0f89d72ddbc84d90d42c01,125,49,76,0.195034921169281,0.22644132375717163
1066,4e4c0c847e972f21251c6e5c284e43b5d3a71904,1,43,-42,0.6237590312957764,0.24762336909770966
1066,d07675afef0882cb958c96b81af6f15724c24ca5,15,10,5,0.40027153491973877,0.4411914348602295
1116,8f37d98cec1bb8e9aafe1ee4be8385c236601ccb,15,74,-59,0.4820622205734253,0.257951945066452
1116,fbaecb38b0c5982e04b95a8386ecd54610c6c6a3,131,55,76,0.23115849494934082,0.3345894515514374
1116,67e80da7623bf2fc273bee01e59420796fde7a28,128,8,120,0.23492839932441711,0.6477425694465637
1116,8994d640187db928239305298cf7261a11c4ee53,168,52,116,0.15849483013153076,0.3438923954963684
1198,0f63eeb01984e1108682df2332362a4f9445d420,19,149,-130,0.31639179587364197,0.03358950465917587
1198,df0da3cb270e3dabfe5ca31c9fed02cc4f518769,203,102,101,0.13353705406188965,0.09041372686624527
1198,b4a8c03ae7b22e2ec5bcdbb63ba4168f345c77f6,57,197,-140,0.27567750215530396,0.013222822919487953
1198,9a1bbcac2f84a82327fcfd1870e1a46e437dabd7,61,168,-107,0.2693999707698822,0.024423090741038322
