bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
numpy__numpy-10031,2f68c4d50a971b76e0ae7022bcc709f6eb341bd0,81,90,-9,0.4031621515750885,0.028946537524461746
numpy__numpy-10603,c5679ace8b43b97594873be8c1a5518fdbc2017d,132,14,118,0.3862058222293854,0.6499606966972351
numpy__numpy-10608,6fce1c0475a93fce90fa0e1ecb9352115ae95012,119,20,99,0.5440382957458496,0.589748203754425
numpy__numpy-10629,65c3ed00dbd308146709b7e8a7086c613b8818f4,267,13,254,0.3838263154029846,0.7267313599586487
numpy__numpy-10732,cd99a82d7b51a1ac1b8c9e3e8113c7a3397c048d,145,10,135,0.3420853614807129,0.7633326053619385
numpy__numpy-10732,d7ab040a17237765ab6e45395e8bc8cc8bea5df1,29,13,16,0.4938656687736511,0.7298435568809509
numpy__numpy-10732,82a53bd08dbe339443bd337e12006ad2a6cf7d9d,78,8,70,0.40024974942207336,0.7950147986412048
numpy__numpy-10732,d342410b8a85856eb59aced352fbf4caa40f5932,152,11,141,0.32914888858795166,0.75999516248703
numpy__numpy-10732,d1d6c89b513952ce0630888bcc99cf9c19ffde9d,249,12,237,0.2667372226715088,0.7516312599182129
numpy__numpy-10732,73cb3b8bfe4d1d184bb8bb66656ca360e3bc2e45,133,33,100,0.3534843921661377,0.18516214191913605
numpy__numpy-10732,479d1849f98a04cfb91d44c1dd37936ec2c4d670,10,31,-21,0.5910923480987549,0.19210195541381836
numpy__numpy-10732,cb59ee1e56d9c5d58f09c598c8006bcbdffd8f2d,286,7,279,0.25471925735473633,0.8197498917579651
numpy__numpy-11358,630767dc5347df4ba4b191ae2a7bfea8d7d8ab58,129,31,98,0.4137696325778961,0.15180614590644836
numpy__numpy-11427,b7d9c4406709e5069ca573ccd10384e2475b4a15,293,19,274,0.35431164503097534,0.6703960299491882
numpy__numpy-11449,186ed949d863972ce80caca0f92af09422384297,192,26,166,0.43016475439071655,0.3812806308269501
numpy__numpy-11450,1664e6ebb08da8ffd047cb8775f8275d9913f9e6,101,9,92,0.4107465147972107,0.7867631316184998
numpy__numpy-11717,163f125c28a51dac5205769e0344300339ad372a,214,21,193,0.333351194858551,0.5490958094596863
numpy__numpy-11774,5880ea1544d4b0931e9544dbaf309dd80344f528,160,16,144,0.32414567470550537,0.6533378958702087
numpy__numpy-11805,d84455a8f269d45fc5df179d12d83801a5ad208f,115,14,101,0.3445197343826294,0.6594592332839966
numpy__numpy-11813,d31d8a9398b518012e3517bc4240844732b16cf2,9,2,7,0.553960919380188,0.8512564301490784
numpy__numpy-12358,1ef3dca47ec5aea6b41a0a676e52d4686684f43d,241,102,139,0.485374391078949,0.012281239032745361
numpy__numpy-12408,9ee44e9ff61bcebf59327bbe25c74d10a8370d62,255,3,252,0.2956361770629883,0.8809865713119507
numpy__numpy-12807,8750ed0b3d19e9052733af6e6ba01ad1f4455885,201,78,123,0.4461132884025574,0.0633622333407402
numpy__numpy-13242,6dd6982dfe6a93d2319ea3f5a342e432d26a528a,247,13,234,0.3099439740180969,0.649949848651886
numpy__numpy-15124,f09f2a465d0eceb85066c6cce81f619bdc6b074b,118,4,114,0.45216405391693115,0.811572253704071
numpy__numpy-15928,7eeed7825bddd659b4bfc593c17bd733964fd079,184,1,183,0.3382463753223419,0.898698091506958
numpy__numpy-15938,40d632ec55ef8bd20ad9c751e17902022e05a58c,273,6,267,0.47311651706695557,0.8519461750984192
numpy__numpy-15949,fa888107f8269c0c64288f1c191e198d8dc0f96a,173,1,172,0.33120524883270264,0.8840920329093933
numpy__numpy-16300,613bcb550dfd1bc3386862c8f014cc8bc818b0a3,107,8,99,0.5749918222427368,0.7907323241233826
