bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
PrefectHQ__prefect-101,40af06a3ab551c74ffbab466cf5c6f037af3d782,51,3,48,0.17317035794258118,0.852320671081543
PrefectHQ__prefect-1037,c7d058e3dbf19b6eb3898cb0d04715de059d2cc2,186,15,171,0.32953721284866333,0.7375643253326416
PrefectHQ__prefect-1118,09db18f401d6fdd29d6c5a5cc56e438f6da23d45,292,8,284,0.2746102809906006,0.6911957263946533
PrefectHQ__prefect-1319,b338c5dd3d575d81b9e1bfb06477af2dca3d26d1,113,23,90,0.3620644807815552,0.6951643824577332
PrefectHQ__prefect-1319,0425c6296179aa1dd4a027900acd27adaef74fa2,53,13,40,0.40121766924858093,0.7916659712791443
PrefectHQ__prefect-1319,f036ea548624f7e6f522e0a2d6697b97308955d3,37,10,27,0.41820546984672546,0.8051133751869202
PrefectHQ__prefect-134,45a64b879d0a4d6936128f56ee9f4b2693b231c2,22,5,17,0.24865050613880157,0.8629750609397888
PrefectHQ__prefect-1368,486ca9d29ec082970c46b083ade475548f164c5e,70,28,42,0.3587632179260254,0.7064496874809265
PrefectHQ__prefect-1375,536af5cc776265eb0c9a1221d94986c57856809d,164,1,163,0.342262864112854,0.9161514639854431
PrefectHQ__prefect-1420,19ce7ad51d7e98058db68f5a827627c17e078a02,238,23,215,0.3189697861671448,0.6685884594917297
PrefectHQ__prefect-1431,8a0d0de576d815ae9a0b0361e5816296ba3a280a,129,26,103,0.2966655492782593,0.7419089674949646
PrefectHQ__prefect-1525,dc18e97fcfedda802d07970715b01027b9cc9992,232,10,222,0.30281612277030945,0.7871145009994507
PrefectHQ__prefect-158,8cbc80eb56cfaf9beb898088ef1edc1075015f78,90,17,73,0.2615870535373688,0.7077336311340332
PrefectHQ__prefect-158,682fb497b5386ea42d1e00acde4b9a2949489b16,102,1,101,0.21556700766086578,0.896127462387085
PrefectHQ__prefect-158,5b49bc6cd8dfb8332e8ae401c3bb866c136e8f8d,103,11,92,0.21133953332901,0.7511879801750183
PrefectHQ__prefect-158,07450a943cdaf82a572fbf08df51182ff374d4f1,106,3,103,0.20507794618606567,0.8705093860626221
PrefectHQ__prefect-158,62c6d4c28e7ba25ebcab26d73f0b3e99fa0a1120,9,4,5,0.4979844093322754,0.8670379519462585
PrefectHQ__prefect-170,97b03ecf3b448b5686ca29f79a34bc730b8f8065,50,15,35,0.2848324477672577,0.7230257391929626
PrefectHQ__prefect-170,2c995e3a8d20c31581f570d46c9fc3eabf5183d8,80,12,68,0.24440133571624756,0.7695305347442627
PrefectHQ__prefect-1729,04ca6ad102fdc43ed40d48d8ec7cc52beb0ee406,10,3,7,0.5652456879615784,0.8492687344551086
PrefectHQ__prefect-177,852938b0af0463fea4b7aaf30ccc24a075c3c22b,115,7,108,0.19709648191928864,0.8270053267478943
PrefectHQ__prefect-177,97ac677cef1b6148cf6e90c3a828d38049dfb3cc,19,1,18,0.3677903413772583,0.9320523142814636
PrefectHQ__prefect-187,dd6385891c04c0973a18e1bb691539c8bb18b35a,116,42,74,0.16251684725284576,0.4848070442676544
PrefectHQ__prefect-187,622ecbe48bb62b5f30de6476a7f6f45316038147,9,5,4,0.3948805034160614,0.8913116455078125
PrefectHQ__prefect-187,154ec54dcf07578a68a23565525270b666fc29a9,87,41,46,0.2531259059906006,0.5176878571510315
PrefectHQ__prefect-2031,bb2692f0a5b976db136fa87772f2a20abb76b785,175,28,147,0.4135722517967224,0.5529724359512329
PrefectHQ__prefect-205,955ead2d0e9e54aa50e772820d3931dc31b91c38,131,3,128,0.14177274703979492,0.9267562031745911
PrefectHQ__prefect-205,0168d1de54168057eac1646ccd368d5372e5573b,22,1,21,0.3283247649669647,0.9424922466278076
PrefectHQ__prefect-2054,c691310edb0502bac2e90dd6a10e625d4b81a32f,233,3,230,0.3976629972457886,0.8786638379096985
PrefectHQ__prefect-2054,503ced0a3cfa8c5a1b661693475df44706fea927,128,23,105,0.446255624294281,0.6803844571113586
PrefectHQ__prefect-2054,094c055bb6e62681838e1263beb87ef1cabf3e40,281,6,275,0.37749695777893066,0.8468641638755798
PrefectHQ__prefect-2054,95d9501d9fd0803527b11a5d33cb76f925b090bb,300,32,268,0.3659821152687073,0.5552350282669067
PrefectHQ__prefect-2054,0fb1a1d1de3977205cd1b8cc23e2f39ddc1e0659,76,20,56,0.48168355226516724,0.696993350982666
PrefectHQ__prefect-2054,a7526b578546f008e6bbbcf63ea603c51dd07c00,260,33,227,0.38589048385620117,0.5292655229568481
PrefectHQ__prefect-2054,b67ca42c21496fd8c6ff76392e34f4209aad328a,271,5,266,0.3812154233455658,0.8676102757453918
PrefectHQ__prefect-2054,474c138e198005a6617ad082a9d8664dc668dcff,111,31,80,0.4603261947631836,0.5607863068580627
