bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
8309,8b9f31bfdfd2a3c994e86507ca524d8acfb1557a,99,5,94,0.42913392186164856,0.9228153228759766
8315,033737409f3c659cd130a2155f8e2dc65994fc2f,71,32,39,0.2548247277736664,0.6823058128356934
8315,4d5141e9d5a120ed33f8c42c68a5cb4cb4f5168c,30,22,8,0.33881834149360657,0.773072361946106
8322,1cacff12e3d6fae05a31476324bb0abe71d830c9,53,10,43,0.13828861713409424,0.8719127178192139
8322,c25b1d3e02210701c8f33fdf0f49f7492427281e,13,1,12,0.3558584451675415,0.9723208546638489
8328,8bf5465e48a44107935a5ce8ba8a2b4573ec34b3,29,18,11,0.2600991725921631,0.7415552139282227
8328,8a9cf165eba319fd18b453cf92a82865fcb784ce,36,4,32,0.21574532985687256,0.952165961265564
pydata__xarray-3159,a8bb5532f1fcb791c770fc4b404f1bdb828882cd,177,4,173,0.16253259778022766,0.967538058757782
pydata__xarray-3159,e3e543b662149ff300089dcdb1a718d791768a5b,84,1,83,0.24367639422416687,0.9785445332527161
pydata__xarray-3406,62c055fed51d7f9226ad292f6e82a9f27b7e55fe,94,6,88,0.4053041934967041,0.8872745633125305
pydata__xarray-3527,c73ee3cf7c5fcb7185ecfbfc2e4aac196b84cee3,112,6,106,0.22224333882331848,0.9269016981124878
pydata__xarray-3677,ac0a923db78b73c4559d45e8946fbcff7e899c73,82,1,81,0.33250176906585693,0.9575658440589905
pydata__xarray-4098,299cb8ec4fa531f98a0a4d0be01402d247b38944,77,6,71,0.31188321113586426,0.9454939961433411
pydata__xarray-4339,5502ba72855d6c7270bf870c13d0c2755126cfbf,188,54,134,0.2626868784427643,0.6141764521598816
pydata__xarray-4356,41c8d258d7a5020c330fbbff080ae36465efac48,182,26,156,0.2541254460811615,0.7455746531486511
pydata__xarray-4423,53849a3eac89edc331f80fec812cb7edf420fd04,123,16,107,0.33523935079574585,0.7759739756584167
pydata__xarray-4684,59f8b89743a5618262c6c917ec5511448b30f7b8,17,19,-2,0.5355324745178223,0.758997917175293
pydata__xarray-4695,32b24ef1f39e164f3a8d0c26c80ec1625c1ef0e9,83,2,81,0.47996872663497925,0.9462460279464722
pydata__xarray-4750,de4c0efca0a1f8b352d8ef70ee95ad1e693b4d8f,130,13,117,0.20808546245098114,0.7699268460273743
pydata__xarray-4750,07eddb4996072a4d31bd2c116a82e416f4289d5a,41,30,11,0.31204384565353394,0.6030859351158142
pydata__xarray-4827,5cda5aa903ccc56580fd80c48e013570b714be09,92,20,72,0.2804451584815979,0.8506021499633789
pydata__xarray-4827,d29a9e1ff02425841ddc0d66863cc2c9b76320a7,147,32,115,0.23333796858787537,0.8142615556716919
pydata__xarray-4827,86ed1870302f30ad6b0df0fcd1412945aaa2f04b,214,44,170,0.16857191920280457,0.7376059889793396
pydata__xarray-4940,9faf74dd4bcd0754f452d930a9cc65ecd88e1409,62,1,61,0.5045160055160522,0.9575543403625488
pydata__xarray-5365,10f16e58081613a1454de0359467674def5dafab,254,41,213,0.14277182519435883,0.6140318512916565
pydata__xarray-5365,191b777107af67882827d9558a3f16555176588b,160,7,153,0.23576799035072327,0.8795549869537354
pydata__xarray-6599,823cbe025609f4dd4e3165185c30d338ef1cfd11,57,8,49,0.49355900287628174,0.8777375221252441
pydata__xarray-6601,8d450cceef9c4fe6d1939bcd480dd76d370756af,116,8,108,0.31872108578681946,0.885139524936676
pydata__xarray-6889,f7cc30b9eab795390d629db11663d70a479bf57a,70,26,44,0.41883590817451477,0.786048173904419
pydata__xarray-7101,42cc8130810bb70812c50b6d697a3cb1e811c229,173,10,163,0.3179859519004822,0.8971679210662842
pydata__xarray-7112,0733d0d52364316f06b4da8cba5f3cab98698564,165,2,163,0.3050742447376251,0.9578287601470947
pydata__xarray-7112,be5e06becdfe4c5aee514504fc8b744fe191f880,35,15,20,0.5045138597488403,0.8507013916969299
pydata__xarray-7112,ad5eeb6f97fbbc1007367315e2644ac7ed06756b,256,1,255,0.18033891916275024,0.9750886559486389
pydata__xarray-7112,794984b7a1b5535641ebef5ca0e1fc72dc2cbc88,57,3,54,0.4639057219028473,0.9519023299217224
pydata__xarray-7112,0320ea81052830f21a344e1b4d56654f562a667b,203,4,199,0.24556466937065125,0.9468455910682678
pydata__xarray-7229,3f7e8f742f625b6a59afd03abfba88cc1f3493cf,130,9,121,0.44039851427078247,0.9081834554672241
pydata__xarray-7393,ba937183d24185105fa2590a478e2b26df5540e8,34,13,21,0.4824018180370331,0.8354211449623108
