bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
ray-project__ray-10368,8f27a46771dd7ec1348753e46ef6c7f5c81fb502,254,2,252,0.45301535725593567,0.9111567139625549
ray-project__ray-10775,68d91a5c9263b47b47007d8779abe71df9fa4ef7,275,13,262,0.33619630336761475,0.7643786072731018
ray-project__ray-1088,36845216bbee67f2b4223684aa22c2b19f3b59f7,115,2,113,0.26174426078796387,0.9386072754859924
ray-project__ray-11021,dab64ed619d19ca38e73fc9424ff5afb0737f48a,222,63,159,0.36528047919273376,0.0021381929982453585
ray-project__ray-1261,3d84b03ba14efe8557df181ca3006b7cab673a20,241,2,239,0.2547942101955414,0.9479119181632996
ray-project__ray-1471,01e9db16fbc3dedcfb1b61c19ab02559f9159230,216,30,186,0.2576790452003479,0.6412816643714905
ray-project__ray-1774,a17f2534dd0b9e4ca149ab9935b6bca0a5b72aa4,93,11,82,0.2935680150985718,0.78917396068573
ray-project__ray-1774,003edba26c7df1b3b2f7d06603a2c85aff7b0260,142,16,126,0.2614728510379791,0.7411141991615295
ray-project__ray-1892,74f2960545776a4cf13498384718643a53b3e846,151,2,149,0.31078872084617615,0.8699265718460083
ray-project__ray-1984,4c08490b9b6aed464b0f6757555c4a13061e28c2,286,24,262,0.14168787002563477,0.7369675040245056
ray-project__ray-3020,0e123bd67eadcac4c43b3bf959600840b723459e,191,1,190,0.28220611810684204,0.9463378190994263
ray-project__ray-3541,2e42a560ee3f3c141ea0287e477e0f744fd86ed6,121,19,102,0.2740122079849243,0.8640603423118591
ray-project__ray-3541,e1c8742b9c44bbf2bdf7d40c63295174951a8b2e,117,29,88,0.2774621546268463,0.747827410697937
ray-project__ray-3541,ad3ebca77560739f2f533fb1d2e12a349f88a975,46,114,-68,0.40447676181793213,1.3203758798938005e-14
ray-project__ray-3541,b3d908f2b74af6af1b393b111f16ca86694d60d5,124,1,123,0.27093183994293213,0.9838541150093079
ray-project__ray-3541,aefe7b015eddb3b8e0c8d474ef57698743738f8b,74,23,51,0.3734825551509857,0.8063583374023438
ray-project__ray-3541,66daea19bc1949e32b703426a9acf53eb2555347,207,22,185,0.22396907210350037,0.8189421892166138
ray-project__ray-3578,ee0bd2524570579211fd78df712b57afaf08207f,261,16,245,0.28845828771591187,0.8804774284362793
ray-project__ray-3676,350b118e0bc41addfcbcabee2e3e8dd55e7495f3,149,14,135,0.32408544421195984,0.6849561929702759
ray-project__ray-3676,d57d827cdd037d4adaa67712463bfc4a78ad45f5,64,18,46,0.38990887999534607,0.65910404920578
ray-project__ray-3676,0838101567f92a6e051dffd5cfa9a89cd87d8d8e,205,2,203,0.2917410433292389,0.9116188287734985
ray-project__ray-3704,9fd6bc9f08c572c3de4caff8036302725c35b4b7,160,3,157,0.30722758173942566,0.9616765975952148
ray-project__ray-3704,ee41153dd7772093f4097c596a7ba34bbd120a84,171,16,155,0.3022944927215576,0.7818461656570435
ray-project__ray-4857,90f893f271fb5ebdf34afd311fc0489b67d50e9a,156,139,17,0.3714836835861206,2.14837327615347e-12
ray-project__ray-4857,2e97594281544abf5936f91062a1e852e82ca518,272,4,268,0.3224249482154846,0.969200849533081
ray-project__ray-4857,dce9a0b26074976800adde544c5685d6aa800abf,15,1,14,0.5334831476211548,0.9820791482925415
ray-project__ray-4857,5b811ff0ffb2a443485192b047e59d610e21adf0,57,108,-51,0.4482661485671997,1.7377916492478107e-06
ray-project__ray-4857,e80a6b6c9b30cfec31ff1ce86a5df3473bb73ee7,213,85,128,0.3555179834365845,0.03474751487374306
ray-project__ray-4915,3c63dea0a3bf0981b29a898020f8b9f2dc78bdff,21,40,-19,0.36823731660842896,0.65526282787323
ray-project__ray-4915,188a8baeca3691de85dd64724cff86921d337642,40,26,14,0.32897910475730896,0.7630394101142883
ray-project__ray-4915,1fc92614eb622f40420ea21ebab04992e1f8cd43,139,47,92,0.27178841829299927,0.6068873405456543
ray-project__ray-4915,284311a3646f3d82d861de3244751088f61b3bc6,110,37,73,0.28693056106567383,0.689152717590332
ray-project__ray-4915,7c8dda4831aef74816f2ccc4f2ea296c454eb017,24,33,-9,0.3618484437465668,0.7269777655601501
ray-project__ray-4915,fe2ef21f23a2311a9ee06133e8f83c6eadad51b6,126,52,74,0.27857184410095215,0.5867112278938293
ray-project__ray-527,65f03bbd65f835f00e4463dd8b6dcf1be9158923,57,1,56,0.3246237635612488,0.9377540946006775
ray-project__ray-5270,74980bdf0a003fe1f6bc4e2729559bc44434f862,128,43,85,0.32286813855171204,0.5555198788642883
ray-project__ray-6258,f79a016d44f42b6ce6a287804ba70cfd53628278,217,37,180,0.35376936197280884,0.6927317976951599
ray-project__ray-7114,4ae597d99c52336a83c9a5d9cbedd58bf96e1884,212,11,201,0.341675728559494,0.8451698422431946
