bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
Qiskit__qiskit-1080,1bb753eaab31f98d1561fa5bc6c7d855f847f106,155,3,152,0.26213300228118896,0.9068183302879333
Qiskit__qiskit-1089,3bcd1726afb74dc58fd70ce234d8a6e3335ff38e,258,26,232,0.25588423013687134,0.6164741516113281
Qiskit__qiskit-1115,aa58784cf246592ea908ba77bdfbb92d1813d0a5,43,21,22,0.33205166459083557,0.7130321860313416
Qiskit__qiskit-1115,10d59a2aa7f0d9dbf230a9bd590d647a230ee700,183,1,182,0.2332368940114975,0.8593984246253967
Qiskit__qiskit-1210,4fe0f1f303bd0076167b6f4635e446875fa7f696,33,45,-12,0.3530789017677307,0.43494123220443726
Qiskit__qiskit-1210,9983a40395984e0e34a7ad4d747c7e9234c7a58b,237,111,126,0.19668251276016235,0.19790910184383392
Qiskit__qiskit-1210,3f5d91130410bbeb50cd73a6707232831d9718c7,47,15,32,0.3397267460823059,0.6710395812988281
Qiskit__qiskit-1210,b9dd06bff1618a1e27d3617d97e4773da55c88f4,69,112,-43,0.3147605359554291,0.1977541446685791
Qiskit__qiskit-1210,16602d302fc9ca70e360c61e1a8aa7165500240c,285,118,167,0.16610267758369446,0.19223588705062866
Qiskit__qiskit-1210,bab02eae2bde8bf0ce627a8d807333bae0638c0e,20,113,-93,0.37690043449401855,0.1977541446685791
Qiskit__qiskit-1210,3ea3a8000eed46158025db95ee8b511540590a2c,193,102,91,0.23299115896224976,0.207857146859169
Qiskit__qiskit-1210,bb07bc2ff3a8e42b341599955a1941f30ba915e3,262,106,156,0.17992055416107178,0.20071429014205933
Qiskit__qiskit-1210,ea47c9f87aad7b258a87449947b0c52a3c8ee4a2,84,105,-21,0.2977091073989868,0.20165595412254333
Qiskit__qiskit-1210,5388b076b363772880a3c0605f84457baf7491af,135,119,16,0.26385945081710815,0.19208428263664246
Qiskit__qiskit-1210,fbe7a4296519f5816a5e50ec7bdc8f24d4a64639,175,29,146,0.2491200715303421,0.5588085651397705
Qiskit__qiskit-1210,73e36f19af5400da10064b1402351a22233fd402,152,99,53,0.2594156563282013,0.21190565824508667
Qiskit__qiskit-1210,34f2f84ee3621d9ee2f28f0d88db45da644be845,286,24,262,0.16545835137367249,0.5997195839881897
Qiskit__qiskit-1210,0d6f71ad8cd0cd1190d38560cc96fb7d47e9bcbd,273,17,256,0.17388367652893066,0.6352224349975586
Qiskit__qiskit-1210,dd94481b55e739f636f94d80848d5ac6160f81b0,255,143,112,0.18733178079128265,0.13963085412979126
Qiskit__qiskit-1210,3189df1488e5df5382ca33e7139552d2890c8850,143,95,48,0.2603239119052887,0.21717146039009094
Qiskit__qiskit-1210,6c02608065e69d3309fa56da3c6f1cad8380173a,268,57,211,0.17480383813381195,0.397236704826355
Qiskit__qiskit-1210,f0ad0ff17d4ee389bfe514e9a93b3cfff05753e0,270,110,160,0.17464983463287354,0.19790910184383392
Qiskit__qiskit-1210,47a8e40668d2113328f7ac0eb23a842ca37c1131,27,123,-96,0.35987716913223267,0.1838865578174591
Qiskit__qiskit-1210,3de9bacb21edb0bc12543ba44e7d1ec5c2076205,19,59,-40,0.38310855627059937,0.38006842136383057
Qiskit__qiskit-1210,8410cf922aa97258382b8406663ef845556d07ed,144,115,29,0.2597237825393677,0.19528697431087494
Qiskit__qiskit-1210,4873b3d51e9e71d3164de62cad00ca13036df92e,272,86,186,0.1740618646144867,0.26635727286338806
Qiskit__qiskit-1210,ebad2c88729538238b718ea8da18d4400d2ceb72,137,91,46,0.26321056485176086,0.23810699582099915
Qiskit__qiskit-1210,fd35f47760ecb9e67ace9aecc0095e229635066c,90,6,84,0.290699303150177,0.7489954233169556
Qiskit__qiskit-1210,09c7c3770ff70f1de7b1a2dbb8845adbd22995a3,108,141,-33,0.2825096845626831,0.13986563682556152
Qiskit__qiskit-1210,a340f4ecb517786a12d2c43200862b67e6ba64cb,111,117,-6,0.2789032459259033,0.19238758087158203
