bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
ray-project__ray-10368,8f27a46771dd7ec1348753e46ef6c7f5c81fb502,254,46,208,0.45301535725593567,0.03270816057920456
ray-project__ray-10775,68d91a5c9263b47b47007d8779abe71df9fa4ef7,275,155,120,0.33619630336761475,0.03711048513650894
ray-project__ray-1088,36845216bbee67f2b4223684aa22c2b19f3b59f7,115,125,-10,0.26174426078796387,0.039213959127664566
ray-project__ray-11021,dab64ed619d19ca38e73fc9424ff5afb0737f48a,222,31,191,0.36528047919273376,0.2422836273908615
ray-project__ray-1261,3d84b03ba14efe8557df181ca3006b7cab673a20,241,1,240,0.2547942101955414,0.029186248779296875
ray-project__ray-1471,01e9db16fbc3dedcfb1b61c19ab02559f9159230,216,100,116,0.2576790452003479,0.04084917902946472
ray-project__ray-1774,a17f2534dd0b9e4ca149ab9935b6bca0a5b72aa4,93,169,-76,0.2935680150985718,0.03059636801481247
ray-project__ray-1774,003edba26c7df1b3b2f7d06603a2c85aff7b0260,142,160,-18,0.2614728510379791,0.030699821189045906
ray-project__ray-1892,74f2960545776a4cf13498384718643a53b3e846,151,194,-43,0.31078872084617615,0.030147580429911613
ray-project__ray-1984,4c08490b9b6aed464b0f6757555c4a13061e28c2,286,160,126,0.14168787002563477,0.1235368624329567
ray-project__ray-3020,0e123bd67eadcac4c43b3bf959600840b723459e,191,54,137,0.28220611810684204,0.04802611842751503
ray-project__ray-3541,2e42a560ee3f3c141ea0287e477e0f744fd86ed6,121,172,-51,0.2740122079849243,0.16116753220558167
ray-project__ray-3541,e1c8742b9c44bbf2bdf7d40c63295174951a8b2e,117,116,1,0.2774621546268463,0.16697798669338226
ray-project__ray-3541,ad3ebca77560739f2f533fb1d2e12a349f88a975,46,104,-58,0.40447676181793213,0.16811130940914154
ray-project__ray-3541,b3d908f2b74af6af1b393b111f16ca86694d60d5,124,171,-47,0.27093183994293213,0.1611957550048828
