bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
mesonbuild__meson-1028,2861bb6c99de8e22704a256255b569fafdc9a7fa,99,1,98,0.303659051656723,0.9759464263916016
mesonbuild__meson-1039,1505807f19367ac40a1c6d067b9d5f38900b9690,13,5,8,0.48768311738967896,0.8864204287528992
mesonbuild__meson-10679,0521125eaec0d0359c36adedda7e03ae4080c45f,258,1,257,0.3343302607536316,0.9656413197517395
mesonbuild__meson-1068,7c4fb1d94a0bd17e2fd45aa1f42b0ed7e688139c,37,4,33,0.425201416015625,0.8864204287528992
mesonbuild__meson-10747,bbf31ad11cf8ce8ca9f2eac04dac118defb69ec3,141,18,123,0.373371422290802,0.7057850360870361
mesonbuild__meson-10803,ea8b849d1830a16302ec296cdeeb7b40da35f345,162,14,148,0.4594748616218567,0.7704647779464722
mesonbuild__meson-11181,0c4690b4782f8dc103e9ab5eaaba9837afc8f169,139,14,125,0.4414868950843811,0.9284088015556335
mesonbuild__meson-11631,5718004a182829df0d1c613edb6edf0cb0c6912d,132,18,114,0.41601336002349854,0.8278281688690186
mesonbuild__meson-11654,5743236b3898d9f873a33aa4e93fbaa13631b5e3,225,13,212,0.34160858392715454,0.9603611826896667
mesonbuild__meson-11654,cd4cfb1fae2f77c318c4be29f5e49f085cee78a1,60,4,56,0.42039382457733154,0.9744347929954529
mesonbuild__meson-1516,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,277,17,260,0.2740410566329956,0.12656910717487335
mesonbuild__meson-1516,b1efc134f0bf0bd62d15ab29475f28a4a8fa38bd,281,4,277,0.2737230062484741,0.7154240012168884
mesonbuild__meson-225,1aea4542db9fba979e7c5a18a85cb5f2e0438724,74,1,73,0.2759438753128052,0.9738444089889526
mesonbuild__meson-225,9e3a782494f2e10e72b9a94d90e1ab5fba6c790c,12,2,10,0.4481414556503296,0.9732407331466675
mesonbuild__meson-225,6906d31c960b3bb14602be73132cc1a4f74cc08c,79,11,68,0.2713659405708313,0.8624675869941711
mesonbuild__meson-2815,c16d7a84004137b19a3b6255bb1598b654f6022a,213,2,211,0.38978850841522217,0.7483522891998291
mesonbuild__meson-297,d66aa1f3288157cf53028c34c662baefebe28f60,2,10,-8,0.4708733856678009,0.8910549879074097
mesonbuild__meson-2995,2032e05ee805f53c1c96a0eeeccc3b0b6da753ba,105,3,102,0.2655748128890991,0.9588471055030823
