bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
wagtail__wagtail-118,24fd0a2f1d0d2223631265eae41a26718bd7468d,118,201,-83,0.36129581928253174,8.481103577651083e-05
wagtail__wagtail-1273,f938585c1fc93d48c7a0eb74c86c3aab5a389c4d,282,277,5,0.29578545689582825,5.594337835646002e-06
wagtail__wagtail-1475,36cc6294a4b54e6a8b0c7e4939ca0a66db492661,109,251,-142,0.3804914951324463,3.535625000949949e-05
wagtail__wagtail-1623,53dbe297a30fcc90491f1aae898549a3d9d8e814,108,275,-167,0.38916605710983276,5.955139386060182e-06
wagtail__wagtail-208,6e30381c1b30896e34b5ed761d202f95b850beff,121,249,-128,0.33156171441078186,1.4738980098627508e-05
wagtail__wagtail-208,c144b39b937e7046bb0f4a6875959d6bdc4f22fc,43,258,-215,0.36197078227996826,8.939696272136644e-06
wagtail__wagtail-208,04d8b0a9ebfefb65b0dea8afee6b193a564e7a40,146,273,-127,0.32445305585861206,5.255395535641583e-06
wagtail__wagtail-208,9d6b9590c2ee957f6e33d6fc6de91ec0557f3195,45,260,-215,0.36197078227996826,8.139691999531351e-06
wagtail__wagtail-208,027d61158102d46052094b8dc22348782f70f743,23,248,-225,0.4871237874031067,1.4738980098627508e-05
wagtail__wagtail-208,500c4920cdd66176f9c9daa64bfcf54414322b6d,248,274,-26,0.29931220412254333,4.495181201491505e-06
wagtail__wagtail-208,adc492adac433aa9bbf0afad8dba9630974b91de,66,263,-197,0.36197078227996826,7.411280421365518e-06
wagtail__wagtail-2880,d6bdc14aefbd5075ad61836538ba26e351187353,116,242,-126,0.37131398916244507,1.8925147742265835e-05
wagtail__wagtail-321,69e6b7f4f43bbeedbd9f1886d8381d670f9767a9,50,270,-220,0.3817359209060669,7.411280421365518e-06
wagtail__wagtail-356,6b273e4b6539ca1dfd5ddf6f6ee620146fa95d6a,249,263,-14,0.24634240567684174,4.356879799161106e-06
wagtail__wagtail-356,ee68f46554f5024c443da29ed842f0ed0c3c0c2e,147,198,-51,0.28654325008392334,7.031184213701636e-05
wagtail__wagtail-426,f3c871507ae1031a399184d02404a80968fffe07,218,247,-29,0.24058164656162262,2.8409745937096886e-05
wagtail__wagtail-426,f0336fec46a941eb474ee1980487f2411cb4b185,267,220,47,0.22150926291942596,7.031184213701636e-05
wagtail__wagtail-426,cf33bcbfbf826da61024c9fed5ff1503d5e0e369,246,262,-16,0.23048977553844452,1.7778553228708915e-05
wagtail__wagtail-6442,57381ec39206272784831bb77dddb9f11ba322f5,208,287,-79,0.4495598375797272,1.933358362293802e-06
wagtail__wagtail-7512,92c8d8e9574318ae475c3be7c66d357ed8ef6342,178,275,-97,0.339476615190506,4.356879799161106e-06
wagtail__wagtail-8006,039b36031b83c2a09405921f8c419fad74dbf52d,34,267,-233,0.4750801622867584,4.985958366887644e-05
wagtail__wagtail-9236,88cc36875a110c7c1e8a283b1a695d59998deea9,101,291,-190,0.4098171591758728,3.8449356907221954e-06
