bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
numpy__numpy-10031,2f68c4d50a971b76e0ae7022bcc709f6eb341bd0,81,33,48,0.4031621515750885,0.2782568037509918
numpy__numpy-10603,c5679ace8b43b97594873be8c1a5518fdbc2017d,132,45,87,0.3862058222293854,0.27396270632743835
numpy__numpy-10608,6fce1c0475a93fce90fa0e1ecb9352115ae95012,119,29,90,0.5440382957458496,0.34169232845306396
numpy__numpy-10629,65c3ed00dbd308146709b7e8a7086c613b8818f4,267,35,232,0.3838263154029846,0.2699025273323059
numpy__numpy-10732,73cb3b8bfe4d1d184bb8bb66656ca360e3bc2e45,133,31,102,0.3534843921661377,0.3796083331108093
numpy__numpy-10732,d7ab040a17237765ab6e45395e8bc8cc8bea5df1,29,20,9,0.4938656687736511,0.5446197390556335
numpy__numpy-10732,d342410b8a85856eb59aced352fbf4caa40f5932,152,15,137,0.32914888858795166,0.6588566303253174
numpy__numpy-10732,479d1849f98a04cfb91d44c1dd37936ec2c4d670,10,13,-3,0.5910923480987549,0.671901285648346
numpy__numpy-10732,cb59ee1e56d9c5d58f09c598c8006bcbdffd8f2d,286,9,277,0.25471925735473633,0.7256486415863037
numpy__numpy-10732,cd99a82d7b51a1ac1b8c9e3e8113c7a3397c048d,145,14,131,0.3420853614807129,0.6592954993247986
numpy__numpy-10732,d1d6c89b513952ce0630888bcc99cf9c19ffde9d,249,11,238,0.2667372226715088,0.7130321860313416
numpy__numpy-10732,82a53bd08dbe339443bd337e12006ad2a6cf7d9d,78,6,72,0.40024974942207336,0.775604784488678
numpy__numpy-11358,630767dc5347df4ba4b191ae2a7bfea8d7d8ab58,129,57,72,0.4137696325778961,0.14104463160037994
numpy__numpy-11427,b7d9c4406709e5069ca573ccd10384e2475b4a15,293,56,237,0.35431164503097534,0.20609396696090698
numpy__numpy-11449,186ed949d863972ce80caca0f92af09422384297,192,8,184,0.43016475439071655,0.5913693308830261
numpy__numpy-11450,1664e6ebb08da8ffd047cb8775f8275d9913f9e6,101,13,88,0.4107465147972107,0.5929023027420044
