bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
sympy__sympy-11232,e49ba26a70504d650c2457392a0d2280e5ad7fec,5,58,-53,0.40121889114379883,0.23109391331672668
sympy__sympy-11787,6782afc6e2f2a652c3263d3df49a20b4cbaf1d09,241,17,224,0.3386527895927429,0.24477973580360413
sympy__sympy-12472,c07c8e19d19bfd5f859e321b5c761d89ffdc721f,124,3,121,0.37850815057754517,0.4741813838481903
sympy__sympy-13279,abfded29f261b8282ec48269b1bc85a7837c8a89,165,6,159,0.33275434374809265,0.3294641673564911
sympy__sympy-13624,142c2d410ca7f50d902d03a0f0c99fcb3aba673d,285,18,267,0.2693904936313629,0.1504870355129242
sympy__sympy-13678,5fbb73c7862aa47e9b97112ed0f5e3708597c0d8,46,9,37,0.43208199739456177,0.4377273619174957
sympy__sympy-13678,84264a9c150426b3186fc9e3bfa787d04002eefa,125,1,124,0.39706695079803467,0.5859836339950562
sympy__sympy-14564,09e2b00735398de062246b01fdd2fb62952d6af1,204,6,198,0.3681679666042328,0.3280795216560364
sympy__sympy-14564,bb0e21dc79a0bf3b49ca4e93e38137f96dc2cc77,144,15,129,0.3858245015144348,0.22062215209007263
sympy__sympy-14564,8e526dcfcb69760131bc93c7982787805ff81583,157,1,156,0.38087373971939087,0.9512290358543396
sympy__sympy-14564,ecaed2a6b157c27987202c6581141d8f91156cb7,141,2,139,0.3872740864753723,0.5448467135429382
sympy__sympy-15446,483f0db110792dbbd43513a647698d1d106f61b9,282,44,238,0.31298017501831055,0.13391001522541046
sympy__sympy-16503,7a3de335228d9e3c2821f74dde3efe922f557e47,250,4,246,0.310852587223053,0.2776585519313812
sympy__sympy-16901,aef2aeb67ae46fc36d4621c9404247dc59ffa61c,42,95,-53,0.38946276903152466,0.11491026729345322
sympy__sympy-16901,fc1ff4b335bf7902a8c5d213b96be3514bbdf25d,235,18,217,0.3482147455215454,0.25946852564811707
sympy__sympy-16963,1c187d79fd50ccfc3cdb25ca7c6022c48e3cb183,220,35,185,0.5673049688339233,0.11870322376489639
sympy__sympy-16963,ef053d6ceeb1bc214665a28355a5e443e44269e3,201,21,180,0.5731459259986877,0.15869127213954926
sympy__sympy-16963,8ab279f2b4cb3c9082ea5dc327d820deb92f193e,75,36,39,0.6150937080383301,0.11692032217979431
sympy__sympy-17655,7c978c47be75b3ab06cab19820ea6de5b2e0f02b,135,6,129,0.43472403287887573,0.3198232650756836
sympy__sympy-18030,337dafba73525f4667f03150eea11005b7370a16,162,113,49,0.3844725489616394,0.060053106397390366
sympy__sympy-18198,d0dd72e6011739999ad6bbed189ff9593fda1948,155,5,150,0.3848522901535034,0.4421382546424866
sympy__sympy-18198,708bb19d8543246db96ce8b152f659a125ffba29,68,35,33,0.4248676598072052,0.1945960372686386
sympy__sympy-18198,4e7596919e092498e015903f13c65362f70758e5,187,8,179,0.37765997648239136,0.3120076060295105
sympy__sympy-18198,7c56f9a47abc7449a581df4c91589a4a32161c76,31,52,-21,0.4620110094547272,0.160699263215065
sympy__sympy-18198,0cd4296783e6b283c53eac6722a84d20eb1e13df,100,147,-47,0.408172607421875,0.07304506003856659
sympy__sympy-18198,11cd5c8cc6792a95f5326812135e5984a78fd4d6,252,69,183,0.3587533235549927,0.13404244184494019
sympy__sympy-18198,380a72ea80bc3a05e7891698aff5ca984d97cc59,47,210,-163,0.44458723068237305,0.04979949817061424
sympy__sympy-18198,219b8bfdca3b7d7f09dc53486d1eb9a0e3397156,143,4,139,0.38859128952026367,0.4421502649784088
sympy__sympy-18273,9653dd905b0ee374e2a08d3262e8a818564097c1,46,16,30,0.4461744427680969,0.28685319423675537
sympy__sympy-22383,198dd4b994de11007c92f5a099b1b82b61b1c939,89,71,18,0.5109575390815735,0.09814193844795227
sympy__sympy-22383,c6b04b7af5e593808625c20874937a44bcf43e61,97,115,-18,0.5054172277450562,0.07088187336921692
sympy__sympy-22383,5bff5a6a2ca5de0b1d80ace77c4b788f7b61e687,227,159,68,0.4163702130317688,0.0561947263777256
sympy__sympy-23021,b019332e75a91af6f8a6230bc9c892fc49acdce7,181,36,145,0.439327597618103,0.23102876543998718
sympy__sympy-24638,944e5094503a58215c3cbcd668c33e71a4f5afe9,105,91,14,0.3667294979095459,0.15990999341011047
