bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
7535,9022ab8c6b7ea285cabda842cf7deb370c713e00,85,3,82,0.25227639079093933,0.9255973100662231
7535,6578176a3b296b44c99888a08b0f1fd805988d6d,92,36,56,0.2416941225528717,0.34913817048072815
7535,2c1c26f992b22da277f5a0c9995780c1f78b1905,84,9,75,0.2524765431880951,0.7973675727844238
7549,0a167acb5df565c4ae3765bf6554732c12b8e84e,268,79,189,0.1709444522857666,0.2630438208580017
7551,039abca311501c41005b1657ffcdba4307c04681,283,35,248,0.38658326864242554,0.4371240735054016
7553,e5c75372263a66c3114d5f3ba08375cfd34cab4f,48,13,35,0.5395946502685547,0.7521414756774902
7555,dc5c723b2ac94ace30182d1e8f8d42c5d14bd8a2,195,17,178,0.4026547372341156,0.7786744236946106
7555,699bae1dfe8cb75c4372b79d2e713e007c62cda7,138,2,136,0.4193873107433319,0.9130977392196655
7555,d92379eaac44fd814a9e0b550e84a420af68d9b3,238,59,179,0.3884621858596802,0.4321105480194092
7555,10625b037c25e6638610ca61a8e1f24ea89ad5c1,7,39,-32,0.5581133365631104,0.5556979775428772
7559,e558c0b6b2915b00d77a649a37d874c5cf0df960,281,62,219,0.4020988941192627,0.3710477650165558
7588,678562b712c28c960ecebf518f11f1bc7c4a6cfb,277,11,266,0.28927093744277954,0.7680861353874207
7589,c3f40cf29b1d99cf85a8d21e7f6d975f2fe09f34,199,100,99,0.37375548481941223,0.2475447654724121
7601,bfacfe16bd431d76353c343d2014e715ccc94557,55,7,48,0.44515442848205566,0.8347683548927307
7611,309d2e54a8706867e1f6b4f7ef1ddcef9393472f,223,2,221,0.41778457164764404,0.8860167264938354
7616,ec45d646d6d3113cbab7087368731c892b60a2e6,63,40,23,0.4539339542388916,0.6164321303367615
7616,5cc73fb49fffcc426d9c727aabec3aa4e5d90e99,54,11,43,0.4589407742023468,0.8058264851570129
7617,e73d147ad499fc1649fa31f46bb779479a53229b,160,3,157,0.4194399118423462,0.8802117109298706
