bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
open-mmlab__mmdetection-1099,fc6702cf03af8412e006e311060869d6e1cf99d3,189,85,104,0.1988202929496765,0.5666679739952087
open-mmlab__mmdetection-2032,d5a8a1449e3be581c34275dd013b431108def507,77,158,-81,0.25131142139434814,0.6073731184005737
open-mmlab__mmdetection-2296,06820be2459c9766113796cbe34e76db7ae9c108,111,15,96,0.3091610074043274,0.8096200823783875
open-mmlab__mmdetection-3627,51ac8577f0037791db1a772b450751a006e61a9f,73,77,-4,0.4456965923309326,0.6705820560455322
open-mmlab__mmdetection-4056,3be652dca8ab96b5910892e3656b415100fd5be8,140,40,100,0.31870532035827637,0.7366815805435181
open-mmlab__mmdetection-4258,b47074121d48a4e06e389a3a13d1e6eb970ff529,60,21,39,0.34867894649505615,0.7717233896255493
open-mmlab__mmdetection-5221,f58c451305efa82d82e17c5439f116bdc31af07c,238,276,-38,0.41045260429382324,0.29781731963157654
open-mmlab__mmdetection-6632,c414051bb735e943977106381691ecd2df28ab8a,6,232,-226,0.4984889626502991,0.3318624198436737
open-mmlab__mmdetection-6632,d029b5cdd6b3dad09b16a6f2a23e66be684a6412,294,133,161,0.3060941696166992,0.4854946434497833
open-mmlab__mmdetection-6632,292bae70300debfa2bffdc0d81b3b072c95848ca,17,278,-261,0.4444805383682251,0.2457575649023056
open-mmlab__mmdetection-6632,8730527a01763d1fd5e44d2fae145f56e356f323,164,64,100,0.3242666721343994,0.6268349885940552
open-mmlab__mmdetection-6632,dd5f9f33c8f9c63b18d594a108e9dc0cc66c95fc,63,15,48,0.3677308261394501,0.7614838480949402
open-mmlab__mmdetection-6632,faec1b485a30f148b4c5805df0c34ba362cdfb66,282,105,177,0.3070845305919647,0.5334452986717224
open-mmlab__mmdetection-6632,609604d7a4eead2903fe9811082e969ee37e0d09,31,14,17,0.39952898025512695,0.7720767855644226
open-mmlab__mmdetection-6632,87359f6fb66d94de10b8e3797ee3eec93a19cb26,9,130,-121,0.4792923629283905,0.4897661805152893
open-mmlab__mmdetection-7891,15db07e41c7306ac6a02c6e697f527a8696d813c,129,68,61,0.3329879939556122,0.6365330219268799
open-mmlab__mmdetection-9319,244605fc1b642436de43f96457c5a11656f0d345,272,109,163,0.4227753281593323,0.4752679169178009
