bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
numpy__numpy-10031,2f68c4d50a971b76e0ae7022bcc709f6eb341bd0,81,107,-26,0.4031621515750885,0.741811990737915
numpy__numpy-10603,c5679ace8b43b97594873be8c1a5518fdbc2017d,132,268,-136,0.3862058222293854,0.1851450651884079
numpy__numpy-10608,6fce1c0475a93fce90fa0e1ecb9352115ae95012,119,281,-162,0.5440382957458496,0.3082990348339081
numpy__numpy-10629,65c3ed00dbd308146709b7e8a7086c613b8818f4,267,274,-7,0.3838263154029846,0.14711929857730865
numpy__numpy-10732,cd99a82d7b51a1ac1b8c9e3e8113c7a3397c048d,145,96,49,0.3420853614807129,0.45572659373283386
numpy__numpy-10732,d7ab040a17237765ab6e45395e8bc8cc8bea5df1,29,89,-60,0.4938656687736511,0.46105965971946716
numpy__numpy-10732,82a53bd08dbe339443bd337e12006ad2a6cf7d9d,78,54,24,0.40024974942207336,0.5151522755622864
numpy__numpy-10732,d342410b8a85856eb59aced352fbf4caa40f5932,152,55,97,0.32914888858795166,0.5128976106643677
numpy__numpy-10732,d1d6c89b513952ce0630888bcc99cf9c19ffde9d,249,88,161,0.2667372226715088,0.46174442768096924
numpy__numpy-10732,73cb3b8bfe4d1d184bb8bb66656ca360e3bc2e45,133,115,18,0.3534843921661377,0.4108007550239563
numpy__numpy-10732,479d1849f98a04cfb91d44c1dd37936ec2c4d670,10,208,-198,0.5910923480987549,0.2267395704984665
numpy__numpy-10732,cb59ee1e56d9c5d58f09c598c8006bcbdffd8f2d,286,91,195,0.25471925735473633,0.45935654640197754
numpy__numpy-11358,630767dc5347df4ba4b191ae2a7bfea8d7d8ab58,129,264,-135,0.4137696325778961,0.2666458785533905
numpy__numpy-11427,b7d9c4406709e5069ca573ccd10384e2475b4a15,293,291,2,0.35431164503097534,0.10355190932750702
numpy__numpy-11449,186ed949d863972ce80caca0f92af09422384297,192,264,-72,0.43016475439071655,0.21730966866016388
numpy__numpy-11450,1664e6ebb08da8ffd047cb8775f8275d9913f9e6,101,271,-170,0.4107465147972107,0.19349318742752075
numpy__numpy-11717,163f125c28a51dac5205769e0344300339ad372a,214,255,-41,0.333351194858551,0.23062673211097717
numpy__numpy-11774,5880ea1544d4b0931e9544dbaf309dd80344f528,160,280,-120,0.32414567470550537,0.0780656561255455
numpy__numpy-11805,d84455a8f269d45fc5df179d12d83801a5ad208f,115,280,-165,0.3445197343826294,0.09643471240997314
numpy__numpy-11813,d31d8a9398b518012e3517bc4240844732b16cf2,9,291,-282,0.553960919380188,0.10866115242242813
numpy__numpy-12358,1ef3dca47ec5aea6b41a0a676e52d4686684f43d,241,258,-17,0.485374391078949,0.2344047725200653
numpy__numpy-12408,9ee44e9ff61bcebf59327bbe25c74d10a8370d62,255,274,-19,0.2956361770629883,0.24454036355018616
numpy__numpy-12807,8750ed0b3d19e9052733af6e6ba01ad1f4455885,201,217,-16,0.4461132884025574,0.5382277965545654
numpy__numpy-13242,6dd6982dfe6a93d2319ea3f5a342e432d26a528a,247,258,-11,0.3099439740180969,0.16169412434101105
numpy__numpy-15124,f09f2a465d0eceb85066c6cce81f619bdc6b074b,118,292,-174,0.45216405391693115,0.21527230739593506
numpy__numpy-15928,7eeed7825bddd659b4bfc593c17bd733964fd079,184,292,-108,0.3382463753223419,0.19366995990276337
numpy__numpy-15938,40d632ec55ef8bd20ad9c751e17902022e05a58c,273,45,228,0.47311651706695557,0.6390846967697144
numpy__numpy-15949,fa888107f8269c0c64288f1c191e198d8dc0f96a,173,279,-106,0.33120524883270264,0.2801169157028198
numpy__numpy-16300,613bcb550dfd1bc3386862c8f014cc8bc818b0a3,107,264,-157,0.5749918222427368,0.18572427332401276
numpy__numpy-16300,4e320576bdb34e507caf98665a9365e962e0818e,250,272,-22,0.5244961380958557,0.15387696027755737
numpy__numpy-16627,d0ed3d38111171f8fea9a5512a04733b71f80b8f,221,298,-77,0.3851633667945862,0.048029158264398575
numpy__numpy-17636,dcf60ada9297180308729db7ccc23c416f86f0f9,180,224,-44,0.4200010895729065,0.43412649631500244
numpy__numpy-18911,aea9835c78e2653460204fe33503d3011a746d1e,65,273,-208,0.49411141872406006,0.19625326991081238
numpy__numpy-19098,ae1e6a180625e737506baedf049994146237443d,229,290,-61,0.3824540376663208,0.12705585360527039
numpy__numpy-19775,fd229dbef8f92d18d7627ce53a69f3fb97335e83,284,272,12,0.37625908851623535,0.24469093978405
