bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
numpy__numpy-10031,2f68c4d50a971b76e0ae7022bcc709f6eb341bd0,81,95,-14,0.4031621515750885,0.02834646962583065
numpy__numpy-10603,c5679ace8b43b97594873be8c1a5518fdbc2017d,132,32,100,0.3862058222293854,0.4327762722969055
numpy__numpy-10608,6fce1c0475a93fce90fa0e1ecb9352115ae95012,119,19,100,0.5440382957458496,0.5516149401664734
numpy__numpy-10629,65c3ed00dbd308146709b7e8a7086c613b8818f4,267,32,235,0.3838263154029846,0.49696430563926697
numpy__numpy-10732,cd99a82d7b51a1ac1b8c9e3e8113c7a3397c048d,145,17,128,0.3420853614807129,0.7878316640853882
numpy__numpy-10732,d7ab040a17237765ab6e45395e8bc8cc8bea5df1,29,18,11,0.4938656687736511,0.7746421098709106
numpy__numpy-10732,82a53bd08dbe339443bd337e12006ad2a6cf7d9d,78,7,71,0.40024974942207336,0.8829302191734314
numpy__numpy-10732,d342410b8a85856eb59aced352fbf4caa40f5932,152,15,137,0.32914888858795166,0.8147022724151611
numpy__numpy-10732,d1d6c89b513952ce0630888bcc99cf9c19ffde9d,249,11,238,0.2667372226715088,0.8526116609573364
numpy__numpy-10732,73cb3b8bfe4d1d184bb8bb66656ca360e3bc2e45,133,48,85,0.3534843921661377,0.298892080783844
numpy__numpy-10732,479d1849f98a04cfb91d44c1dd37936ec2c4d670,10,39,-29,0.5910923480987549,0.37011274695396423
numpy__numpy-10732,cb59ee1e56d9c5d58f09c598c8006bcbdffd8f2d,286,13,273,0.25471925735473633,0.849568784236908
numpy__numpy-11358,630767dc5347df4ba4b191ae2a7bfea8d7d8ab58,129,25,104,0.4137696325778961,0.39978548884391785
numpy__numpy-11427,b7d9c4406709e5069ca573ccd10384e2475b4a15,293,34,259,0.35431164503097534,0.33290573954582214
numpy__numpy-11449,186ed949d863972ce80caca0f92af09422384297,192,5,187,0.43016475439071655,0.8698891401290894
