bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
PrefectHQ__prefect-101,40af06a3ab551c74ffbab466cf5c6f037af3d782,51,4,47,0.17317035794258118,0.8119744062423706
PrefectHQ__prefect-1037,c7d058e3dbf19b6eb3898cb0d04715de059d2cc2,186,30,156,0.32953721284866333,0.3907082974910736
PrefectHQ__prefect-1118,09db18f401d6fdd29d6c5a5cc56e438f6da23d45,292,4,288,0.2746102809906006,0.8171371221542358
PrefectHQ__prefect-1319,b338c5dd3d575d81b9e1bfb06477af2dca3d26d1,113,17,96,0.3620644807815552,0.6708239316940308
PrefectHQ__prefect-1319,f036ea548624f7e6f522e0a2d6697b97308955d3,37,15,22,0.41820546984672546,0.7112303972244263
PrefectHQ__prefect-1319,0425c6296179aa1dd4a027900acd27adaef74fa2,53,31,22,0.40121766924858093,0.38676345348358154
PrefectHQ__prefect-134,45a64b879d0a4d6936128f56ee9f4b2693b231c2,22,22,0,0.24865050613880157,0.6113819479942322
PrefectHQ__prefect-1368,486ca9d29ec082970c46b083ade475548f164c5e,70,46,24,0.3587632179260254,0.2393493503332138
PrefectHQ__prefect-1375,536af5cc776265eb0c9a1221d94986c57856809d,164,1,163,0.342262864112854,0.9737446904182434
PrefectHQ__prefect-1420,19ce7ad51d7e98058db68f5a827627c17e078a02,238,50,188,0.3189697861671448,0.0120537793263793
PrefectHQ__prefect-1431,8a0d0de576d815ae9a0b0361e5816296ba3a280a,129,43,86,0.2966655492782593,0.4390256702899933
PrefectHQ__prefect-1525,dc18e97fcfedda802d07970715b01027b9cc9992,232,4,228,0.30281612277030945,0.896975576877594
PrefectHQ__prefect-158,07450a943cdaf82a572fbf08df51182ff374d4f1,106,5,101,0.20507794618606567,0.9129031896591187
PrefectHQ__prefect-158,682fb497b5386ea42d1e00acde4b9a2949489b16,102,6,96,0.21556700766086578,0.8964328765869141
PrefectHQ__prefect-158,62c6d4c28e7ba25ebcab26d73f0b3e99fa0a1120,9,1,8,0.4979844093322754,0.9503188729286194
PrefectHQ__prefect-158,8cbc80eb56cfaf9beb898088ef1edc1075015f78,90,3,87,0.2615870535373688,0.9249592423439026
