bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
8309,8b9f31bfdfd2a3c994e86507ca524d8acfb1557a,99,23,76,0.42913392186164856,0.4421547055244446
8315,4d5141e9d5a120ed33f8c42c68a5cb4cb4f5168c,30,18,12,0.33881834149360657,0.43062615394592285
8315,033737409f3c659cd130a2155f8e2dc65994fc2f,71,12,59,0.2548247277736664,0.43206340074539185
8322,c25b1d3e02210701c8f33fdf0f49f7492427281e,13,3,10,0.3558584451675415,0.46976351737976074
8322,1cacff12e3d6fae05a31476324bb0abe71d830c9,53,5,48,0.13828861713409424,0.4687906503677368
8328,8bf5465e48a44107935a5ce8ba8a2b4573ec34b3,29,3,26,0.2600991725921631,0.43062615394592285
8328,8a9cf165eba319fd18b453cf92a82865fcb784ce,36,5,31,0.21574532985687256,0.4287117123603821
pydata__xarray-3159,a8bb5532f1fcb791c770fc4b404f1bdb828882cd,177,20,157,0.16253259778022766,0.4258440136909485
pydata__xarray-3159,e3e543b662149ff300089dcdb1a718d791768a5b,84,19,65,0.24367639422416687,0.4263215959072113
pydata__xarray-3406,62c055fed51d7f9226ad292f6e82a9f27b7e55fe,94,7,87,0.4053041934967041,0.4359015226364136
pydata__xarray-3527,c73ee3cf7c5fcb7185ecfbfc2e4aac196b84cee3,112,7,105,0.22224333882331848,0.4493926465511322
pydata__xarray-3677,ac0a923db78b73c4559d45e8946fbcff7e899c73,82,12,70,0.33250176906585693,0.4277552664279938
pydata__xarray-4098,299cb8ec4fa531f98a0a4d0be01402d247b38944,77,7,70,0.31188321113586426,0.4431183934211731
pydata__xarray-4339,5502ba72855d6c7270bf870c13d0c2755126cfbf,188,12,176,0.2626868784427643,0.46295860409736633
pydata__xarray-4356,41c8d258d7a5020c330fbbff080ae36465efac48,182,8,174,0.2541254460811615,0.44263648986816406
pydata__xarray-4423,53849a3eac89edc331f80fec812cb7edf420fd04,123,24,99,0.33523935079574585,0.40450742840766907
pydata__xarray-4684,59f8b89743a5618262c6c917ec5511448b30f7b8,17,43,-26,0.5355324745178223,0.4196479618549347
pydata__xarray-4695,32b24ef1f39e164f3a8d0c26c80ec1625c1ef0e9,83,25,58,0.47996872663497925,0.4258440136909485
pydata__xarray-4750,07eddb4996072a4d31bd2c116a82e416f4289d5a,41,95,-54,0.31204384565353394,0.398406445980072
pydata__xarray-4750,de4c0efca0a1f8b352d8ef70ee95ad1e693b4d8f,130,33,97,0.20808546245098114,0.4073334336280823
pydata__xarray-4827,d29a9e1ff02425841ddc0d66863cc2c9b76320a7,147,49,98,0.23333796858787537,0.4421547055244446
pydata__xarray-4827,86ed1870302f30ad6b0df0fcd1412945aaa2f04b,214,17,197,0.16857191920280457,0.4469774663448334
pydata__xarray-4827,5cda5aa903ccc56580fd80c48e013570b714be09,92,4,88,0.2804451584815979,0.4605315029621124
pydata__xarray-4940,9faf74dd4bcd0754f452d930a9cc65ecd88e1409,62,16,46,0.5045160055160522,0.4059196412563324
pydata__xarray-5365,10f16e58081613a1454de0359467674def5dafab,254,191,63,0.14277182519435883,0.418221652507782
pydata__xarray-5365,191b777107af67882827d9558a3f16555176588b,160,5,155,0.23576799035072327,0.4576214551925659
pydata__xarray-6599,823cbe025609f4dd4e3165185c30d338ef1cfd11,57,6,51,0.49355900287628174,0.4263215959072113
pydata__xarray-6601,8d450cceef9c4fe6d1939bcd480dd76d370756af,116,6,110,0.31872108578681946,0.45374593138694763
pydata__xarray-6889,f7cc30b9eab795390d629db11663d70a479bf57a,70,4,66,0.41883590817451477,0.3255205750465393
pydata__xarray-7101,42cc8130810bb70812c50b6d697a3cb1e811c229,173,54,119,0.3179859519004822,0.2845759987831116
pydata__xarray-7112,be5e06becdfe4c5aee514504fc8b744fe191f880,35,34,1,0.5045138597488403,0.38214144110679626
pydata__xarray-7112,ad5eeb6f97fbbc1007367315e2644ac7ed06756b,256,6,250,0.18033891916275024,0.4082767367362976
pydata__xarray-7112,0733d0d52364316f06b4da8cba5f3cab98698564,165,2,163,0.3050742447376251,0.4163219928741455
pydata__xarray-7112,794984b7a1b5535641ebef5ca0e1fc72dc2cbc88,57,19,38,0.4639057219028473,0.3858374059200287
pydata__xarray-7112,0320ea81052830f21a344e1b4d56654f562a667b,203,56,147,0.24556466937065125,0.3789186179637909
pydata__xarray-7229,3f7e8f742f625b6a59afd03abfba88cc1f3493cf,130,10,120,0.44039851427078247,0.3199707269668579
pydata__xarray-7393,ba937183d24185105fa2590a478e2b26df5540e8,34,17,17,0.4824018180370331,0.2921912372112274
