bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
Lightning-AI__lightning-1016,891ae9764fec8fb4fcd1457f382d32ef05a18220,142,8,134,0.2374531626701355,0.8512771129608154
Lightning-AI__lightning-1016,8d7c3d41c34448aa7a86b5c26aa1d5b4a5ca2d67,3,22,-19,0.5151228904724121,0.5138832926750183
Lightning-AI__lightning-1016,b3509fb68ccd049e52607b9c14d9ee5bab6804ca,164,13,151,0.20999281108379364,0.7493699193000793
Lightning-AI__lightning-1018,6c3a3e06b7246f5715d102fda2052f21c751395f,159,16,143,0.17819127440452576,0.5556840896606445
Lightning-AI__lightning-1100,f8470b0ec7e90e00ceb5c0021ea0a2a2646a025d,142,25,117,0.19946302473545074,0.5419657230377197
Lightning-AI__lightning-1100,8c5a906fc35733b0b0b2830a728cbd2fc82ec6c6,167,4,163,0.16900986433029175,0.9436861276626587
Lightning-AI__lightning-1152,662ecdf4af4959e689bfa85ebbe248e63800fa08,110,4,106,0.2569256126880646,0.9317033886909485
Lightning-AI__lightning-1152,a7e8118869ce5fcaf400bb4646c2141bf6574d7a,111,8,103,0.2553563714027405,0.8953866362571716
Lightning-AI__lightning-1152,8c3daa29cb96e5f149ff86f2f18b62a17146dbff,24,22,2,0.4042677879333496,0.6422900557518005
Lightning-AI__lightning-1152,a56c6c126798e56debf542884c03598ef4f96dfa,38,38,0,0.3612912595272064,0.29293137788772583
Lightning-AI__lightning-1152,ed878a0616e628fca8ec4515b32dd69edc7aeb7a,145,7,138,0.20811977982521057,0.9152156114578247
Lightning-AI__lightning-1152,372d215c34df2e8cc513a4e0e7285fe424fb89d9,73,31,42,0.3072293996810913,0.40377673506736755
Lightning-AI__lightning-1196,bfbca4c25db2969691d9779b8378d0b54103c872,152,10,142,0.2433956116437912,0.748346745967865
Lightning-AI__lightning-1196,9994af6c2d108fc08602d765a64e61ce7a12937a,80,3,77,0.32305803894996643,0.8586552143096924
Lightning-AI__lightning-1196,cc44882ea5a5845710bf97501ada61ede20b81d3,191,8,183,0.17972639203071594,0.7561163306236267
Lightning-AI__lightning-1235,d0a8ee1eb1523880daf17d1a038a2973ec4ec6a7,176,3,173,0.257712185382843,0.8767256140708923
Lightning-AI__lightning-1269,95b9a6197454e2f5fd85ee2dada1f49fc0d91a8f,178,2,176,0.1960313320159912,0.9643075466156006
Lightning-AI__lightning-1269,fc6007b75d7cd09cfdf4b206eb57d0db23798b81,149,15,134,0.22651368379592896,0.82912278175354
Lightning-AI__lightning-1269,69b0376ff108c284265cdb21018a58b8200f3820,170,4,166,0.20990686118602753,0.9553295373916626
Lightning-AI__lightning-1269,8cec41da2b6fdef281bef1283f28e5243e906b3f,102,16,86,0.2838376760482788,0.8262739181518555
Lightning-AI__lightning-1269,02abae9b47ada5810dab900e2f69f7769322e5c7,146,3,143,0.23321761190891266,0.9621217846870422
Lightning-AI__lightning-128,1b35bfc5d48febed6fea43e9d232a3f690c8c347,88,13,75,0.2624545693397522,0.7726748585700989
Lightning-AI__lightning-1357,f23ab045237660ea791aa996c018cec6acccd850,137,17,120,0.28413644433021545,0.7053369879722595
Lightning-AI__lightning-1357,e3a8bb16a7b145b65fa671d32158cdc4e27e5cb1,191,3,188,0.1954174041748047,0.9203606843948364
Lightning-AI__lightning-1378,fe1adf75c3fdc4abb346526ba41a010f8390f89c,82,6,76,0.3395315110683441,0.910926878452301
Lightning-AI__lightning-1396,c7fd4d6631ead90bf26501bfa925f9a74d9f7a90,30,20,10,0.45469191670417786,0.4408198893070221
Lightning-AI__lightning-1408,abb2a32f03e9bb9d27533a257522ad4fd17f1aff,83,92,-9,0.38071945309638977,0.021792888641357422
Lightning-AI__lightning-1408,c1fa6fce210d3a80290a26bb743658aa04b17711,116,50,66,0.3440548777580261,0.14297813177108765
Lightning-AI__lightning-1408,298a7bb0c420dd8ca4a117678317f5a01a08be46,144,3,141,0.2993192672729492,0.8912211060523987
Lightning-AI__lightning-1408,3ba662fb5c844f65bece822dfdba6df1e4c67bbf,194,30,164,0.24902558326721191,0.27791115641593933
Lightning-AI__lightning-1408,edb3ffec3ce264d64e48991012f9fff765cc2e42,77,145,-68,0.3853645920753479,0.0003254349285271019
Lightning-AI__lightning-1408,58e26f09a41f64aba852d07e8eae978b76bbe64d,28,4,24,0.4524189829826355,0.8867964744567871
Lightning-AI__lightning-1408,e4a417577743c381fd1a29c2765cb6d510e4396a,157,32,125,0.2821696996688843,0.26580560207366943
Lightning-AI__lightning-1408,469ae3ca15140845cc75992441a0860dfab137c1,220,75,145,0.2136998027563095,0.05054015666246414
Lightning-AI__lightning-1408,3e8443056c722687a876fab4f1cbcc6b9684e5a2,46,11,35,0.4311339855194092,0.8041208982467651
Lightning-AI__lightning-1408,6f672c6a75d73db3aa9e1e894474d0f756447fe7,81,7,74,0.38122081756591797,0.865615963935852
Lightning-AI__lightning-1408,06905be9e3f1a2af7d146f56822ef5bf2abf8bc2,44,15,29,0.43154093623161316,0.7110298871994019
Lightning-AI__lightning-1408,ab43bdd39b25dbbaed918c8997bc7d7db626474c,47,65,-18,0.42915278673171997,0.08652118593454361
Lightning-AI__lightning-1408,27f07025f0d7994634b42eecb8b20100d08bb8ea,98,8,90,0.36538246273994446,0.8320175409317017
Lightning-AI__lightning-1408,8cd5dd22a7d8494e8dd98c04a2fdd99e8bd37d6c,173,10,163,0.2605305314064026,0.8187928199768066
Lightning-AI__lightning-1459,ee9d65a73cbf1850b10f3bf5a1f3fac56fff7b6c,78,9,69,0.4116792678833008,0.8107867240905762
Lightning-AI__lightning-1459,dcaddadfaca2bfa215e4c271f05c57bf1f1b74ac,49,8,41,0.4496093988418579,0.835035502910614
Lightning-AI__lightning-1459,7ae3ec85ed5508bbb90044890b61939e85bb179c,38,6,32,0.46161508560180664,0.8766754269599915
Lightning-AI__lightning-1459,46b4fc48e6508b92b5f7a13f06fcc65f6f7f3e48,149,4,145,0.2777257263660431,0.8898853063583374
