bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
1538,308aeb2c199c00d8323319b1a406de8ba83b3bb5,32,14,18,0.2562374472618103,0.12728996574878693
1538,9d3f1711e533c56fa1863fcb0be33066a93617e3,81,4,77,0.19192972779273987,0.9934793710708618
1538,2884c65b1c4db4acd424a98242af34a42ce9f8aa,99,13,86,0.17493392527103424,0.37973079085350037
1540,0aad33062e39a3f5fbaa4506d671787f45a9734f,14,64,-50,0.3304487466812134,0.0035251984372735023
1540,4e7b9d3fdc6a9e3b731c9ae9c3380fdeda4f0347,83,12,71,0.21871350705623627,0.2416647970676422
1543,2a060f6a7fea83dc292520bdc0cfd47283b40108,20,9,11,0.3113599419593811,0.5878328680992126
1543,8dfcac41f8a0a4a0d16a4705dd9ef57e457ddd0e,57,23,34,0.23832418024539948,0.04364488646388054
1543,ef0e7f41887665b89b28156277b146a232b75c01,44,5,39,0.2676162123680115,0.95671147108078
1543,9e8375ac8c1c0ed18765716ca574e63979f287d7,48,7,41,0.257540225982666,0.7259377241134644
1544,1e5fdb14b97650bde1dae6b167a89eadb9e84fbc,27,5,22,0.29954516887664795,0.9309033155441284
1544,ff6d2fc6cbae24c9a8361432d9b3a3cd79aeb032,21,11,10,0.3065427541732788,0.43620917201042175
1544,7ecd53ffd01c37f7455f8a184388c2a197e8450f,71,6,65,0.2060529738664627,0.927607536315918
1544,673bb9fe62d4723323ccc32252148d76494321af,12,44,-32,0.33719602227211,0.003968242090195417
1544,9425e048bc860bbf24b243efd83585a49baeb0e5,51,74,-23,0.2369634360074997,0.0009594186558388174
1544,e8f2cf9ed228e9785bd43cf921cbcc02694ee61a,64,4,60,0.21782651543617249,0.9788128137588501
1554,ae8ce2524d6062055a769706447cb1dc86e424ff,49,11,38,0.2037012279033661,0.06793300807476044
1554,e9a6ecc78061626a896fc744ea0869f0c4e28936,33,29,4,0.25372588634490967,0.0012436487013474107
