bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
7535,6578176a3b296b44c99888a08b0f1fd805988d6d,92,13,79,0.2416941225528717,0.6453848481178284
7535,2c1c26f992b22da277f5a0c9995780c1f78b1905,84,5,79,0.2524765431880951,0.7301388382911682
7535,9022ab8c6b7ea285cabda842cf7deb370c713e00,85,3,82,0.25227639079093933,0.7594302892684937
7549,0a167acb5df565c4ae3765bf6554732c12b8e84e,268,104,164,0.1709444522857666,0.48437079787254333
7551,039abca311501c41005b1657ffcdba4307c04681,283,24,259,0.38658326864242554,0.6960355043411255
7553,e5c75372263a66c3114d5f3ba08375cfd34cab4f,48,2,46,0.5395946502685547,0.7164011001586914
7555,10625b037c25e6638610ca61a8e1f24ea89ad5c1,7,33,-26,0.5581133365631104,0.5766099691390991
7555,d92379eaac44fd814a9e0b550e84a420af68d9b3,238,72,166,0.3884621858596802,0.49060705304145813
7555,699bae1dfe8cb75c4372b79d2e713e007c62cda7,138,1,137,0.4193873107433319,0.7415289282798767
7555,dc5c723b2ac94ace30182d1e8f8d42c5d14bd8a2,195,8,187,0.4026547372341156,0.720372200012207
7559,e558c0b6b2915b00d77a649a37d874c5cf0df960,281,53,228,0.4020988941192627,0.5111361742019653
7588,678562b712c28c960ecebf518f11f1bc7c4a6cfb,277,6,271,0.28927093744277954,0.7149612307548523
7589,c3f40cf29b1d99cf85a8d21e7f6d975f2fe09f34,199,128,71,0.37375548481941223,0.2718973457813263
7601,bfacfe16bd431d76353c343d2014e715ccc94557,55,3,52,0.44515442848205566,0.7078036069869995
7611,309d2e54a8706867e1f6b4f7ef1ddcef9393472f,223,8,215,0.41778457164764404,0.6976630091667175
7616,ec45d646d6d3113cbab7087368731c892b60a2e6,63,6,57,0.4539339542388916,0.7093819975852966
7616,5cc73fb49fffcc426d9c727aabec3aa4e5d90e99,54,4,50,0.4589407742023468,0.7153268456459045
7617,e73d147ad499fc1649fa31f46bb779479a53229b,160,8,152,0.4194399118423462,0.7027904391288757
7619,344edca8e2359fbfd2bd13ee20c0e18b3fe7e1bc,283,77,206,0.25543665885925293,0.4791940152645111
7621,1c63e35532362f91541175134332dbc88cdb117d,251,5,246,0.23373161256313324,0.7131065130233765
7631,59ccec0bbb5764913a7390435d5b27b62619d473,284,4,280,0.27454251050949097,0.7030088305473328
7647,c585896243d1cf41e2d15c03dae8aa500b56cbc9,290,16,274,0.21482984721660614,0.6922059059143066
7654,5c6b58943b481a9813c398483b8aafc748465626,263,19,244,0.30062222480773926,0.6542137861251831
7659,26272e26e800884387f59365917adc33d0c0c000,65,16,49,0.33720290660858154,0.701435923576355
7659,73d92dba50e36d614c39f8d87e1412ca5e34a028,259,1,258,0.24724575877189636,0.8387717008590698
7662,90666192b77d6d08efbf686fd48f28f23899e9a4,257,1,256,0.24643447995185852,0.803249716758728
7677,1b2c2c0e2ef9638161db0c3b4f945bb350aebfdc,96,13,83,0.3844296336174011,0.6877696514129639
7677,e7592830b9a8b60d21b0fe02030be484b1212461,33,14,19,0.427953839302063,0.6829268932342529
7679,3c0bf858ee23c3cd5cde1a249ce3349216a48559,206,14,192,0.3030254542827606,0.6746057271957397
7686,bd387b358c42c99ee198d71f3ac4536372dd50e3,205,1,204,0.2687775194644928,0.8020357489585876
7686,14a9fd799526955a8e218a2f0911c7b49ef8ce3f,80,15,65,0.33810731768608093,0.6833438873291016
7695,005de7d59a7913ba954804f1b753e8428f4cba0f,97,70,27,0.3756743371486664,0.4705450236797333
7695,2042408acf59d4abfb20f09a7f97851a9d5183d2,210,1,209,0.29253101348876953,0.8130162358283997
7697,e3d8cee59554f487bdb1a7e5b6ae080d63ff3288,3,51,-48,0.600817084312439,0.4850946366786957
7697,fafea2703d15288f692629973673e65ffb1a0c3e,254,11,243,0.2190619707107544,0.6791123747825623
7706,ded33746acb75ecfe43d6e88a8e719792027b3ce,160,5,155,0.2454157918691635,0.7219253778457642
7706,395ffd58fe2aa273a751fceeec42b08f72c67ed1,251,19,232,0.2076852172613144,0.6977289915084839
7728,c72774d7a0ccaa0ab1d913cae8fd9e940201158e,50,39,11,0.34784454107284546,0.5497729182243347
7728,68869af6c52e1e830beddfec5519e62781276f87,183,14,169,0.2783564329147339,0.6990498900413513
7728,81f8e36076e81bc7942f0897b80e9e242020a28a,75,16,59,0.32567673921585083,0.6920509934425354
7738,f59d52693879f3ea9c7faf0dd8db8a8f294952b6,68,23,45,0.3840428292751312,0.6967612504959106
7743,dd93134896cd68e39ce95180984eb5243788307e,256,17,239,0.1474287509918213,0.7002012133598328
7743,03488bd22f820833fe48aa6c24effe47d2f1a9df,242,29,213,0.16991135478019714,0.6140271425247192
7747,bf8e9c5da48b8970b2919ead99002e9c7fb74b57,174,24,150,0.21733668446540833,0.5624231100082397
7747,365f4149ea36d833e89894fd411e3b46f55d4a82,69,17,52,0.2961443066596985,0.6665733456611633
7751,1f5c0c82bcf33f8b14ccf4bbb1ff9dcc6a5ca10c,3,14,-11,0.4405791163444519,0.704825222492218
7751,8070535c037bd1a10011ecb26d922e3cdcb33d92,145,3,142,0.25530770421028137,0.7563977241516113
7754,e97d7eec71c152c38ddd70c39f0bb0f4c377d936,79,2,77,0.2667071223258972,0.7605822086334229
7754,435380021cd0d47ef32b4cd1fbd391a226eda39b,14,1,13,0.3869136571884155,0.8730761408805847
7756,342096e6ad00f58aa3923ed913728f3fc8caafcd,54,12,42,0.3059590756893158,0.7077668309211731
7756,23493de5aaf524ad19fdfae259a22dd0d2c04f14,125,15,110,0.219317227602005,0.6697707176208496
7760,b2f3f13fc5159280f38c4bf4e558aae7160b7778,35,12,23,0.4755834937095642,0.6874500513076782
7760,d9689500a1ae894915366ce26ad37bb0e5ec870c,65,29,36,0.3731231689453125,0.5702719688415527
7764,3a7f72de9fa6c3503c94b6f07fd38724bf21b5b1,42,6,36,0.395501971244812,0.7353880405426025
7764,a49f74c0f0105e3ffc43747c74225c1c40e758af,44,1,43,0.39326149225234985,0.8648606538772583
7764,14cc7842a27645f159c2e24675fe46b196f3af3a,104,4,100,0.22755300998687744,0.7491017580032349
7769,d3e846f32f525d26f6832548d04bdfe81291198e,19,2,17,0.3488643169403076,0.7873960137367249
7769,8495aca946c23fcf4c44936f6bfedb73cc49b871,37,1,36,0.31164443492889404,0.905045211315155
7773,67273f5a41f484abd5e791cd70059bdf09a4b058,85,2,83,0.20850461721420288,0.766036868095398
7773,4efb257f1e14caac3b4b9d058111d32c48829844,47,1,46,0.28220435976982117,0.8766014575958252
7776,d795c56f39ffcde66d60d5761f0c7aa26fd0f508,80,16,64,0.2810678482055664,0.5910762548446655
7776,d3995160ea518c1500a49ca29eb1be1507c33ca7,45,65,-20,0.331354558467865,0.3937010169029236
7778,4a5f47cef8f613a01fe8247cd11ef75badab72dd,60,6,54,0.2217206060886383,0.7527641654014587
7778,56b96e0b22dc1cfc29c054a03b390081b9e593a0,73,3,70,0.20211687684059143,0.7720747590065002
7779,b9f8864bbc673846b97131853f5c30e2da5fa93c,35,74,-39,0.24337773025035858,0.3383650481700897
7779,295b4d4b00d7465a0a669cc3ff23a14a23d25c4e,81,53,28,0.1729169636964798,0.4329337179660797
7779,a7c79d74e73cd61086b0320348eb84da5153de03,70,6,64,0.1855873167514801,0.7417165040969849
7779,f116b87164d2d763fa0b541aef91cbc1cb654517,26,59,-33,0.266506552696228,0.42593497037887573
7779,2d448b4423afd77fdfc7edb26b8ba8f9c5b0acf1,61,18,43,0.19851738214492798,0.5900917649269104
7783,b6785a66b66692ec90d025cdd2703da980b3f690,94,59,35,0.2627517282962799,0.4147363007068634
7783,1eae1f47f6511ec499722e50021b5139cd829568,16,18,-2,0.3670666217803955,0.5746721029281616
7783,1407deef556883c12bf2cd2b953a104e558a5c0b,19,17,2,0.36115050315856934,0.5765836238861084
7783,625b3ed5bd07f1ddd44a2415d3a6e3616afc6582,3,7,-4,0.43017855286598206,0.6850051879882812
7783,51cb4dc5356d2d19aecb4b62dc78a51146c0cc7b,32,13,19,0.33918917179107666,0.6139299869537354
7791,3ffc2598f3445f60f18b6679bf29849931fa8ac0,104,2,102,0.13773208856582642,0.7565595507621765
7792,fc8610d7eabd917d57e9e7c72add5128322b2b73,34,12,22,0.4715743660926819,0.6163120865821838
7792,c573b57d07ef67576c596ab517a980a46128f934,14,5,9,0.5435138940811157,0.7370904684066772
7793,2c6c62b1326acadcfeccdb77fcacbb678e583732,62,2,60,0.2168004810810089,0.7426499128341675
7793,8c538d8f517b599561664bcf3cd6ad9ba32434c3,88,4,84,0.15055298805236816,0.7192121148109436
7794,863a025f154c2cd0c178851c2a40664184641d7c,70,3,67,0.24443426728248596,0.7619028687477112
7794,e37a20c916f1286fb5ef38cac5ef9f27a34aa8dc,72,2,70,0.23905862867832184,0.7667214870452881
7794,f35748efb9381106d597414961224ed02d6eee65,68,32,36,0.24692904949188232,0.5087840557098389
7796,2077a0a5f141850922c65dc9b16a6522d64bb96b,63,18,45,0.3309895992279053,0.5517018437385559
7796,b16f133e4ebf5b1862c94fb5f760e2a6d5990c5d,84,1,83,0.2546403408050537,0.8499147295951843
7796,ec086f673d4a3fb7faeb5a4456b33bd5af3e9cde,69,8,61,0.3111763298511505,0.6192229986190796
7796,190c8710ff3f83cd4046bca7436f9a4b1419bda1,59,3,56,0.339900940656662,0.7397528290748596
7796,b4eb2193953c1cf6b23c2fb3dc0f07e4a4db80c4,6,5,1,0.608116090297699,0.7054561972618103
7796,6d0c030ff8ceedf34f5471ae9398136979d7f2aa,36,2,34,0.43123018741607666,0.7450355291366577
7796,3aea4517a909be06ad676cefcb54fabcb1858faa,48,44,4,0.37694740295410156,0.41663438081741333
7796,10c118ca792d7d9f3c4c43e53fa815fe00478f73,19,6,13,0.5387558937072754,0.6380034685134888
7798,9306f6d5f37ab287848b2151a7c06fabcf7b46ce,60,59,1,0.22103697061538696,0.334380567073822
7798,d27a45fbe12d47da26db2c7327a7cee301147ffa,100,1,99,0.0669395700097084,0.8717016577720642
7798,7993dc0ef43b4ec8075a8cedefa1b1674906a184,82,2,80,0.15653365850448608,0.7666794657707214
7798,08ec65ddf27b6adc447a6f1fce4cf7e75936f430,80,4,76,0.1628614068031311,0.7460259199142456
7799,245c9b24ecc92a9bb8b2fa89cb3971a48f9f234f,33,46,-13,0.27975159883499146,0.4158361256122589
7799,4a2e4abb7bc6c332a382525f0dd736a7c5936f40,30,9,21,0.27975159883499146,0.6223171353340149
7800,8aec41764dc2f2784b4b49d015c63d48fb7e43e4,74,2,72,0.22812683880329132,0.7672330141067505
7801,46963f0768d941bdcfc7d22f7b4c074d02fe2510,17,45,-28,0.26151716709136963,0.41477468609809875
7801,8b00c9ca7290ee7da8f5b27c917f56630bb1c25e,10,12,-2,0.28489062190055847,0.5997087359428406
7803,6329f9b31f54b86f33dc4072475a2b74601379a3,81,1,80,0.08909013867378235,0.8753345012664795
7803,582aed3f5cf16d010802346f37bd770bd7802f09,28,52,-24,0.23908986151218414,0.3911914527416229
7803,52aa98996f1deb5bdb622b50ab084586b098a59a,55,2,53,0.17756979167461395,0.7596916556358337
7803,b0f12773e77cc54d7828be2db02383d349a786e2,22,42,-20,0.2502201199531555,0.4241001307964325
google__jax-1025,f3a8ff9d37b2760869c49c5bb819d831f120a9d6,21,1,20,0.3973386883735657,0.8772731423377991
google__jax-1025,033552eba4e0fdb3f38d221ecca20477f68bbb3f,35,31,4,0.3684592843055725,0.45910024642944336
google__jax-1030,a6d3f86efbdef7778cb14e05ffc0caa222f3a902,8,43,-35,0.5241245031356812,0.4503377079963684
google__jax-1057,2ed5bb15b6358667ba14e6421cb23a2bd237bb7d,9,18,-9,0.4256685972213745,0.5990492105484009
google__jax-1057,20096667a29964384ac968ea4540643cbb92b292,41,20,21,0.28160911798477173,0.5795480608940125
google__jax-1057,91e412e038ff971e6aae6e5db70d50d209f12ca0,111,4,107,0.17216619849205017,0.7352175116539001
google__jax-1106,a49f74c0f0105e3ffc43747c74225c1c40e758af,37,1,36,0.3700324594974518,0.886421263217926
google__jax-1106,14cc7842a27645f159c2e24675fe46b196f3af3a,130,4,126,0.17381837964057922,0.7552793025970459
google__jax-113,00d3f480f47e3938d4409c3042bc858c52af9b35,39,4,35,0.2686784267425537,0.7504495978355408
google__jax-113,64905c311ca6c515c0ddc75ffc1193bbd759cb23,3,1,2,0.4913807809352875,0.8757703900337219
google__jax-1175,1f7e5a5cf49a7d3af90adecb6b32e95a3fede212,128,9,119,0.2048560529947281,0.7305627465248108
google__jax-1240,8cab648194ff5ff6aa0cc3e0fe4d2198d21b1a56,39,19,20,0.43924427032470703,0.5881546139717102
google__jax-1240,36d797b85d7001196053cbc574817c314b18c459,62,20,42,0.3774530291557312,0.5860978960990906
google__jax-1240,508c5ba478b2728552420f39a9956481e9171e85,132,26,106,0.19766268134117126,0.5624457001686096
google__jax-1240,9ff3db7d9bc6be0a295c6cd66b6eb968a4de0f4b,120,50,70,0.2543511390686035,0.43520039319992065
google__jax-1298,5b44435d08ed7f5f8943c63465b863173a404990,146,50,96,0.1221163272857666,0.4563107192516327
google__jax-1298,088f8a9f1a67570fca3b6f6beb2c45d8a2b6f9c6,150,46,104,0.0818103775382042,0.47208932042121887
google__jax-1298,4c732bcc879da0ac3f4335d8ab53d4025b4e4793,58,7,51,0.24241414666175842,0.7062242031097412
google__jax-1299,6006f93b91ffc19d3eed5830008a19a6df947f97,84,1,83,0.2725139260292053,0.8828957676887512
google__jax-1335,aad84415dffa09d656a32ddcf2a929fb9192bccf,84,16,68,0.3741477131843567,0.6363970637321472
google__jax-1349,1b718f1d724bca77e606de6a77038510f2c353e5,36,1,35,0.31676968932151794,0.8271430134773254
google__jax-1378,69d4ffbd9e88d80989cf4c84ca609fdea0dc5ece,148,15,133,0.11941084265708923,0.659839928150177
google__jax-1525,435380021cd0d47ef32b4cd1fbd391a226eda39b,8,1,7,0.4214993119239807,0.8678793907165527
google__jax-1549,fe895aa1e6ee3b446609fdc1d1e00393c49bfffc,122,5,117,0.0868738442659378,0.7244707345962524
google__jax-1882,80b5b81454a07adb5769b6c43c2d7e4ca05a0241,49,1,48,0.311379998922348,0.8384733200073242
google__jax-1913,aa35777f3239b53e65ea2e492a9d06b948c50d8f,48,44,4,0.36676985025405884,0.4564684331417084
google__jax-1972,73a272d53a46dc3e9422926560f3b9a1d2d5ef8f,98,5,93,0.35269150137901306,0.74696284532547
google__jax-2182,7799194d30a76a9e2311e04d99be4cd5d80f74d5,74,1,73,0.3065524697303772,0.8636658787727356
google__jax-2220,7b791afa6d33c63c87868d5d101a067f38df8284,70,46,24,0.3745728135108948,0.453900545835495
google__jax-2220,0ca1c25efb4baa17ff45c87c3e0ddb9320945842,35,20,15,0.40482252836227417,0.6205383539199829
google__jax-2561,d2413181c18aea6e73b50f681391ba03f8f2674c,208,21,187,0.25533390045166016,0.6541580557823181
google__jax-257,8aec41764dc2f2784b4b49d015c63d48fb7e43e4,67,2,65,0.21375560760498047,0.7651292681694031
google__jax-2698,04e8c5321f43aeddf251c8ebbc84dcdbc68c4946,43,1,42,0.4687468707561493,0.8834326267242432
google__jax-2698,979961c263b684625709af20b19f15d3d5909995,164,37,127,0.30976247787475586,0.5018231868743896
google__jax-2698,df555b6d17082a309fff055c994856836544187b,51,22,29,0.45935821533203125,0.5974483489990234
google__jax-2753,7e27c074937ecbd7dcd1708ad4b8c3c82b0a6497,144,63,81,0.25116223096847534,0.4679194390773773
google__jax-2753,1ec5aeeb7f0fb1429b286d46a961de7dfa027625,127,4,123,0.2609107196331024,0.7418575882911682
google__jax-2800,176be035eaf45de2492bf2d1aa54b06a04db762d,36,3,33,0.3595532774925232,0.752849817276001
google__jax-2800,0c0986116d60fcc228f950292c92fde4782c1617,165,13,152,0.2422119677066803,0.7221028804779053
google__jax-2800,a29f90f51a724b6647cc2691975d1372b092a930,109,1,108,0.2831146717071533,0.8598024845123291
google__jax-2800,812562764e2de3db84c24b333384b33b2b77ed75,178,6,172,0.23315103352069855,0.7439671158790588
google__jax-2800,b67338be17dbb9ac2a8c506307e63d5c64b63b27,43,12,31,0.3499431014060974,0.7223225235939026
google__jax-2800,79cd4c443d4a9ce402868b88d08f6f852e9e6c50,145,4,141,0.2539733052253723,0.7455817461013794
google__jax-2800,bca12a208b48c75f5cf2537e3e79ff80989d5faf,38,70,-32,0.3583461046218872,0.4577524960041046
google__jax-2804,8988e30a0af36eeb901a8f43ce6b9e7de53820ca,181,25,156,0.23828822374343872,0.5941717028617859
google__jax-2828,6029109b60f5ebec1dc029e4e687101e8edf8cb4,222,16,206,0.12587180733680725,0.7396641969680786
google__jax-2828,f31f88b88c37214b685b80eb5cae5dc9f22f0cf9,38,2,36,0.3125549554824829,0.7722095251083374
google__jax-2828,7b27c822e6642ab089cd18801a2a6ade6e8c8779,167,6,161,0.20698511600494385,0.7628945112228394
google__jax-2828,7a4558e11d0b07e414d020615d306704e2058a70,68,8,60,0.27983713150024414,0.7581651210784912
google__jax-2828,eee1fd2c66feb4ce233d0de7c6415360d0d9f6ac,141,22,119,0.22747473418712616,0.6412088871002197
google__jax-2903,a29f90f51a724b6647cc2691975d1372b092a930,158,1,157,0.23780429363250732,0.8639184236526489
google__jax-2907,aae0f8f3c2127642084d1d06cb5d34a4ff6de8b8,32,12,20,0.3885716199874878,0.6853236556053162
google__jax-303,d27a45fbe12d47da26db2c7327a7cee301147ffa,98,1,97,0.1968168169260025,0.9020229578018188
google__jax-303,7993dc0ef43b4ec8075a8cedefa1b1674906a184,69,2,67,0.2908918261528015,0.7717286348342896
google__jax-3032,26436d27204ac4d43498dff9361adb06aafd857a,81,60,21,0.3779447674751282,0.39604878425598145
google__jax-3032,a0c6bcf9cd0cbebd08352037b2f79552d78bca4a,22,12,10,0.48107945919036865,0.6939230561256409
google__jax-3032,dd4be664f784bf8536168718c201b5aa1d692c4b,138,112,26,0.29485124349594116,0.2786266803741455
google__jax-3032,b1d8c1412f38070b90db6805cbdf17d027c82dc9,146,136,10,0.28693467378616333,0.045276690274477005
google__jax-3032,0a95a670618f1e7576e86c77380e93498b70562c,184,45,139,0.2392881214618683,0.4465099275112152
google__jax-3032,3af4b54c72ef358557951aa172a0f7491814b73c,189,8,181,0.228037029504776,0.7048949599266052
google__jax-3032,1287d396cd12d2002decfc8406b0c9abd56bee5e,139,37,102,0.29418885707855225,0.4687151610851288
google__jax-3032,0b730e0adcf86d7999fc3e14669cf016abafa6c2,19,22,-3,0.4832543432712555,0.5746194124221802
google__jax-3032,3d2893f75eeed0839f3cf006b673a8a9f0157b2b,177,44,133,0.24751409888267517,0.44677212834358215
google__jax-3032,8022e420767959fa45681ee187ce9a06a7d28c36,207,42,165,0.20227746665477753,0.4505424201488495
google__jax-3032,7edb2382b059c2257ccc13101893da00be527080,84,122,-38,0.3733733892440796,0.1679970622062683
google__jax-3032,43a79d3b79a0288560f4471c117d1b1e8468d384,12,62,-50,0.5044918060302734,0.39101651310920715
google__jax-3032,091dc4426d496480822bba3c78e56053ec47b3bc,68,64,4,0.39516353607177734,0.3895639479160309
google__jax-3032,81afaec1bb40e8ef9c81c110a5c547175e879119,125,128,-3,0.3068805932998657,0.11774886399507523
google__jax-3032,a460e28c03359853007147396cca75214d87157b,67,5,62,0.3982040584087372,0.7278209328651428
google__jax-3032,ee7b2c0f503b4b08c932f5abe0a4ec094da51957,41,25,16,0.44971632957458496,0.5612350702285767
google__jax-3032,0b79074b8d9bb17076fd38d17ed06ecf05018ba2,10,7,3,0.5189491510391235,0.71883624792099
google__jax-3032,f097d3aad9d667cd98304b6658efa9b7ae602621,192,49,143,0.22070738673210144,0.4237920939922333
google__jax-3032,a57c59f960b0bd02bac881186e1e50e71e908263,155,104,51,0.2772045433521271,0.3101310431957245
google__jax-3032,eff055a46154eb4183dc99fb0b2f6148356de58e,37,35,2,0.45434290170669556,0.48162391781806946
google__jax-3032,7970825fe750669beaf3a1721893abc213024ef3,74,32,42,0.38753795623779297,0.5046144723892212
google__jax-3032,a2e2526f4acb8b285ef0c7ce18dbb07ebad7bc70,11,51,-40,0.5140636563301086,0.41380926966667175
google__jax-3032,f5f5977b048dfa61d077aef1f09a5c54fdb26526,165,119,46,0.26394879817962646,0.20479537546634674
google__jax-3032,145d8fa68ee34934fa8cf1eb41772eb6e9ed2088,212,115,97,0.19022086262702942,0.23383262753486633
google__jax-3032,6e1fbd6bcdd441c689e34161840d8a9b8c42db7b,197,149,48,0.21983656287193298,0.009496798738837242
google__jax-3032,edece2d05214999cd717929793163eca3e6d5302,95,52,43,0.3617546558380127,0.40916353464126587
google__jax-3032,21644c2a59a6ef11a8257b442d7e7348c7310334,100,47,53,0.35337066650390625,0.4355141222476959
google__jax-3032,970f0928caa73b7f6b4c5366387ba1c19f16c874,182,30,152,0.24299487471580505,0.5233620405197144
google__jax-3032,979961c263b684625709af20b19f15d3d5909995,166,36,130,0.2625550925731659,0.4794311821460724
