bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
numpy__numpy-10031,2f68c4d50a971b76e0ae7022bcc709f6eb341bd0,81,24,57,0.4031621515750885,0.991908848285675
numpy__numpy-10603,c5679ace8b43b97594873be8c1a5518fdbc2017d,132,16,116,0.3862058222293854,0.9981375932693481
numpy__numpy-10608,6fce1c0475a93fce90fa0e1ecb9352115ae95012,119,125,-6,0.5440382957458496,0.9872080683708191
numpy__numpy-10629,65c3ed00dbd308146709b7e8a7086c613b8818f4,267,68,199,0.3838263154029846,0.9892327785491943
numpy__numpy-10732,cd99a82d7b51a1ac1b8c9e3e8113c7a3397c048d,145,251,-106,0.3420853614807129,0.9283914566040039
numpy__numpy-10732,d7ab040a17237765ab6e45395e8bc8cc8bea5df1,29,286,-257,0.4938656687736511,0.8610097765922546
numpy__numpy-10732,82a53bd08dbe339443bd337e12006ad2a6cf7d9d,78,254,-176,0.40024974942207336,0.9234541058540344
numpy__numpy-10732,d342410b8a85856eb59aced352fbf4caa40f5932,152,259,-107,0.32914888858795166,0.9150922894477844
numpy__numpy-10732,d1d6c89b513952ce0630888bcc99cf9c19ffde9d,249,240,9,0.2667372226715088,0.9358446002006531
numpy__numpy-10732,73cb3b8bfe4d1d184bb8bb66656ca360e3bc2e45,133,174,-41,0.3534843921661377,0.9653210639953613
numpy__numpy-10732,479d1849f98a04cfb91d44c1dd37936ec2c4d670,10,119,-109,0.5910923480987549,0.979211151599884
numpy__numpy-10732,cb59ee1e56d9c5d58f09c598c8006bcbdffd8f2d,286,253,33,0.25471925735473633,0.9235899448394775
numpy__numpy-11358,630767dc5347df4ba4b191ae2a7bfea8d7d8ab58,129,124,5,0.4137696325778961,0.989189863204956
numpy__numpy-11427,b7d9c4406709e5069ca573ccd10384e2475b4a15,293,6,287,0.35431164503097534,0.9986758828163147
numpy__numpy-11449,186ed949d863972ce80caca0f92af09422384297,192,43,149,0.43016475439071655,0.9957068562507629
numpy__numpy-11450,1664e6ebb08da8ffd047cb8775f8275d9913f9e6,101,53,48,0.4107465147972107,0.9923585057258606
numpy__numpy-11717,163f125c28a51dac5205769e0344300339ad372a,214,50,164,0.333351194858551,0.9921011328697205
numpy__numpy-11774,5880ea1544d4b0931e9544dbaf309dd80344f528,160,23,137,0.32414567470550537,0.9956201910972595
numpy__numpy-11805,d84455a8f269d45fc5df179d12d83801a5ad208f,115,16,99,0.3445197343826294,0.9971135854721069
numpy__numpy-11813,d31d8a9398b518012e3517bc4240844732b16cf2,9,30,-21,0.553960919380188,0.9938972592353821
numpy__numpy-12358,1ef3dca47ec5aea6b41a0a676e52d4686684f43d,241,39,202,0.485374391078949,0.9930786490440369
numpy__numpy-12408,9ee44e9ff61bcebf59327bbe25c74d10a8370d62,255,17,238,0.2956361770629883,0.9936723709106445
numpy__numpy-12807,8750ed0b3d19e9052733af6e6ba01ad1f4455885,201,11,190,0.4461132884025574,0.998177170753479
numpy__numpy-13242,6dd6982dfe6a93d2319ea3f5a342e432d26a528a,247,135,112,0.3099439740180969,0.9795119762420654
numpy__numpy-15124,f09f2a465d0eceb85066c6cce81f619bdc6b074b,118,18,100,0.45216405391693115,0.9966893196105957
numpy__numpy-15928,7eeed7825bddd659b4bfc593c17bd733964fd079,184,88,96,0.3382463753223419,0.990198016166687
numpy__numpy-15938,40d632ec55ef8bd20ad9c751e17902022e05a58c,273,253,20,0.47311651706695557,0.9582940340042114
numpy__numpy-15949,fa888107f8269c0c64288f1c191e198d8dc0f96a,173,8,165,0.33120524883270264,0.9982807636260986
numpy__numpy-16300,613bcb550dfd1bc3386862c8f014cc8bc818b0a3,107,35,72,0.5749918222427368,0.9958761930465698
numpy__numpy-16300,4e320576bdb34e507caf98665a9365e962e0818e,250,9,241,0.5244961380958557,0.9982423782348633
numpy__numpy-16627,d0ed3d38111171f8fea9a5512a04733b71f80b8f,221,193,28,0.3851633667945862,0.9828100204467773
numpy__numpy-17636,dcf60ada9297180308729db7ccc23c416f86f0f9,180,39,141,0.4200010895729065,0.9949799180030823
numpy__numpy-18911,aea9835c78e2653460204fe33503d3011a746d1e,65,25,40,0.49411141872406006,0.9913536906242371
numpy__numpy-19098,ae1e6a180625e737506baedf049994146237443d,229,15,214,0.3824540376663208,0.9961584210395813
