bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
4701,53c9c42bc877ebebde5fffa0679f4b50e22801cf,21,4,17,0.4105733036994934,0.8778960704803467
docker__compose-1026,e1e29744bdd4720986b2401785ed7360fc6b444e,61,5,56,0.15960469841957092,0.8349459171295166
docker__compose-1205,95dfb6cbd366b8ed79b52fd2b52bb911f75404f9,22,2,20,0.33577513694763184,0.8984104990959167
docker__compose-1225,c89f6de552844cb071bf84a9b232d6e1a0571aa6,14,18,-4,0.27573060989379883,0.3459886312484741
docker__compose-1226,dea734d514a0410947cd6aa99ec93332204d4f53,29,18,11,0.33542293310165405,0.3376401960849762
docker__compose-148,cfc39367672218d431de7049e6c2f6211a7ddb96,37,2,35,0.2035486400127411,0.8705973029136658
docker__compose-1515,a488b2c68c9b12b43b06d236baecace30389638a,6,1,5,0.5005316734313965,0.957912266254425
docker__compose-1644,aa0e3e88e446e3371a1e44a93e17ddaee7692ccc,19,2,17,0.4357706606388092,0.9257686138153076
docker__compose-1824,56f6c05052dae8430d45cb5f8b8bff4802f0c073,15,3,12,0.4890082776546478,0.9319595694541931
docker__compose-1870,b5646a479c0943065e8b29b4bf7cca61f1cb26a9,6,4,2,0.49165213108062744,0.8976953029632568
docker__compose-1931,f727c8673af3cda14875414f836d4092d8d30ac1,96,12,84,0.20130164921283722,0.7322090864181519
docker__compose-1931,58e54285169c2ec81798fbcdafce277c95969e94,12,4,8,0.48266181349754333,0.9284088015556335
docker__compose-2000,dc630adf279618d7c886a03965beab10020f7a12,24,6,18,0.36252111196517944,0.8925625681877136
docker__compose-2019,0fef304a2a1e5eee7571db5912b49e4a96fdaac9,84,6,78,0.3152807056903839,0.9053223133087158
docker__compose-2019,9e9cb857fbfc91c8269e04d59b175809e60bdd3d,92,2,90,0.2898445129394531,0.9569571614265442
docker__compose-2020,a7b9181680557c5fe0d2d654d06565499a1ceadc,25,4,21,0.38227295875549316,0.949669361114502
docker__compose-2020,51b625890976d686664159a67c0ada1f1772d352,28,9,19,0.37210360169410706,0.8469578623771667
docker__compose-2020,c2fcc54fdd694a2cd3c1fbb8cee5dd5d80979d05,20,11,9,0.3896889090538025,0.8244618773460388
docker__compose-2031,29c5299e9d20b98b38aed6a4f7d8a8ffaa6b4bd8,75,10,65,0.30466341972351074,0.7950222492218018
docker__compose-2051,0b7ac683d1b7a21c19d3c546989ae925a8ca2039,25,17,8,0.3554813265800476,0.6567683815956116
docker__compose-2051,840a28a1b55ed417e0eb8f09d655206a4be06503,66,2,64,0.1697780042886734,0.9553191661834717
docker__compose-2051,67176df27192441768206e6b6ce15e446991f4a2,31,5,26,0.3252648711204529,0.9202179908752441
docker__compose-2051,9b03ea67634d689a252658c4662c7c693722aa99,37,4,33,0.2742483913898468,0.9441768527030945
docker__compose-2055,b502c351b72d94b72647cdc2111c8359850615d8,44,18,26,0.3276808261871338,0.6541770696640015
docker__compose-2082,d9bda293719a4f032bab3a2885668a28439af2e7,46,3,43,0.2666940689086914,0.9149009585380554
docker__compose-2082,8d684354d3e65694420d5a3af4b5a5e8653e34fe,72,12,60,0.2133255898952484,0.6357879638671875
docker__compose-209,d6f44cfdaa5fa0957916c8a3552159cbb5524260,48,1,47,0.16587568819522858,0.9284088015556335
docker__compose-2126,698ab4844f48db0ab690ed381d45c0cb84d9cba4,9,1,8,0.4039168953895569,0.9681411385536194
docker__compose-2126,4750a7a9ae1844a227cba6afd3d8d338efcf0e46,44,3,41,0.33152467012405396,0.9525741338729858
docker__compose-2130,864657a4c687e488feff8f42745be1fb592abb3b,50,14,36,0.3467663526535034,0.7468782067298889
docker__compose-2130,7c6d1cb5a3ff8386b7a518eade1333b864339709,25,2,23,0.4476635754108429,0.9449946880340576
docker__compose-2130,5e8d91a47feeb27739b3ae49e7207345e55349e4,42,17,25,0.3743036985397339,0.703345775604248
docker__compose-2142,27f4b2bd7f2f421528260a763f2bd6cc14641ec0,94,12,82,0.35679465532302856,0.7749242186546326
docker__compose-2142,443b89c611374f013911f4e72de0fb3787b7c294,38,5,33,0.43823158740997314,0.9178933501243591
docker__compose-2142,60e60b795d9c1753c41e0ae28a4e5e2375f360b2,59,3,56,0.40906721353530884,0.9469902515411377
docker__compose-2239,1a3b30accc4365f244a1230001799ecda8bf7875,34,2,32,0.36557599902153015,0.9585376977920532
docker__compose-2336,2055a6fe1738816bd4ce93fdeb79c2622568fdd4,34,1,33,0.4039696455001831,0.9621075391769409
docker__compose-2348,c8fddc5f162cf326472f7416ab52b4414843121c,6,7,-1,0.36437204480171204,0.8647679686546326
docker__compose-2360,11aeac38c20f0dedb43b57fc91e4b2041ab92e8b,17,3,14,0.42319005727767944,0.9481545686721802
docker__compose-2361,11aeac38c20f0dedb43b57fc91e4b2041ab92e8b,22,3,19,0.4077715277671814,0.9403530955314636
docker__compose-2361,f286195406737100a0be88a67a4e60e57ccf5c19,45,1,44,0.3693163990974426,0.9588471055030823
docker__compose-2361,f0478203bb122696e329e0199ac1cc8647cbdf3c,26,4,22,0.3994237780570984,0.9385759830474854
docker__compose-2527,853157ee89f2b8c3644d21a63aea67dd9e022db3,114,4,110,0.21479424834251404,0.9086179733276367
docker__compose-2564,8383fb5c9573ae4071c8d591f3adf9eb0d698bf5,31,5,26,0.3929709494113922,0.9394705891609192
docker__compose-2564,9957d391f032774a2311c4f0fe67e5940bbaaa62,115,2,113,0.2597823739051819,0.9473810195922852
docker__compose-2564,1c848ca39c09447b69824f173c90ab44063dd400,6,1,5,0.6455017328262329,0.9658995866775513
docker__compose-2564,3e7c5afda5e0860c1b074871124fb666f58f1500,7,3,4,0.6343247890472412,0.9437636137008667
docker__compose-2599,0c6448331c7cc9e0a0c8b92b1a366101c1f059cb,145,3,142,0.10628500580787659,0.9441768527030945
docker__compose-2599,59f6c4bc98df8b4063dc85bf56e73dc6230263c4,18,5,13,0.4468054473400116,0.9412234425544739
docker__compose-2646,d5c36f1ad684abf6cac0e8fb98cf7d437f5457c8,33,1,32,0.43145614862442017,0.9594592452049255
docker__compose-2646,b78aa029f9ed1f73726279bc9e0075658edcfee6,25,18,7,0.4619486331939697,0.6767266988754272
docker__compose-2646,2735a397f3e7a4dcbe65f01e17c2b47eaaa3961b,7,7,0,0.5058870911598206,0.8757869601249695
docker__compose-2646,a46521f31b8112810f7843505281d4a1459284ea,45,2,43,0.39001160860061646,0.9394705891609192
docker__compose-2646,e882713c2cccc7ddf9c5a2d3bea6a44ff62d3cf1,10,3,7,0.48687928915023804,0.9362850189208984
docker__compose-2726,7409107df690e1eb8ef178358ac6685be060a4a2,10,2,8,0.53623366355896,0.9343951344490051
docker__compose-2734,961d36bbd512d439c998160fbdde8e2dff59c192,107,4,103,0.3139297366142273,0.9339146018028259
docker__compose-276,d8044c7d73c3db3896938ae021c75f153e4b1bbb,67,3,64,0.10319135338068008,0.9046505093574524
docker__compose-276,11230331cf550de52495c9d62fa8c254c3a9c7fd,38,2,36,0.18477851152420044,0.9124361872673035
docker__compose-276,0d29a47c8f69d1493fc48a8d340245671bf92839,64,1,63,0.10640383511781693,0.9184802770614624
docker__compose-2853,2565c8ffc38d2288ea2262e68aa07e88b1bb7fff,163,9,154,0.24199891090393066,0.8110781908035278
docker__compose-2878,102758e9d57948c24315d8e72cdc5f358d720882,139,2,137,0.25947606563568115,0.9416541457176208
docker__compose-2938,29d8a695d029c438c72d58a752066fcadc51e180,32,25,7,0.4125378429889679,0.5746335387229919
docker__compose-2938,19722b0a67d6473ac347b227011a85f4f9e1cbd0,114,2,112,0.33003127574920654,0.9399133324623108
docker__compose-2948,e1c781fec67ea0fcf486822c77c3080e4ef4e3b1,13,17,-4,0.374276340007782,0.7275885343551636
docker__compose-2948,35727e2ccb8220d23c128322df3fc301aea7466c,63,6,57,0.2780883014202118,0.9053223133087158
docker__compose-2948,d0024e9cd50d795a14ea237246ef2253d2b003a8,68,2,66,0.27571210265159607,0.9485372304916382
docker__compose-3006,f362f1b8081e6dccec0be2171f85007d838c8d87,52,2,50,0.31264060735702515,0.9190633296966553
docker__compose-3006,6b24013525e093c1e36573601240c4eef676f709,27,6,21,0.3979654312133789,0.8529354333877563
docker__compose-3006,0e307835ca973e5d7671175a0cd33a02e63a4632,36,26,10,0.3621663451194763,0.4838923215866089
docker__compose-3006,2713fd32bf25a0db975d9593a68129c5e5a0c1eb,13,11,2,0.47695299983024597,0.7209580540657043
docker__compose-3006,e1c781fec67ea0fcf486822c77c3080e4ef4e3b1,32,17,15,0.3703032433986664,0.633750319480896
docker__compose-3006,62e1d2cd3bc63cdb2fdedd9a75dd8c239899feea,8,4,4,0.5026728510856628,0.907312273979187
docker__compose-3006,2565c8ffc38d2288ea2262e68aa07e88b1bb7fff,196,9,187,0.08048185706138611,0.7498207092285156
docker__compose-3006,82a78f3b53ad97a2b1fea71f00deee64da604630,184,10,174,0.11572124063968658,0.722527027130127
docker__compose-3006,268bb719e05bd6ed14b1c1d26e53d3b08178dcf3,195,18,177,0.08066348731517792,0.6276088953018188
docker__compose-3006,652ee7944df2e645c02b87c06128827ad861b68b,46,1,45,0.3380122184753418,0.9399133324623108
docker__compose-3006,4f9be97f437769dd0cb38c6637cf61a76b11cd0e,12,25,-13,0.48047003149986267,0.5180585384368896
docker__compose-3006,29d8a695d029c438c72d58a752066fcadc51e180,3,24,-21,0.5576479434967041,0.524394690990448
docker__compose-3006,deb1e9121cdd11f7dab583854dd760d56e05df83,76,3,73,0.2747024595737457,0.9118099808692932
docker__compose-3011,7ee441f2c851b2bae8f02404401cf0a440c01b64,76,1,75,0.3452615737915039,0.9609517455101013
docker__compose-3011,135502cc0339bb61f13e2990acc0e2f27434544f,178,11,167,0.20708608627319336,0.802555501461029
docker__compose-3052,850af31c90ea9451477fd4386b9cd8ba7cd67e9d,129,2,127,0.2373437136411667,0.9449946880340576
docker__compose-3137,f34809a9ec758f193ffa0c34377b52253888a3af,168,2,166,0.13995519280433655,0.954647421836853
docker__compose-3137,30d28e4c685a0e251fa2b290c99277c8c2eb695c,54,1,53,0.3504365086555481,0.961533784866333
docker__compose-3269,6dac949993ab91ff539454e3e1fb490e203e494b,179,10,169,0.25636130571365356,0.8433797955513
