bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
jupyterlab__jupyterlab-1222,e1b3101e794c3d96a9f24daf7d779c7695f53430,278,289,-11,0.172538161277771,0.19744445383548737
jupyterlab__jupyterlab-1222,163571707f45624db7ebf98d2a29fc84c7e571a4,106,290,-184,0.25059324502944946,0.17217186093330383
jupyterlab__jupyterlab-12680,2f543d15e32f57214c3413ebab74ff89bb52810e,249,268,-19,0.48201021552085876,0.6976089477539062
jupyterlab__jupyterlab-1503,d57097950ad913dfac4bf319fdabc93e7c63c7c6,93,284,-191,0.28023064136505127,0.35398629307746887
jupyterlab__jupyterlab-1503,f386174b692dd18c696aeb806288400db4f79108,116,291,-175,0.2700006365776062,0.24798743426799774
jupyterlab__jupyterlab-2038,c57a9eee02105f3d8e8ca55de8a096d13b536b82,6,260,-254,0.5766997337341309,0.30404165387153625
jupyterlab__jupyterlab-2215,eb5079b6741359e9ebda17d938d09c52e50ef63e,50,269,-219,0.42382532358169556,0.37022536993026733
jupyterlab__jupyterlab-2409,6b0ced67b0e8d97f587e6bf3d6fe98c10af50820,57,249,-192,0.352451890707016,0.230919748544693
jupyterlab__jupyterlab-2410,5fba5dfd7c000902eb67c6238a2e608ce33e0b4f,29,247,-218,0.35855862498283386,0.15921740233898163
jupyterlab__jupyterlab-2759,5e52c5e802fa0b77ee65bfbe892a08244aef58fd,276,267,9,0.24885660409927368,0.3363310396671295
jupyterlab__jupyterlab-2759,4f216705a888de6e3cf0b972fd731c4a4749c446,8,270,-262,0.5598610639572144,0.29421496391296387
jupyterlab__jupyterlab-2841,d045e85dccf53533e670e6d7af5f2abe14de7e54,39,237,-198,0.3892871141433716,0.39793840050697327
jupyterlab__jupyterlab-3107,656fc38fefabcc786ca041756d0c8b5dd8141f3e,237,232,5,0.3410108685493469,0.5506073832511902
jupyterlab__jupyterlab-3127,0cf5ecbfafbeb2b77335e555c9117bb6ca0a4f97,79,268,-189,0.2844184637069702,0.29421496391296387
jupyterlab__jupyterlab-3481,3df8653aad1d14207c80272aac02196366c91909,195,234,-39,0.2778996229171753,0.13386750221252441
jupyterlab__jupyterlab-4920,0ea7d024bb5f0fb8898ee5e7532de4ba7af50121,190,244,-54,0.2992991507053375,0.19072401523590088
jupyterlab__jupyterlab-5723,0ca03a5121481881ae3edcd08d61eca6455b47f6,221,254,-33,0.3531630039215088,0.37022536993026733
jupyterlab__jupyterlab-6451,6044127f84d5ccf60cec1869a526c823962b830d,169,288,-119,0.3818647265434265,0.1196136623620987
jupyterlab__jupyterlab-7723,0de688edaac853a931d3b76baba72ce0097d5b62,109,293,-184,0.42115819454193115,0.12168575078248978
jupyterlab__jupyterlab-8324,5a101d779faf58893b3da7f2419947347dae828e,221,284,-63,0.35439997911453247,0.47268345952033997
jupyterlab__jupyterlab-8779,7e00504041a5dab0947321cf05751c1ca46cba2f,238,273,-35,0.43368372321128845,0.33111974596977234
jupyterlab__jupyterlab-8956,4bb7624ee6674515646873e269e08b72ac258f8a,110,273,-163,0.45847460627555847,0.49218812584877014
jupyterlab__jupyterlab-9390,2b832a1977dfa6766af5626a61fcef5d0f99fd49,211,279,-68,0.3272795081138611,0.4687906503677368
