bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
wildfly-1497,504f5aa72a7024d1b42fafd1e549cd238ba367e1,50,65,-15,0.41483792662620544,0.5026760697364807
wildfly-1575,e6ee5f13309f0cc4e8dcd2ef73657acdcdeb905a,98,76,22,0.4019973874092102,0.4313475489616394
wildfly-1949,13afbd749e2c597d5f93a659216203ff37e6b77b,63,173,-110,0.4575386643409729,5.708444950869307e-05
wildfly-2476,e77f4d5c4a3c4a5054b3fdc983778b59d12ce518,263,19,244,0.34598976373672485,0.5990350842475891
wildfly-2865,a5136aa7307b7725d751752d638c4064b6df1b72,188,51,137,0.3492717146873474,0.5230774283409119
wildfly-2865,a5bd167953da25e77f6f3826eddd0ce63da28593,232,72,160,0.34260833263397217,0.4923466742038727
wildfly-2865,c1b892dcebc3e385ee8cbf4b7c4821837ca0c10c,92,43,49,0.3822627663612366,0.5305144190788269
wildfly-2896,ad87fd5f0c4663f6207fecda38e42b6e3c3ff1fb,156,19,137,0.3716528117656708,0.5081349015235901
wildfly-3214,a5504cc5068d27b444c3cc925e8a71282996c8f0,64,54,10,0.41207054257392883,0.5316504240036011
wildfly-3214,9f62401c5d18262d50b1b6b4b38d8b919522cfc7,131,41,90,0.36210179328918457,0.542279064655304
wildfly-3214,3d5f37f2692675f62e277855e4640d1c8e7655ad,241,88,153,0.33684003353118896,0.43250763416290283
wildfly-3259,689d350135d995ebb207889cc61e498e408f6085,129,16,113,0.40191930532455444,0.5296806693077087
wildfly-3382,daa9608c9cf14bfa38092a25167e44e23f8c3d3b,64,104,-40,0.42825084924697876,0.057982806116342545
wildfly-3382,9e158f771eb708a2ae92673701fc7934dd2af532,12,61,-49,0.5579846501350403,0.44885313510894775
wildfly-4786,24db245b142e633289c1230a672852fe24970d4f,92,27,65,0.35228729248046875,0.5314711928367615
wildfly-5422,69453c66d7e9640f4f084eeb28ac694421b49aa4,125,3,122,0.6449009776115417,0.685135006904602
wildfly-5422,db0011a840dfabb767c8e4eae1d002e58a4d2e74,275,6,269,0.6300889849662781,0.6519230604171753
wildfly-6264,a00f208bc7e6f353078cd2bfb680cd32a1173771,143,5,138,0.28549665212631226,0.6257175803184509
wildfly-6453,aede53649ae4381411e3baa48bfacac95c20e615,225,21,204,0.29760971665382385,0.6023120284080505
wildfly-7084,86be9a25ccbf495ff5f47b8c8733fa7a73d7a8c2,79,15,64,0.40439534187316895,0.6145551800727844
